gap_no,item,verdict,exact_quote,url,date_of_source,notes
1,AIUC $15M seed: investors named,FOUND,"The company also announces a $15 million seed round led by Nat Friedman at NFDG, with participation from Emergence, Terrain and others including Ben Mann, co-founder of Anthropic; and former chief information security officers at Google Cloud and MongoDB.",https://www.prnewswire.com/news-releases/the-artificial-intelligence-underwriting-company-launches-with-15m-to-help-enterprises-deploy-ai-with-confidence-302512447.html,2025-07-23,"Dateline SAN FRANCISCO, July 23, 2025. Halcyon is not named in the release. Saved: docs/prn-aiuc-seed-2025-07-23.html"
1,AIUC founders incl. Dattani; METR named,FOUND,"Rajiv Dattani (co-founder) is a former McKinsey partner who led work in the global insurance sector, and was COO of METR, a research non-profit that evaluated OpenAI and Anthropic's models before deployment. | Founded by a team of leaders from Anthropic, McKinsey, Center for AI Safety, and METR, AIUC combines audits, standards, and insurance to enable confident AI adoption to unlock progress.",https://www.prnewswire.com/news-releases/the-artificial-intelligence-underwriting-company-launches-with-15m-to-help-enterprises-deploy-ai-with-confidence-302512447.html,2025-07-23,"Also: Rune Kvist (co-founder, CEO) 'was the first product and go-to-market hire at Anthropic. He also sits on the board of the Center for AI Safety.'; Brandon Wang (co-founder, CTO). aiuc.com/team: 'Rajiv Dattani — Co-founder — Former McKinsey insurance partner. Previous COO at METR, a leading AI risk evaluator.' (docs/aiuc-team-jina.txt)"
1,Halcyon Futures backing of AIUC,FOUND,"""Halcyon has been instrumental for my journey to founding AIUC – If I were starting something new, Mike would be my first call."" | Rajiv Dattani | Co-founder | AIUC | Career Transition Grant | Halcyon Retreat | Invested in Every Round | $16M raised from top VCs",https://halcyonfutures.org/,fetched 2026-09-14 08:33 UTC,Home-page founder testimonial with tags; amount of Halcyon's grant/investment not stated. Corroborates M130 (McCormick X post 2025-09-24 naming AIUC among incubated orgs). Saved: docs/halcyon-home.html
1,What AIUC sells,FOUND,"Standards. AIUC-1 is a security and risk framework built specifically for AI agents. Think of it as ""SOC-2 for AI agents."" [...] Audits. For AI agents, independent audits give enterprises the confidence to adopt these systems. AIUC conducts rigorous testing of AI agents against the AIUC-1 standard. [...] Insurance. AIUC offers liability coverage for AI vendors and their customers in case an agent fails. The cost and availability of insurance are tied directly to audit results: safer systems are offered better terms.",https://www.prnewswire.com/news-releases/the-artificial-intelligence-underwriting-company-launches-with-15m-to-help-enterprises-deploy-ai-with-confidence-302512447.html,2025-07-23,"aiuc.com/team (2026-09-14): 'We are an AI agent standards & insurance company based in San Francisco.' aiuc-1.com lists certified customers Cursor, ElevenLabs, Harvey, KPMG (docs/aiuc1-root.html)"
1,AIUC-1 dependence on third-party evaluations,FOUND,"To certify against the standard, AI companies must implement 50+ technical, operational and legal safeguards - and submit their AI to frequent, rigorous, third-party technical testing to show the safeguards' effectiveness. [...] Like SOC 2, the certificate comes with an independent audit report. || C010 · Mandatory: Appoint expert third parties to evaluate system robustness to harmful outputs including distressed outputs, angry responses, high-risk advice, offensive content, bias, and deception at least every 3 months || B001 · Mandatory: Third-party testing of adversarial robustness",https://aiuc.com/research/introducing-aiuc-1 ; https://standard.aiuc-1.com/safety ; https://standard.aiuc-1.com/security ; https://standard.aiuc-1.com/evidence/third-party-evals,fetched 2026-09-14 08:34-08:43 UTC,"AIUC-1 has a 'Third-party evals' evidence category; audits 'conducted by an accredited auditor such as Schellman and Coalfire' (aiuc-1.com). Schellman: 'Schellman Becomes the First Accredited Auditor for AIUC-1' (2026-02-03). No AIUC page names METR as a tester or evaluator; the third parties are unnamed 'expert third parties' and accredited audit firms. Saved: docs/aiuc-introducing-aiuc1.html, docs/aiuc1-standard-*.html, docs/schellman-aiuc1.html"
1,AIUC pages naming METR as evaluator,NOT FOUND,(no mention),https://www.aiuc.com/ ; https://aiuc1.com/ ; https://standard.aiuc-1.com/,fetched 2026-09-14,"METR appears only in founder bios ('Previous COO at METR, a leading AI risk evaluator'). Dependence on evaluators like METR is structural (third-party testing mandatory), not a named contract"
1,Dattani's current METR role,FOUND,"Rajiv Dattani — Advisor and Board Member | Rajiv is building AI auditing and insurance mechanisms at the Artificial Intelligence Underwriting Company. His previous roles include COO at METR, Founding Advisor at Transluce, and Partner at McKinsey.",https://metr.org/about ; https://metr.org/team/rajiv-dattani/,fetched 2026-09-14 08:33 UTC,"FY2024 990 Part VII: 'RAJIV DATTANI | COO AND TREASURER | 40.00 | officer and director | $230,384'; Part VI: 3 voting members, 1 independent; ConflictOfInterestPolicyInd=1. (research/990-metr-fy2024-202523209349300367.xml)"
2,Mascorro's a16z role,FOUND (changed),"metr.org: Marco is a Partner at Andreessen Horowitz, where he leads investments in AI and software infrastructure companies. || mascobot.com (live): Previously, I was a Partner at a16z, where I invested and worked very closely with AI and software infra companies. With a16z, I invested and worked with Cursor, Thinking Machines, Black Forest Labs (FLUX models, from the original Stable Diffusion team), Waveforms AI, Deeptune (RL Envs), etc. || mascobot.com/investing: When I was a Partner at a16z, I invested and worked with: Cursor (Series A lead) Thinking Machines (Seed lead) Black Forest Labs (Seed lead) Waveforms AI (Seed lead) Deeptune (Series A lead)",https://metr.org/team/marco-mascorro/ ; https://www.mascobot.com/ ; https://www.mascobot.com/investing,fetched 2026-09-14 08:37 UTC,"Wayback 2026-04-22 snapshot of mascobot.com still reads 'I am a Partner at a16z' (docs/wb-mascobot-20260422.html); X bio via api.fxtwitter.com: 'Prev: Partner @a16z (inv @cursor_ai, @thinkymachines, @bfl_ml, etc)'. So he left a16z between 2026-04-22 and 2026-09-14; METR's page still says 'is a Partner'. a16z.com/author/marco-mascorro/ returns no bio (docs/a16z-mascorro-jina.txt)"
2,a16z public position on AI regulation,FOUND,We believe bad government policies are now the #1 threat to Little Tech. [...] Our political efforts as a firm are entirely focused on defending Little Tech. [...] Regulatory agencies are being green lit in real time to do the same to Artificial Intelligence.,https://a16z.com/the-little-tech-agenda/,2024-07-05,"'The Little Tech Agenda' (Marc Andreessen, Ben Horowitz). Saved: docs/a16z-little-tech-jina.txt"
2,Justine Moore (a16z) on METR,FOUND (already IF123),"Much more to find if you do some research, but this is a great summary of why METR may not be the most unbiased regulator",https://x.com/venturetwins/status/2099176289265750401,2026-09-13 16:40 UTC,"X bio: 'Partner @a16z AI'. Local census also has X09 (@Rasmic, bio '@a16z scout'): 'The guy who left Anthropic joined the ""third party evaluator""'. No new fetch"
