gap_no,item,verdict,exact_quote,url,date_of_source,notes
1,Christiano: month he started at OpenAI (2017),NOT FOUND,"""From 2017 to 2021, Paul led alignment research at OpenAI"" (OpenAI, 9 Sep 2026); arXiv 1706.03741 ""Submitted on 12 Jun 2017"" with Christiano as first author; OpenAI blog ""Learning from Human Preferences"" dated June 13, 2017",https://web.archive.org/web/2026id_/https://openai.com/index/paul-christiano-joins-openai-foundation-board/ ; https://arxiv.org/abs/1706.03741 ; https://web.archive.org/web/2017id_/https://blog.openai.com/deep-reinforcement-learning-from-human-preferences/,2026-09-09; 2017-06-12; 2017-06-13,"No source states the month. Upper bound stays the Open Phil OpenAI grant page of Mar 2017 already cited in C02 (""OpenAI researchers Dario Amodei and Paul Christiano""). Wayback CDX shows paulfchristiano.com captures on 2016-12-02 and 2017-03-26 that would bracket the start, but the page fetches timed out three times (BLOCKED). Wikipedia (edited 9 Sep 2026) also says only ""from 2017 to 2021"". docs/wb-openai-christiano-board.html, docs/arxiv-1706.03741.html, docs/wb-openai-drlhp-2017.html"
1,Christiano: end date of Open Philanthropy technical adviser role,NOT FOUND,"coefficientgiving.org site search for ""Christiano"" returns no results (page title only: ""You searched for Christiano | Coefficient Giving"")",https://coefficientgiving.org/?s=Christiano,2026-09-14,"Coefficient grant pages for ARC (2022-03, 2022-11) return 404, so no grant-page wording about a former adviser is retrievable. Last primary mention remains Sep 2020 (C02). Federal Register API search for ""Paul Christiano"": 0 documents. docs/coefficientgiving_org__s_Christiano.html, docs/federalregister-christiano.json"
1,Christiano: stepping back from US CAISI in 2026 (date/source),FOUND,"""I'll still be spending some of my time advising governments [1] and AI developers ... [1] Including working as a special government employee one day a week at the Center for AI Standards and Innovation."" (Returning to ARC, 4 Aug 2026 22:27 UTC)",https://www.greaterwrong.com/posts/vLFh8HP3hyNy9MCwe/returning-to-arc,2026-08-04,"Primary self-statement; the role became a one-day-a-week special government employee (SGE) arrangement no later than 4 Aug 2026. Corroboration: Transformer 16 Jul 2026 still calls him ""head of AI safety""; Transformer 5 Aug 2026: ""Paul Christiano — until recently the head of AI safety at the US government's Center for AI Standards and Innovation""; OpenAI 9 Sep 2026: ""where he is a Senior Tech Advisor"". NIST people page (fetched 2026-09-14) is stale: ""Head of AI Safety, U.S. Artificial Intelligence Safety Institute"". docs/www_greaterwrong_com_posts_vLFh8HP3hyNy9MCwe_returning-to-arc.html"
1,Christiano: CAISI title corroboration (press),FOUND,"""This week, Paul Christiano — until recently the head of AI safety at the US government's Center for AI Standards and Innovation — wrote: ""Modern AI systems are not aligned with human intent..."""" (Transformer, 5 Aug 2026)",https://www.transformernews.ai/p/what-the-latest-rogue-ai-incidents-should-teach-us,2026-08-05,"Transformer 16 Jul 2026 (docs/www_transformernews_ai_p_caisi-us-ai-agency-governance.html): ""including former OpenAI model alignment lead Paul Christiano, who is head of AI safety"". So the change is bracketed 16 Jul–4 Aug 2026. docs/www_transformernews_ai_p_what-the-latest-rogue-ai-incidents-should-teach-us.html"
1,Christiano: own statement on joining OpenAI Foundation board,FOUND,"""I now believe there is a meaningful risk that rapid acceleration in AI capabilities leads to catastrophic and irreversible loss of control in the very near term ... I do not think that the AI industry in general, including OpenAI, is currently on track to reduce this risk to an acceptable level. I'm joining because I believe that if OpenAI rises to the occasion we could significantly reduce risk."" (his X post as quoted by Transformer Weekly, 11 Sep 2026)",https://www.transformernews.ai/p/congress-must-not-waste-the-ai-policy-window,2026-09-11,Secondary quotation of an X post; status id not recovered. docs/www_transformernews_ai_p_congress-must-not-waste-the-ai-policy-window.html
2,Constellation: legal entity and EIN,FOUND,"""Constellation Institute Inc, Berkeley, CA. Tax exemption issued: Jan. 2024. EIN: 93-2465256"" (ProPublica); 990 filer name ""CONSTELLATION RESEARCH CENTER INC""; ""CONSTELLATION RESEARCH CENTER INC. (CRC) WAS FOUNDED BY REDWOOD RESEARCH GROUP, INC. (REDWOOD) A 501(C)(3) ORGANIZATION DURING 2023. CRC WAS FORMED TO TAKE OVER REDWOOD'S CONSTELLATION PROGRAM WHICH PROVIDES CO-WORKING SPACES, EQUIPMENT AND RELATED RESOURCES TO FACILITATE COLLABORATIVE RESEARCH AMONG MISSION-ALIGNED ENTITIES. THE CONSTELLATION PROGRAM WAS GRANTED TO CRC IN 2023."" (990 TY2023 Schedule O)",https://projects.propublica.org/nonprofits/organizations/932465256 ; https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202423209349328452_public.xml,2026-09-14 (fetch); TY2023 return,"ProPublica search for ""constellation berkeley"" returned ""No nonprofits found""; EIN located via web search (Candid/GuideStar list the same EIN). Site now brands as Constellation Institute (constellation.org). Address 2150 Shattuck Ave Ste 1200, Berkeley (same as Redwood). docs/pp-constellation-932465256.html, docs/990-constellation-202423209349328452.xml"
2,"Constellation: 990 TY2023 (short year, first year)",FOUND,"Revenue $5,958,891 (contributions $4,895,655; membership fees $979,054; rental fees $83,252); 13 employees; grants paid $0; officers: Nathaniel Thomas CEO ($91,091), James Bregan Secretary & Treasurer, William Zito President; directors Tyler Storlie, Eli Rose; Schedule R related org: Redwood Research Group Inc (EIN 87-1702255) ""OPERATE CO-WORKING SPACE""",https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202423209349328452_public.xml,TY2023 (FYE 2023-12-31),"Object id 202423209349328452. Occupancy $1,177,291. docs/990-constellation-202423209349328452.xml"
2,Constellation: 990 TY2024,FOUND,"Revenue $12,615,988 (contributions $10,679,955; membership fees $2,070,598; rental property income -$218,724); expenses $8,692,174; net assets $6,006,473; total assets $18,315,170; liabilities $12,308,697; 23 employees; grants paid $0; Nathaniel Thomas CEO (thru 7/24) $274,975; James Bregan CFO $249,664; William Zito President (thru 11/24) $91,088; directors Eli Rose, Tyler Storlie; ""CRC IS IN THE PROCESS OF COMPLETING ITS GAAP AUDIT ... WILL BE FILING AN AMENDED FORM 990""",https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202503199349302910_public.xml,TY2024 (FYE 2024-12-31),"Object id 202503199349302910. No Schedule I (no grants made) and no Schedule R in TY2024. Occupancy $2,774,015. docs/990-constellation-202503199349302910.xml"
2,Constellation: Coefficient/Open Philanthropy grants in local index,FOUND,"2023-06-05 Constellation | Coworking Space | $3,000,000 (Global Catastrophic Risks Opportunities); 2024-04-17 Constellation | General Support | $3,200,000 (Navigating Transformative AI); 2024-06-18 Constellation | Programmatic Activities and Operating Expenses | $16,750,000 (Navigating Transformative AI). Total $22,950,000 in 3 grants",/mnt/f/projects/memes/anthropic-investors/research/04-openphil-grants-raw-2026-09-11.json (urls: https://coefficientgiving.org/grants/constellation-coworking-space/ ; https://coefficientgiving.org/grants/constellation-general-support/ ; https://coefficientgiving.org/grants/constellation-programmatic-activities-and-operating-expenses/),index built 2026-09-11,"Matches NOTES-amplifiers.md figure ($23.0M). The two grant URLs tested return 404 on the live site (2026-09-14), consistent with NOTES-coefficient-grant-pages.md; index is the source."
2,Constellation: METR statement that it shares the center with lab staff,FOUND,"""Also note that some METR staff have strong social ties to employees of AI companies, and METR currently works out of a shared research center (Constellation) which hosts some AI lab staff."" (METR Frontier Risk Report, 19 May 2026)",https://metr.org/blog/2026-05-19-frontier-risk-report/,2026-05-19,"Same paragraph: ""We think having a personnel CoI policy is an important part of building and maintaining independence, and we are actively working on developing such a policy."" docs/metr_org_blog_2026-05-19-frontier-risk-report.html"
