row_id,date,measure,value,period,source_url,quote
G01,2024-12,budget,10000000,calendar 2024,https://metr.org/2024-annual-report.pdf,METR achieved this and more on a total 2024 budget of $10 million.
G02,2024-12,fundraising target,15000000,calendar 2025,https://metr.org/2024-annual-report.pdf,"In 2025, we seek to raise and deploy $15 million, and intend to achieve even more than in 2024."
G03,2026-08-14,commitments raised,71000000,six months to Aug 2026,https://metr.org/blog/2026-08-14-funding-update/,"In the last 6 months, METR raised commitments of around $71 million."
G04,2026-08-14,commitments raised,71000000,six months to Aug 2026,https://api.fxtwitter.com/i/status/2088403778727031062,"@METR_Evals 2026-08-14: In the last 6 months, METR raised commitments of around $71 million. This will fund ambitious projects..."
G05,2025-02-19,revenue,13639155,FY2024 short year 2024-05-01 to 2024-12-31,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202523209349300367_public.xml,"Form 990 Part I line 12 total revenue 13,639,155 (contributions 13,603,035 incl. 4,501,424 from related org ARC)"
G06,2024,revenue,10043597,"ARC calendar 2023 (ARC Evals era; whole-ARC figure, not evals-only)",https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202403209349312630_public.xml,"ARC Form 990 FY2023 total revenue 10,043,597; Schedule O: the evaluations project grew quickly in 2023, becoming the majority of the organization's expenses"
G07,2025-02-19,headcount,38,FY2024 W-2 count (Part I line 5),https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202523209349300367_public.xml,Total number of individuals employed in calendar year 2024: 38
G08,2026-09-11,headcount,35,"approx, Aug-Sep 2026",https://www.businessinsider.com/metr-beth-barnes-ai-talent-shortage-safety-research-openai-2026-8,"Still, the feeling inside the approximately 35-person lab is one of concern."
G09,2026-09-11,salary offered,503000,"current job postings, 2026",https://www.businessinsider.com/metr-beth-barnes-ai-talent-shortage-safety-research-openai-2026-8,"even METR's lofty salaries, which reach $503,000 on current job postings, don't address the nonprofit's talent shortage."
G10,2026-08-03,salary offered,503000,2026 (KuCoin syndication of BI reporting),https://www.kucoin.com/news/flash/ai-safety-firm-metr-offers-503k-salaries-but-struggles-to-hire-enough-staff,"METR currently has only 35 employees and still struggles to recruit sufficient talent, even with salaries reaching up to $503,000 annually."
G11,2026-09-11,fundraising statement,n/a,2026,https://www.businessinsider.com/metr-beth-barnes-ai-talent-shortage-safety-research-openai-2026-8,"""Ideally, we'd like to scale really large, but in practice, we've been able to fundraise as much as we need, and the bottleneck is much more talent,"" Barnes said."
G12,2026-09-13,revenue,not published,calendar 2025,https://metr.org/about,"No 2025 annual report or 2025 revenue figure found on metr.org/blog, metr.org/research, metr.substack.com archive or web search as of 2026-09-13; only the Jan-May 2025 progress report (no finance lines). FY2025 Form 990 not yet on ProPublica."
G13,2026-09-13,revenue,undisclosed,ongoing,https://metr.org/about,"a small part of our income is from a technical assistance contract with the European AI Office, supporting their approach and technical methods for assessing loss of control risks."
G14,2025-09-28,"Audacious commitment (METR share, METR's own later figure)","<16000000 (""a bit under $16m"")",3 years,https://www.greaterwrong.com/posts/yrephKDBFL6h9zAFv/beth-barnes-s-shortform/comment/w3e6cbHeozQJaJH5c,"Audacious funding: This ended up being a bit under $16m, and is a commitment across 3 years."
G15,2025-09-28,run-rate,"~13000000 per year (~$15M next year; ""quite plausibly $17m++"")","annual, Sep 2025",https://www.greaterwrong.com/posts/yrephKDBFL6h9zAFv/beth-barnes-s-shortform/comment/w3e6cbHeozQJaJH5c,"Budget: We run at ~$13m p.a. rn (~$15m for the next year under modest growth assumptions, quite plausibly $17m++ given the increasingly insane ML job market)."
G16,2025-09-28,runway,12–16 months,Sep 2025,https://www.greaterwrong.com/posts/yrephKDBFL6h9zAFv/beth-barnes-s-shortform/comment/w3e6cbHeozQJaJH5c,"Runway: Depending on spend/growth assumptions, we have between 12 and 16 months of runway."
G17,2025-09-28,fundraising goal; Audacious described as one-off,10000000 by end of 2025,2025,https://www.greaterwrong.com/posts/yrephKDBFL6h9zAFv/beth-barnes-s-shortform/comment/w3e6cbHeozQJaJH5c,"Our fundraising goal for the end of 2025 is to raise $10M … The audacious funding was a one-off, and we need to make sure we have a sustainable funding model."
