row_id,outlet_match,adfontes_bias,adfontes_reliability,adfontes_url,mbfc_bias,mbfc_factual,mbfc_url,notes
LN01,Washington Examiner,11.15,34.19,https://adfontesmedia.com/washington-examiner-bias-and-reliability/,Right-Center,Mostly Factual,https://mediabiasfactcheck.com/washington-examiner/,"fetched 2026-09-14 ~09:30 UTC (research/lean/adfontes-*.html, mbfc-*.html); Ad Fontes bias scale roughly -42 (left) to +42 (right), reliability 0–64; MBFC labels as published"
LN02,The Next Web,,,,Left-Center,Mostly Factual,https://mediabiasfactcheck.com/the-next-web/,"fetched 2026-09-14 ~09:30 UTC (research/lean/adfontes-*.html, mbfc-*.html); Ad Fontes bias scale roughly -42 (left) to +42 (right), reliability 0–64; MBFC labels as published"
LN03,Breitbart,13.56,30.42,https://adfontesmedia.com/breitbart-bias-and-reliability/,Right,Mixed,https://mediabiasfactcheck.com/breitbart/,"fetched 2026-09-14 ~09:30 UTC (research/lean/adfontes-*.html, mbfc-*.html); Ad Fontes bias scale roughly -42 (left) to +42 (right), reliability 0–64; MBFC labels as published"
LN04,Daily Caller,12.8,34.42,https://adfontesmedia.com/daily-caller-bias-and-reliability/,,,,"fetched 2026-09-14 ~09:30 UTC (research/lean/adfontes-*.html, mbfc-*.html); Ad Fontes bias scale roughly -42 (left) to +42 (right), reliability 0–64; MBFC labels as published"
LN05,ZeroHedge,17.13,20.87,https://adfontesmedia.com/zerohedge-bias-and-reliability/,Right,Low,https://mediabiasfactcheck.com/zero-hedge/,"fetched 2026-09-14 ~09:30 UTC (research/lean/adfontes-*.html, mbfc-*.html); Ad Fontes bias scale roughly -42 (left) to +42 (right), reliability 0–64; MBFC labels as published"
LN06,New York Times,-8.01,40.85,https://adfontesmedia.com/new-york-times-bias-and-reliability/,Left-Center,High,https://mediabiasfactcheck.com/new-york-times/,"fetched 2026-09-14 ~09:30 UTC (research/lean/adfontes-*.html, mbfc-*.html); Ad Fontes bias scale roughly -42 (left) to +42 (right), reliability 0–64; MBFC labels as published"
LN07,Wall Street Journal,4.32,43.11,https://adfontesmedia.com/wall-street-journal-bias-and-reliability/,Right-Center,Mostly Factual,https://mediabiasfactcheck.com/wall-street-journal/,"fetched 2026-09-14 ~09:30 UTC (research/lean/adfontes-*.html, mbfc-*.html); Ad Fontes bias scale roughly -42 (left) to +42 (right), reliability 0–64; MBFC labels as published"
LN08,NPR,-4.36,42.68,https://adfontesmedia.com/npr-bias-and-reliability/,Left-Center,High,https://mediabiasfactcheck.com/npr/,"fetched 2026-09-14 ~09:30 UTC (research/lean/adfontes-*.html, mbfc-*.html); Ad Fontes bias scale roughly -42 (left) to +42 (right), reliability 0–64; MBFC labels as published"
LN09,Axios,-3.34,42.53,https://adfontesmedia.com/axios-bias-and-reliability/,Left-Center,High,https://mediabiasfactcheck.com/axios/,"fetched 2026-09-14 ~09:30 UTC (research/lean/adfontes-*.html, mbfc-*.html); Ad Fontes bias scale roughly -42 (left) to +42 (right), reliability 0–64; MBFC labels as published"
LN10,CNBC,,,,Left-Center,Mostly Factual,https://mediabiasfactcheck.com/cnbc/,"fetched 2026-09-14 ~09:30 UTC (research/lean/adfontes-*.html, mbfc-*.html); Ad Fontes bias scale roughly -42 (left) to +42 (right), reliability 0–64; MBFC labels as published"
LN11,TechCrunch,-0.47,45.3,https://adfontesmedia.com/techcrunch-bias-and-reliability/,Left-Center,High,https://mediabiasfactcheck.com/techcrunch/,"fetched 2026-09-14 ~09:30 UTC (research/lean/adfontes-*.html, mbfc-*.html); Ad Fontes bias scale roughly -42 (left) to +42 (right), reliability 0–64; MBFC labels as published"
