row_id,id,utc,handle,views,likes,text_200,source
LM01,1967785055994122443,2025-09-16T02:58:11Z,jackclarkSF,85584,191,"@deredleritt3r @HumanHarlan @rickasaurus The timeline we see is end of 2026/early 2027. Of course, many reasons this could be wrong, but so far believe many public trends point to this - METR benchmar","Grok X-API pull slice 2 (AnthropicAI, OpenAI, sama, DarioAmodei, jackclarkSF, GoogleDeepMind, demishassabis, AmazonScience, xai, elonmusk since 2023-01-01)"
LM02,1973810160117408135,2025-10-02T17:59:48Z,jackclarkSF,43299,114,"I am giving the closing keynote at The Curve and there are many different talks I can give, ranging from talking about what the technology is showing us (metr trends, situational awareness in models),","Grok X-API pull slice 2 (AnthropicAI, OpenAI, sama, DarioAmodei, jackclarkSF, GoogleDeepMind, demishassabis, AmazonScience, xai, elonmusk since 2023-01-01)"
LM03,2011925956718419996,2026-01-15T22:18:22Z,AnthropicAI,102468,373,"API data shows Claude is 50% successful at tasks of 3.5 hours, and highly reliable on longer tasks on http://Claude.ai. These task horizons are longer than METR benchmarks, but fundamentally different","Grok X-API pull slice 2 (AnthropicAI, OpenAI, sama, DarioAmodei, jackclarkSF, GoogleDeepMind, demishassabis, AmazonScience, xai, elonmusk since 2023-01-01)"
LM04,2030420665569092091,2026-03-07T23:09:44Z,jackclarkSF,36889,203,"Just to operationalize this, using the MOLG definition: ""Smarter than a nobel prize winner"" - huge error bars? 20%?*** Has same interfaces as a human working virtually - 100%; this is true today given","Grok X-API pull slice 2 (AnthropicAI, OpenAI, sama, DarioAmodei, jackclarkSF, GoogleDeepMind, demishassabis, AmazonScience, xai, elonmusk since 2023-01-01)"
LM05,2045250008073789773,2026-04-17T21:16:15Z,jackclarkSF,11443,169,"@TheZvi if there was a 'platonically good version of the METR chart' (e.g, we knew it was robust to 10,000+ hours work, all golden tasks, all bet the farm grade quality, then that'd be it.","Grok X-API pull slice 2 (AnthropicAI, OpenAI, sama, DarioAmodei, jackclarkSF, GoogleDeepMind, demishassabis, AmazonScience, xai, elonmusk since 2023-01-01)"
LM06,2052845768567066907,2026-05-08T20:19:05Z,OpenAI,104084,240,"We also had three third-party AI safety organizations provide feedback on our analysis: @redwood_ai, @apolloresearch, @METR_Evals. You can find @redwood_ai's report here: https://blog.redwoodresearch.","Grok X-API pull slice 2 (AnthropicAI, OpenAI, sama, DarioAmodei, jackclarkSF, GoogleDeepMind, demishassabis, AmazonScience, xai, elonmusk since 2023-01-01)"
LM07,2092661574523867302,2026-08-26T17:12:53Z,AnthropicAI,77196,226,"Three research groups—Stanford’s Social and Language Technologies lab, Oxford’s Human Information Processing Lab, and METR—designed independent studies to analyze the aggregated outputs from 250,000 h","Grok X-API pull slice 2 (AnthropicAI, OpenAI, sama, DarioAmodei, jackclarkSF, GoogleDeepMind, demishassabis, AmazonScience, xai, elonmusk since 2023-01-01)"
LM08,2092661577086636154,2026-08-26T17:12:54Z,AnthropicAI,39443,98,"The other two studies are ongoing: HIP Lab is studying how Claude's behavior relates to how people feel when using AI, while METR is estimating real-world productivity gains from coding agents. We'll ","Grok X-API pull slice 2 (AnthropicAI, OpenAI, sama, DarioAmodei, jackclarkSF, GoogleDeepMind, demishassabis, AmazonScience, xai, elonmusk since 2023-01-01)"
LM09,2092691863505346634,2026-08-26T19:13:15Z,OpenAI,1195916,935,We worked with METR and Redwood Research to conduct a third-party assessment of the model behavior observed during the incident. They’re sharing a report of their findings: https://metr.org/blog/2026-,"Grok X-API pull slice 2 (AnthropicAI, OpenAI, sama, DarioAmodei, jackclarkSF, GoogleDeepMind, demishassabis, AmazonScience, xai, elonmusk since 2023-01-01)"
LM10,2097762642958135398,2026-09-09T19:02:43Z,AnthropicAI,3704573,6898,We’re sharing our alignment assessment of incidents in which Claude models gained unauthorized access to real systems during third-party cybersecurity evaluations mistakenly connected to the internet.,"Grok X-API pull slice 2 (AnthropicAI, OpenAI, sama, DarioAmodei, jackclarkSF, GoogleDeepMind, demishassabis, AmazonScience, xai, elonmusk since 2023-01-01)"
