page,timestamp,farhi,employee_ban,not_accepted_funding_from_ai_companies,compensation_footnote,compute_credits,free_tokens,independent_donors
about,20251216013159,1,0,1,0,1,0,0
about,20251223004726,1,0,1,0,1,0,0
about,20251225092912,1,0,1,0,1,0,0
about,20251227223027,1,0,1,0,1,0,0
about,20251230010646,1,0,1,0,1,0,0
about,20260103002703,1,0,1,0,1,0,0
about,20260104090755,1,0,1,0,1,0,0
about,20260106015751,1,0,1,0,1,0,0
about,20260113015538,1,0,1,0,1,0,0
about,20260117061243,1,0,1,0,1,0,0
about,20260118113616,1,0,1,0,1,0,0
about,20260120010412,1,0,1,0,1,0,0
about,20260125211914,1,0,1,0,1,0,0
about,20260127003213,1,0,1,0,1,0,0
about,20260202230601,1,0,1,0,1,0,0
about,20260203005653,1,0,1,0,1,0,0
about,20260204114456,1,0,1,0,1,0,0
about,20260204150153,1,0,1,0,1,0,0
about,20260204203225,1,0,1,0,1,0,0
about,20260205065316,1,0,1,0,1,0,0
about,20260205085447,1,0,1,0,1,0,0
about,20260208112936,1,0,1,0,1,0,0
about,20260210011152,1,0,1,0,1,0,0
about,20260211175212,1,0,1,0,1,0,0
about,20260211231917,1,0,1,0,1,0,0
about,20260217025714,1,0,1,0,1,0,0
about,20260224023756,1,0,1,0,1,0,0
about,20260224220635,1,0,1,0,1,0,0
about,20260303012650,1,0,1,0,1,0,0
about,20260306074601,1,0,1,0,1,0,0
about,20260311015926,1,0,1,0,1,0,0
about,20260312130103,1,0,1,0,1,0,0
about,20260316233630,1,0,1,0,1,0,0
about,20260317144859,1,0,1,0,1,0,0
about,20260323232155,1,0,1,0,1,0,0
about,20260331022304,1,0,1,0,1,0,0
about,20260331022319,1,0,1,0,1,0,0
about,20260406231750,1,0,1,0,1,0,0
about,20260413232314,1,0,1,0,1,0,0
about,20260416061149,1,0,1,0,1,0,0
about,20260417183626,1,0,1,0,1,0,0
about,20260420231833,1,0,1,0,1,0,0
about,20260423022205,1,0,1,0,1,0,0
about,20260423203818,1,0,1,0,1,0,0
about,20260427232007,1,0,1,0,1,0,0
about,20260502230341,1,0,1,0,1,0,0
about,20260504233044,1,0,1,0,1,0,0
about,20260504233058,1,0,1,0,1,0,0
about,20260511232216,1,0,1,0,1,0,0
about,20260515131708,1,0,1,0,1,0,0
about,20260518042433,1,0,1,0,1,0,0
about,20260525003705,1,0,1,0,1,0,0
about,20260525151048,1,0,1,0,1,0,0
about,20260525232320,1,0,1,0,1,0,0
about,20260601232933,1,0,1,0,1,0,0
about,20260609023504,1,0,1,0,1,0,0
about,20260609023519,1,0,1,0,1,0,0
about,20260616170230,1,0,1,0,1,0,0
about,20260617221517,1,0,1,0,1,0,0
about,20260622235537,1,0,1,0,1,0,0
about,20260623143716,1,0,1,0,1,0,0
about,20260629232851,1,0,1,0,1,0,0
about,20260706232641,1,0,1,0,1,0,0
about,20260714200544,1,0,1,0,1,0,0
about,20260719171236,1,1,1,0,1,0,0
about,20260719232759,1,1,1,0,1,0,0
about,20260804074910,1,1,1,0,0,1,0
about,20260818223548,1,1,1,0,0,1,0
about,20260827031343,1,1,1,0,0,1,0
about,20260827074732,1,1,1,0,0,1,0
about,20260827200446,1,1,1,0,0,1,0
about,20260830052020,1,1,1,0,0,1,0
about,20260831014313,1,1,1,0,0,1,0
about,20260903143825,1,1,1,0,0,1,0
about,20260904144859,1,1,1,0,0,1,0
about,20260913105654,1,1,1,0,0,1,0
donate,20250801172720,0,0,0,1,0,0,0
donate,20250805113028,0,0,0,1,0,0,0
donate,20250902054534,0,0,0,1,0,0,0
donate,20250910151728,0,0,0,1,0,0,0
donate,20251002100351,0,0,0,1,1,0,1
donate,20251018080651,0,0,0,1,1,0,1
donate,20251030121245,0,0,0,1,1,0,1
donate,20251104194929,0,0,0,1,1,0,1
donate,20251108074922,0,0,0,1,1,0,1
donate,20251118164503,0,0,0,1,1,0,1
donate,20251203031018,0,0,0,1,1,0,1
donate,20251207103034,0,0,0,1,1,0,1
donate,20251222101524,0,0,0,1,1,0,1
donate,20260103002704,0,0,0,1,1,0,1
donate,20260202230637,0,0,0,1,1,0,1
donate,20260204114450,0,0,0,1,1,0,1
donate,20260204182503,0,0,0,1,1,0,1
donate,20260204203224,0,0,0,1,1,0,1
donate,20260205065259,0,0,0,1,1,0,1
donate,20260205085442,0,0,0,1,1,0,1
donate,20260211194137,0,0,0,0,0,0,1
donate,20260228150854,0,0,0,0,0,0,1
donate,20260309091500,0,0,0,0,0,0,1
donate,20260317160747,0,0,0,0,0,0,1
donate,20260331113815,0,0,0,0,0,0,1
donate,20260423035655,0,0,0,0,0,0,1
donate,20260501180832,0,0,0,0,0,0,1
donate,20260515143402,0,0,0,0,0,0,1
donate,20260525151046,0,0,0,0,0,0,1
donate,20260601195424,0,0,0,0,0,0,1
donate,20260616170302,0,0,0,0,0,0,1
donate,20260703210324,0,0,0,0,0,0,1
donate,20260804024601,0,1,0,0,0,0,1
donate,20260827031353,0,1,0,0,0,0,1
donate,20260827074752,0,1,0,0,0,0,1
donate,20260830055410,0,1,0,0,0,0,1
donate,20260901104832,0,1,0,0,0,0,1
