row_id,date,round,amount_usd,post_money_valuation_usd,named_investors,note,source_url,provenance
IV01,2021-05-28,Series A,124000000,not disclosed by Anthropic; Forge/Dealroom secondary estimate ~$623M post (unverified),Jaan Tallinn (lead); Dustin Moskovitz; Eric Schmidt; James McClave; Center for Emerging Risk Research; others,individual amounts not disclosed,https://www.anthropic.com/news/anthropic-raises-124-million-to-build-more-reliable-general-ai-systems,"anthropic-investors/research/01-funding-rounds.csv (Anthropic releases and press, snapshot 2026-09-11); copied 2026-09-14"
IV02,2022-04-29,Series B (funded Oct 2021–Mar 2022),580000000,"not disclosed; FTX bankruptcy motion: Alameda's ~$500M bought ~8% (7.84% fully diluted by Feb 2024), implying ~$6.3B post if 8% of post-money",Sam Bankman-Fried / Alameda ~$500M (lead); Caroline Ellison ~$10M; Nishad Singh ~$40M; Jaan Tallinn; James McClave; CERR,Tallinn and McClave amounts not disclosed,https://www.anthropic.com/news/anthropic-raises-series-b-to-build-safe-reliable-ai ; https://unchainedcrypto.com/ftx-seeks-bankruptcy-court-approval-to-sell-1-4-billion-stake-in-ai-startup-anthropic/,"anthropic-investors/research/01-funding-rounds.csv (Anthropic releases and press, snapshot 2026-09-11); copied 2026-09-14"
IV03,2023-05-23,Series C,450000000,4100000000,Spark Capital (lead); Google; Salesforce Ventures; Sound Ventures; Zoom Ventures,,https://www.anthropic.com/news/anthropic-series-c,"anthropic-investors/research/01-funding-rounds.csv (Anthropic releases and press, snapshot 2026-09-11); copied 2026-09-14"
IV04,2024-01-11,Series D,750000000,18400000000,Menlo Ventures (lead); Spark Capital; Google tranche converted,,https://www.cnbc.com/2023/12/21/openai-rival-anthropic-in-talks-to-raise-750-million-in-menlo-ventures-led-deal.html,"anthropic-investors/research/01-funding-rounds.csv (Anthropic releases and press, snapshot 2026-09-11); copied 2026-09-14"
IV05,2024-03-25,FTX estate secondary sale #1 (29.5M shares @ ~$30),884000000,~18000000000 implied,ATIC $500M / 16.66M sh; Jane Street Global Trading $100M / 3.3M sh; Fidelity funds $50M; Ford Foundation; HOF Capital; ~20 others,"Jane Street the firm; METR names ""individuals from Jane Street"" as donors (M75)",https://www.theblock.co/post/284480/ftx-to-sell-two-thirds-of-anthropic-stake-for-884-million-with-buyers-including-jane-street-and-funds-managed-by-fidelity,"anthropic-investors/research/01-funding-rounds.csv (Anthropic releases and press, snapshot 2026-09-11); copied 2026-09-14"
IV06,2024-06,FTX estate secondary sale #2 (15M shares @ $30),452000000,~18000000000 implied,G Squared $135M; Fund FG-BLU; ~20 other buyers,FTX estate total ~$1.34B for a ~7.84% stake bought for ~$500M,https://www.theblock.co/post/298010/ftx-offloads-remaining-anthropic-shares-as-bankruptcy-cost-surpasses-700-million,"anthropic-investors/research/01-funding-rounds.csv (Anthropic releases and press, snapshot 2026-09-11); copied 2026-09-14"
IV07,2025-03-03,Series E,3500000000,61500000000,Lightspeed (~$1B lead); Bessemer; Cisco; D1; Fidelity; General Catalyst; Jane Street; Menlo; Salesforce Ventures,Jane Street amount not disclosed; employee tender May 2025 at $56.09/share at this valuation,https://www.anthropic.com/news/anthropic-raises-series-e-at-usd61-5b-post-money-valuation,"anthropic-investors/research/01-funding-rounds.csv (Anthropic releases and press, snapshot 2026-09-11); copied 2026-09-14"
IV08,2025-09-02,Series F,13000000000,183000000000,ICONIQ (lead); Fidelity; Lightspeed (co-leads); Jane Street among 19 named participants,,https://www.anthropic.com/news/anthropic-raises-series-f-at-usd183b-post-money-valuation,"anthropic-investors/research/01-funding-rounds.csv (Anthropic releases and press, snapshot 2026-09-11); copied 2026-09-14"
IV09,2026-02-12,Series G,30000000000,380000000000,GIC and Coatue (leads); Jane Street among ~35 named participants,,https://www.anthropic.com/news/anthropic-raises-30-billion-series-g-funding-380-billion-post-money-valuation,"anthropic-investors/research/01-funding-rounds.csv (Anthropic releases and press, snapshot 2026-09-11); copied 2026-09-14"
IV10,2026-05-28,Series H,65000000000,965000000000,"Altimeter, Dragoneer, Greenoaks, Sequoia (leads); Jane Street among participants; Amazon $5B",latest priced round; confidential draft S-1 submitted 2026-06-01,https://www.anthropic.com/news/series-h,"anthropic-investors/research/01-funding-rounds.csv (Anthropic releases and press, snapshot 2026-09-11); copied 2026-09-14"
IV11,2026-09-12,IPO reporting (not a transaction),"up to 100000000000 (raise, reported)",~2000000000000 (reported target),n/a,"WSJ Sep 12 2026: an IPO ""could raise up to $100 billion and value the artificial-intelligence giant at around $2 trillion, the Journal has reported"" (research/press-pdfs/wsj-2026-09-12-anthropic-boss-warns-slow-the-pace.txt)",https://www.wsj.com/tech/ai/anthropic-boss-warns-ai-industry-must-slow-the-pace-a4267b56,Kevin PDF 2026-09-14
IV12,2026-06-30,Amazon carrying value (10-Q),18000000000 invested,n/a,Amazon,convertible notes $97.9B and nonvoting preferred $92.5B carrying value per Amazon 10-Q for the quarter ended 2026-06-30 (agent S12/S11 read via WebFetch; sec.gov refuses curl),https://www.sec.gov/Archives/edgar/data/1018724/000101872426000026/amzn-20260630.htm,agent S12 REPORT.md; stakes.csv ST63
IV13,2025-03-11,Google stake disclosure (court filings via press) and Alphabet carrying value,n/a,n/a,Google / Alphabet,"Google owns 14% per court filings in the antitrust case (NYT via TechCrunch, Mar 2025); Alphabet non-marketable equity securities $124.3B at 2026-06-30, ""primarily"" Anthropic per Bloomberg; Alphabet filings never name Anthropic",https://techcrunch.com/2025/03/11/google-has-given-anthropic-more-funding-than-previously-known-court-filing-reveals/,agent S12 REPORT.md
