# fetch_timestamp_utc=2026-09-13T23:39:54Z
# source=api.fxtwitter.com/status/<id> + X keyword search for discovery
# (a) quotes/replies of 2097762642958135398 and 2097765966088487290 with views>1000; discovery via quoted_tweet_id/conversation_id min_faves:5-20 Latest pagination. Posts with >1000 views and few likes may be missing.
# (b) from:DarioAmodei,sama,DavidSacks 2026-09-12..13 about pacing the frontier or METR. Named replies/quotes of Sacks 2098973625252708460 from METR_Evals,BethMayBarnes,ChrisPainterYup,DarioAmodei,jackclarkSF,dwarkesh_sp: none found.
# (c) from:METR_Evals,ChrisPainterYup,ajeya_cotra,JoeJBenton,EmilyOehlsen,dwarkesh_sp 2026-09-08T00:00Z..2026-09-10T23:59Z. ajeya_cotra: 0 posts.
# (d) 2097707668920205580 quoted_id/in_reply_to_id from API. Replies from METR or Coefficient staff (METR_Evals,BethMayBarnes,ChrisPainterYup,ajeya_cotra,JoeJBenton,EmilyOehlsen,coeff_giving,JakeMendel99,wilhelmscreamin): none found.
# (e) from:BethMayBarnes since:2024-01-01 matching independent OR Open Phil OR Coefficient OR funding OR Anthropic OR OpenAI; text re-filtered after hydrate.
# (f) community_note on Sacks 2098973625252708460=None; Anthropic 2097762642958135398=None. No Community Notes rows.
# skipped_a_views_le_1000=0 skipped_e_keyword=0 missing_hydrate=0
# n_rows=147 n_catalog=147
id,utc,handle,name,text_200,views,likes,reposts,quotes,in_reply_to_id,quoted_id,source_query
1869481754786197755,2024-12-18T20:35:58Z,BethMayBarnes,Elizabeth Barnes,Props to Anthropic for providing @ryangreenblatt with employee-level model access; I'd love to see more of this type of support for independent AI safety research,6112,111,4,1,,1869438997183021096,e
1953532076294340962,2025-08-07T19:01:56Z,BethMayBarnes,Elizabeth Barnes,"I’m really excited to have done this pilot with OpenAI. They should get a bunch of credit for sharing sensitive information with us - especially CoT access, and providing answers to all of the key que",1232,46,1,0,1953532074809602072,,e
1953532077384802424,2025-08-07T19:01:56Z,BethMayBarnes,Elizabeth Barnes,"The reasoning largely appears monitorable, and we’re very happy that OpenAI has maintained the principle of not training against CoT. This allowed us to observe the model’s clumsy attempts at understa",1261,40,3,0,1953532076294340962,,e
1970609769326223648,2025-09-23T22:02:35Z,BethMayBarnes,Elizabeth Barnes,"METR is a non-profit research organization, and we are actively fundraising! We prioritise independence and trustworthiness, which shapes both our research process and our funding options. To date, we",29168,310,34,6,,,e
1984657019954188414,2025-11-01T16:21:21Z,BethMayBarnes,Elizabeth Barnes,"Props to Anthropic, a great precedent for transparency. Esp sharing sensitive details like compute scaleup calculations, expected performance early in RL. Plus employee interviews and any whistleblowi",17612,109,1,0,,1983248509752213526,e
1984658176214778197,2025-11-01T16:25:57Z,BethMayBarnes,Elizabeth Barnes,"I think we also demonstrated value of independent review. E.g. see on page 12 (re training pressure on the CoT that disincentivized revealing harmful info): ""There had been internal miscommunications ",1558,15,0,0,1984657019954188414,,e
2057865017656258973,2026-05-22T16:43:48Z,BethMayBarnes,Elizabeth Barnes,"(3) METR (and other independent orgs, as well as safety/security teams at labs) feel woefully under-resourced compared to the scale and pace of AI development - we’re struggling to build benchmarks fa",29655,376,18,4,2057865016267911282,,e
2058265344805126169,2026-05-23T19:14:33Z,BethMayBarnes,Elizabeth Barnes,@krishnanrohit It's on our very long todo list :P but if you know anyone who could start a team at METR or new org doing this I'd love to chat / help them find funding etc,40,0,0,0,2058261220864803119,,e
2092716475065008449,2026-08-26T20:51:03Z,BethMayBarnes,Elizabeth Barnes,We haven't taken any funding from OpenAI or other AI companies (although they provide us free model access for eval execution and research). We are predominantly funded by donations plus a small amoun,862,22,0,0,2092714781899723160,,e
2092724460856213585,2026-08-26T21:22:47Z,BethMayBarnes,Elizabeth Barnes,"@So8res Might be misunderstanding you, but I don't think this is really evidence of concerning generalization to broad correlates of reward - OpenAI said these agents had explicit multi-agent training",3396,68,4,2,2092713316816998695,,e
2092725501186261415,2026-08-26T21:26:55Z,BethMayBarnes,Elizabeth Barnes,"My understanding is that the agents found and read the original ExploitGym paper and assumed that OpenAI had implemented the scorer in the same way, which seems like a pretty reasonable assumption to ",22344,431,12,1,,2092711666853294583,e
2092825132381458731,2026-08-27T04:02:49Z,BethMayBarnes,Elizabeth Barnes,"@AISafetyMemes ""A rogue AI swarm spent months plotting to escape OpenAI"" is really not a good characterization of our findings. (Although questions of what happened before Jul 7th are out of scope to ",1382,15,0,0,2092781128826618209,,e
2097359573581799481,2026-09-08T16:21:04Z,dwarkesh_sp,Dwarkesh Patel,Pretraining progress seems to be coming mostly from data improvements. @who_is_jerbear and I pretrained combinations of year-representative open model recipes and data corpuses across 2019 to 2025 at ,240191,1255,98,46,,,c
2097374972151058735,2026-09-08T17:22:15Z,dwarkesh_sp,Dwarkesh Patel,"@eliebakouch @who_is_jerbear Thanks Elie! Even beyond your points, another big way in which our results might be understating model improvements is that their value may be only evident if we tested at",4718,53,1,0,2097369910192066684,,c
2097377640332276188,2026-09-08T17:32:51Z,dwarkesh_sp,Dwarkesh Patel,"Super impressive. Congrats! And maybe suggests that during RSI, the automated AI researchers will be less bottlenecked by compute than we might naively think.",132275,1329,48,2,,2097356551032033478,c
