holder,shares,at_date,price,value,source_rows,basis_note
Jane Street Global Trading LLC (Mar-2024 purchase only),3332833,2024-03-22,30.0045,99999988,LD06,"FTX sale #1 price (docket); cost basis $99,999,988 (D.I. 10241-1); no later Jane Street purchases added (amounts undisclosed in Series E/F/G/H)"
Jane Street Global Trading LLC (Mar-2024 purchase only),3332833,2025-03-03,56.0900,186938603,"LD09,LD10","Series E-1 price; cost basis $99,999,988 (D.I. 10241-1); no later Jane Street purchases added (amounts undisclosed in Series E/F/G/H)"
Jane Street Global Trading LLC (Mar-2024 purchase only),3332833,2025-09-02,140.9700,469829468,LD11,"Series F-1 price; cost basis $99,999,988 (D.I. 10241-1); no later Jane Street purchases added (amounts undisclosed in Series E/F/G/H)"
Jane Street Global Trading LLC (Mar-2024 purchase only),3332833,2026-02-12,259.1400,863670344,LD12,"Series G-1 price; cost basis $99,999,988 (D.I. 10241-1); no later Jane Street purchases added (amounts undisclosed in Series E/F/G/H)"
Jane Street Global Trading LLC (Mar-2024 purchase only),3332833,2026-05-28,589.0100,1963071965,LD14,"Series H-1 price; cost basis $99,999,988 (D.I. 10241-1); no later Jane Street purchases added (amounts undisclosed in Series E/F/G/H)"
Jane Street Global Trading LLC (Mar-2024 purchase only),3332833,2026-08-11,925.0000,3082870525,LD20,"secondary transaction $925 (indication, not a round); cost basis $99,999,988 (D.I. 10241-1); no later Jane Street purchases added (amounts undisclosed in Series E/F/G/H)"
Jane Street Global Trading LLC (Mar-2024 purchase only),3332833,2026-09-14,870.3600,2900764530,LD22,"Notice.co algorithmic $870.36 (indication); cost basis $99,999,988 (D.I. 10241-1); no later Jane Street purchases added (amounts undisclosed in Series E/F/G/H)"
"FTX estate calibration (44,465,891 sh had it held)",44465891,2024-03-22,30.0045,1334176827,LD06,"FTX sale #1 price (docket); actual proceeds $884,109,327 + ~$450M = ~$1.34B; cost ~$500M"
"FTX estate calibration (44,465,891 sh had it held)",44465891,2025-03-03,56.0900,2494091826,"LD09,LD10","Series E-1 price; actual proceeds $884,109,327 + ~$450M = ~$1.34B; cost ~$500M"
"FTX estate calibration (44,465,891 sh had it held)",44465891,2025-09-02,140.9700,6268356654,LD11,"Series F-1 price; actual proceeds $884,109,327 + ~$450M = ~$1.34B; cost ~$500M"
"FTX estate calibration (44,465,891 sh had it held)",44465891,2026-02-12,259.1400,11522890994,LD12,"Series G-1 price; actual proceeds $884,109,327 + ~$450M = ~$1.34B; cost ~$500M"
"FTX estate calibration (44,465,891 sh had it held)",44465891,2026-05-28,589.0100,26190854458,LD14,"Series H-1 price; actual proceeds $884,109,327 + ~$450M = ~$1.34B; cost ~$500M"
"FTX estate calibration (44,465,891 sh had it held)",44465891,2026-08-11,925.0000,41130949175,LD20,"secondary transaction $925 (indication, not a round); actual proceeds $884,109,327 + ~$450M = ~$1.34B; cost ~$500M"
"FTX estate calibration (44,465,891 sh had it held)",44465891,2026-09-14,870.3600,38701332891,LD22,"Notice.co algorithmic $870.36 (indication); actual proceeds $884,109,327 + ~$450M = ~$1.34B; cost ~$500M"
