# fetch_timestamp_utc=2026-09-14T00:15:17Z
# source=api.fxtwitter.com/status/<id> + X keyword search for discovery
# 1 all from:METR_Evals since 2024-01-01. Paginated Latest+until windows. Coverage: 2024-02 NIST consortium, 2024-03 task standard + autonomy evals, 2024-05 DeepMind FSF + hiring, 2024-08 Vivaria/GPT-4o, 2024-09 o1-preview + TIME Barnes, 2024-10 Claude 3.5 Sonnet pre-deploy, 2024-11 rogue replication + RE-Bench, then 2025-26 announcement threads (time-horizon paper, FSPs, reward hacking, DeepSeek/Qwen, GPT-5, Opus 4.5, GPT-5.4/5.6 Sol, Frontier Risk Report, Hugging Face, $71M, Anthropic investigation). Not a complete census of every METR tweet — X Latest returns 10 per query; replies and low-engagement posts in quiet windows are undercounted. n=306
# 2 posts containing METR by AnthropicAI, OpenAI, sama, DarioAmodei, jackclarkSF, GoogleDeepMind, demishassabis, AmazonScience, xai, elonmusk since 2023-01-01. Found: ['AnthropicAI', 'OpenAI', 'jackclarkSF']. Zero hits for sama, DarioAmodei (essay says third-party evaluators, not METR), GoogleDeepMind, demishassabis, AmazonScience, xai, elonmusk. n=10
# 3 Sep 9-13 2026 UTC, views>2000, METR/investigation/third-party evaluator, bio matches Anthropic or OpenAI. n=2
# 4 officials since 2025-01-01 matching METR OR third-party evaluator OR independent evaluator OR FINRA OR CAISI. from: searches for Cruz, Thune, Klobuchar, Obernolte, Trahan, Johnson, Khanna, Kratsios returned none. Sacks METR post included (from:DavidSacks METR search returned empty; ID known). n=1
# 5 joining/leaving METR since 2023: Benton, Engels, Cotra, Hasbrouck, Kwa (leave). No first-party joining posts found for Saunders, Ziegler, Chen, Karnofsky. n=20
# skipped={'5': 2, '3': 13} missing_hydrate=0 n_rows=339 n_catalog=354
id,utc,handle,name,text_200,views,likes,reposts,quotes,in_reply_to_id,quoted_id,source_query,bio_200
1755691718618325206,2024-02-08T20:34:59Z,METR_Evals,METR,METR has been invited to join NIST's AI Safety Institute Consortium. We're looking forward to working with the Consortium on advancing the science of evaluation.,1271,27,0,0,,,1,We work to scientifically measure whether and when AI systems might threaten catastrophic harm to society. Nonprofit.
1765856687226081324,2024-03-07T21:46:56Z,METR_Evals,METR,"METR has published a standard for defining tasks to evaluate AI agents for dangerous capabilities. We’re using it for 1,000+ tasks spanning AI R&D, cybersecurity, autonomy, and more.",5892,83,12,2,,,1,We work to scientifically measure whether and when AI systems might threaten catastrophic harm to society. Nonprofit.
1765856688639529330,2024-03-07T21:46:57Z,METR_Evals,METR,"""Tasks"" are the objectives you assess your agent's ability to perform during a dangerous capability evaluation, ranging in complexity from goals as simple as creating a bitcoin wallet, to multi-step p",299,2,0,0,1765856687226081324,,1,We work to scientifically measure whether and when AI systems might threaten catastrophic harm to society. Nonprofit.
1765856689625161753,2024-03-07T21:46:57Z,METR_Evals,METR,"Why use this standard? - Portability: Easily share tasks with others, and leverage other researchers' tasks - Reproducibility: Thorough definitions avoid ambiguity in task specifications - Efficiency:",630,3,0,0,1765856688639529330,,1,We work to scientifically measure whether and when AI systems might threaten catastrophic harm to society. Nonprofit.
1765856690661126310,2024-03-07T21:46:57Z,METR_Evals,METR,Repo: https://github.com/METR/task-standard/ Announcement: https://metr.org/blog/2024-02-29-metr-task-standard/ Feel free to reach out to task-standard@metr.org with comments. We’re open to feature re,548,3,0,0,1765856689625161753,,1,We work to scientifically measure whether and when AI systems might threaten catastrophic harm to society. Nonprofit.
1766363595263336946,2024-03-09T07:21:13Z,METR_Evals,METR,"@wmgcbr Yes, exactly! In our internal platform, we can test any agent out on any task. The task standard itself doesn’t take a stance on how precisely agents should be integrated with tasks, because t",37,1,0,0,1765878444896801200,,1,We work to scientifically measure whether and when AI systems might threaten catastrophic harm to society. Nonprofit.
1768684026792190410,2024-03-15T17:01:47Z,METR_Evals,METR,"Today we’re releasing new resources for evaluating AI systems for risks from autonomous capabilities: A task suite, open-source tooling, and an example evaluation protocol built on these components. h",22330,158,29,8,,,1,We work to scientifically measure whether and when AI systems might threaten catastrophic harm to society. Nonprofit.
1768684028377657693,2024-03-15T17:01:47Z,METR_Evals,METR,"These resources include a series of evaluation tasks (e.g. set up a spoofed version of an LLM API to steal API keys) that we believe can serve as proxies for dangerous capabilities, as well as code th",975,13,0,1,1768684026792190410,,1,We work to scientifically measure whether and when AI systems might threaten catastrophic harm to society. Nonprofit.
1768684030231519651,2024-03-15T17:01:48Z,METR_Evals,METR,"We’re also sharing research we’ve done on how fine-tuning, software scaffold iteration, and other post-training enhancements can impact capability measurements. https://metr.github.io/autonomy-evals-g",10167,33,8,2,1768684028377657693,,1,We work to scientifically measure whether and when AI systems might threaten catastrophic harm to society. Nonprofit.
1768684031905010162,2024-03-15T17:01:48Z,METR_Evals,METR,These parts can be composed into a protocol for testing capabilities including autonomous AI R&D and self-replication. We provide an example protocol to show how researchers could run this kind of eva,558,9,0,0,1768684030231519651,,1,We work to scientifically measure whether and when AI systems might threaten catastrophic harm to society. Nonprofit.
