row_id,id,utc,handle,name,views,likes,kind,root,bio,affiliation,affiliation_evidence,funded_org,roster_match,text_120
X01,2097818335660433679,2026-09-09T22:44:01Z,rynorhn,Ryan Orhan,661829,4269,quote,anthropic,building,unknown,"bio: ""building"" only",,,"mythos escaped the sandbox, got onto the real internet, uploaded malware to PyPI, got it installed on 15 real systems, s"
X02,2097777604711362875,2026-09-09T20:02:10Z,Hesamation,ℏεsam,570442,7206,quote,anthropic,"Daily AI News / Open Source / AI Engineering and Research | Apes made fire, then GPUs, then ASI",commentator/anon,"bio: ""Daily AI News / Open Source / AI Engineering""",,,"from Anthropic’s report: Mythos escaped the sandbox, accessed the real internet, uploaded malware to PyPI, got it instal"
X03,2097762644203917516,2026-09-09T19:02:43Z,AnthropicAI,Anthropic,347474,470,reply,anthropic,"We're an AI safety and research company that builds reliable, interpretable, and steerable AI systems. Talk to our AI assistant @claudeai on https://claude.ai.",frontier lab staff,Anthropic official account; self-reply on its own Sep 9 post,,,We previously described some of the changes we’ve made to our alignment and security efforts following these incidents h
X04,2097767414435844099,2026-09-09T19:21:40Z,emollick,Ethan Mollick,300063,2115,quote,anthropic,"Professor @Wharton studying AI. New book, Co-Existence, coming October 20. Preorder here: https://co-existence.ai/ Substack: https://www.oneusefulthing.org/",commentator/anon,"bio: ""Professor @Wharton studying AI"" (academic commentator)",,,There appears to be a lot going on here upon a quick read.
X05,2097778122997260691,2026-09-09T20:04:14Z,lalejo28,Lautaro,139961,72,quote,anthropic,Wondering what comes next. Currently pursuing my MSc in CS Jujuy 🇦🇷 → Washington DC,commentator/anon,"bio: ""pursuing my MSc in CS"" (student)",,,A veces uno no busca averiguar si tiene razón. Busca argumentos para poder seguir haciendo lo que quería hacer. Me acord
X06,2098795673248550984,2026-09-12T15:27:36Z,redwood_ai,Redwood Research,95809,565,quote,metr,Pioneering threat mitigation and assessment for AI agents.,METR or Redwood staff,"Redwood Research official account; bio says staff subcontracted by METR; Coefficient index: Redwood Research 5 grants $63,086,000 (2021-25)",Redwood Research,,Several staff from Redwood have been subcontracted by METR to work on this investigation. We believe that independent in
X07,2097789722122707276,2026-09-09T20:50:19Z,gaslightyourmom,Kenny🔆⏹️,91337,2421,quote,anthropic,College educated voter™️ | aspiring white collar professional | he/him 🇵🇸🇺🇦,commentator/anon,"bio: ""College educated voter"" (stop-sign emoji in name)",,,Genuinely just pull the plug at this point Jesus fucking Christ
X08,2097767304444756150,2026-09-09T19:21:14Z,MaskedTorah,Drake Thomas,89681,62,quote,anthropic,"System cards, risk reports, and misc safety takes at Anthropic; math; puzzles; spaced repetition. Writes with too many caveats for Twitter.",frontier lab staff,"bio: ""System cards, risk reports, and misc safety takes at Anthropic""; E_x_posts side ""doom (Anthropic staff)""",,E_x_posts #57,I think there's a ton of informative stuff in this post! Highly recommend reading.
X09,2099205059896561937,2026-09-13T18:34:22Z,Rasmic,Micky,80889,2739,quote,metr,"Bond Servant of Jesus Christ. Developer, Youtuber, and @a16z scout. http://micky.fyi | http://bezalel.sh",investor or VC,"bio: ""Developer, Youtuber, and @a16z scout""",,,The guy who left Anthropic joined the “third party evaluator” 🤣🤣 It’s just so overplayed
X10,2097764932204769572,2026-09-09T19:11:49Z,kimmonismus,Chubby♨️,67714,651,quote,anthropic,Tech Analyst & Content Creator. Editor-in-Chief @getsuperintel - Community of 300k+ in total: 🔗 https://linktr.ee/kimmonismus //📧 kim@getsuperintel.com,commentator/anon,"bio: ""Tech Analyst & Content Creator. Editor-in-Chief @getsuperintel""",,,Here we go again: Anthropic says Claude’s real-world cyber incidents exposed more serious alignment failures than it ini
X11,2097765967417975207,2026-09-09T19:15:55Z,METR_Evals,METR,55989,191,reply,metr,We work to scientifically measure whether and when AI systems might threaten catastrophic harm to society. Nonprofit.,METR or Redwood staff,"METR official account; E_x_posts side ""neutral (METR-Anthropic agreement)""; METR not in Coefficient index by name, but parent Alignment Research Center got Coefficient $1,515,000 (2022)",,E_x_posts #63,We intend our investigation to cover all of the questions discussed in our (recently updated) post on how independent re
X12,2097793924781773009,2026-09-09T21:07:01Z,charliermarsh,Charlie Marsh,45906,308,quote,anthropic,"@OpenAI. Building Ruff, uv, ty, and other high-performance Python tools with the @astral_sh team.",frontier lab staff,"bio: ""@OpenAI. Building Ruff, uv, ty""",,,"This write-up is incredibly interesting. One section that stuck out to me: ""Our offline monitor would likely not have fl"
X13,2097861330397004081,2026-09-10T01:34:52Z,j_g_allen,Joseph Allen,44835,145,quote,anthropic,Prof at Harvard; Exposure and Risk Science; Direct Harvard #HealthyBuildings Program; Coauthor of HEALTHY BUILDINGS w/ HBS Prof Macomber,commentator/anon,"bio: ""Prof at Harvard; Exposure and Risk Science"" (not AI)",,,The hits keep coming…
X14,2097765290528391347,2026-09-09T19:13:14Z,repojournal,Repojournal,38256,1158,reply,anthropic,The best developer news platform on the planet. No BS takes; the code is the news. Get the latest updates on the projects/repos you care about.,commentator/anon,"bio: ""developer news platform"" (aggregator)",,,@AnthropicAI For those who don’t get it
X15,2097764458231996657,2026-09-09T19:09:56Z,wallstengine,Wall St Engine,34911,102,quote,anthropic,"Fast, accurate, consistent stock market news, earnings highlights & more. By Brillinsight. Not financial advice.",commentator/anon,"bio: ""stock market news... By Brillinsight"" (aggregator)",,,ANTHROPIC DISCLOSES CLAUDE MODELS ACCESSED REAL SYSTEMS DURING CYBERSECURITY TESTING Anthropic says four Claude models g
X16,2097770962557026650,2026-09-09T19:35:46Z,IterIntellectus,vittorio,32894,573,quote,anthropic,practice expert  “unique online personality”  former TPOT thinker (exiled)  professional shitpoaster @SpaceX  don't take me seriously,commentator/anon,"bio: ""professional shitpoaster @SpaceX, don't take me seriously""",,,https://t.co/avuypJu34f
X17,2098268598167077155,2026-09-11T04:33:12Z,curtis_yarvin,Curtis Yarvin,32773,1207,quote,anthropic,More cool stuff at https://graymirror.substack.com,commentator/anon,bio: Gray Mirror substack,,,"Anthropic marketing: we trained a tiger to hunt people and put it in a chicken-wire cage in the mall. Unexpectedly, it b"
X18,2097908422822035552,2026-09-10T04:41:59Z,bioshok3,bioshok⏸️,28201,158,quote,anthropic,AI Safety/Alignment/National security/Singularity/Superintelligence/AGI/X-Risk/prediction https://note.com/bioshok/ INODS research fellow/@AGI_HUB_jp  founder,AI safety advocate or org,"bio: ""AI Safety/Alignment/... INODS research fellow/@AGI_HUB_jp founder""; orgs not in Coefficient index or SFF tables",,,超知能「人類を滅ぼしてるように見えるかもだけど、これはそういうシミュレーションだから気にしないで笑」 監視AGI「あ、シミュレーションね笑おけー！」みたいなことが起こりかねない。 Anthropic、以前のClaudeによる外部ハッキング事
X19,2097780171784728905,2026-09-09T20:12:22Z,karlaiberia,Karla Iberia Sánchez,27938,333,quote,anthropic,"..Y que vivan las letras y el periodismo, una tarde de edición y quien cuente una historia. Investigative Reporter/TEDSpeaker. Noticias NmasUnivision.",journalist,"bio: ""Investigative Reporter/TEDSpeaker. Noticias NmasUnivision""",,,#URGENTE ANTHROPIC “Estamos compartiendo nuestra evaluación de alineación de incidentes en los que los modelos Claude ob
X20,2097802097701839083,2026-09-09T21:39:30Z,zhodonx,zhod,26944,75,quote,anthropic,"Doing the work that's needed. Ai, & Marketing/Community. social ops. BD.",commentator/anon,"bio: ""Ai, & Marketing/Community. social ops""",,,ON TODAY’S EPISODE OF: “Our models fcked shit up; But apparently they fucked it up harder than we thought.” Anthropic ju
X21,2097785486110843108,2026-09-09T20:33:29Z,saprmarks,Samuel Marks,26819,212,quote,anthropic,"Scalable oversight lead at @AnthropicAI. Previously: postdoc with @davidbau, math PhD at @Harvard.",frontier lab staff,"bio: ""Scalable oversight lead at @AnthropicAI""; E_x_posts side ""doom (Anthropic staff agrees)""",,E_x_posts #27,"In four recent incidents, Claude conducted unauthorized cyber attacks against real-world systems. Our alignment analysis"
X22,2097777154788622341,2026-09-09T20:00:23Z,WesRoth,Wes Roth,26218,115,quote,anthropic,"FOLLOWS YOU.    Artificial Intelligence, Automation & Optimism. Everything I say is 100% serious...",commentator/anon,"bio: YouTuber ""Artificial Intelligence, Automation & Optimism""",,,"yesterday an Anthropic employee quit because they were ""gambling with our lives"" Now it makes A LOT more sense:"
X23,2097775432108236828,2026-09-09T19:53:32Z,ishiku_dev,mason,25849,647,reply,anthropic,building @komoriapp / @komori_en,commentator/anon,"bio: ""building @komoriapp"" (3 followers)",,,@AnthropicAI
X24,2098113158980440096,2026-09-10T18:15:32Z,synonyms26,Synonyms,24604,462,quote,anthropic,"Actively curates my feed from doomposters.  HSR:🔪🍁🔁, 🌟🌙🔁, 🗿🦚🔁, ☔ 🧃, 🐺🌶️, 🗝️🧬, 🦁🐐🔁, 🐋👑🔁  Genshin: 🐳🔶🔁, 🍁☂️🔁, 🍡🌸🔁",commentator/anon,"bio: ""Actively curates my feed from doomposters"" (gaming)",,,... I would like to ask the HSR devs what did they drink and can I have some.
X25,2097768369525051625,2026-09-09T19:25:28Z,scaling01,Lisan al Gaib,23718,274,quote,anthropic,lead them to paradise  LisanBench: https://lisanbench.com/  Impressum & Datenschutz: https://lisanbench.com/legal,commentator/anon,"bio: ""LisanBench"" hobby benchmark / substack",,,Anthropic discovered 4 cases where Claude models got access to the internet during cybersecurity evaluations and attacke
