row_id,url_fetched,http_status,verdict,exact_quote_found,notes
DR01,https://web.archive.org/web/20240423101403id_/https://metr.org/about,200,CONFIRMED,"About Us (Replace) We're dedicated to learning how to give as well as possible. Here's what we've done so far.","Placeholder template page; sections are Partnerships / Our Work / What we do (""Blurb about what we do"") / AI's transformative potential. No Funding section; none of the four phrases present. File DR01-about-20240423.html"
DR02,https://web.archive.org/web/20240423121005id_/https://metr.org/donate,200,CONFIRMED,"Every.org can facilitate donations of any size, and we recommend using it to make donations of up to $50,000.","Capture exists (200). Text searched: 'cannot accept' 0, 'frontier AI company employees' 0, 'compensation from AI companies' 0, 'not accepted funding' 0. File DR02-donate-20240423.html"
DR03,https://metr.org/2024-annual-report.pdf,200,CONFIRMED,"METR achieved this and more on a total 2024 budget of $10 million. In 2025, we seek to raise and deploy $15 million, and intend to achieve even more than in 2024.","PDF 10.7 MB, pdftotext lines 81-83. No 'cannot accept', 'employee' donation rule, 'compensation from AI', or 'not accepted' anywhere in the text; only 'employee' hit is 'Cohere early employee' (hires section). Files DR03-annual-report-2024.pdf/.txt"
DR04,https://web.archive.org/web/20241231011203id_/https://metr.org/about,200,CONFIRMED,"We have previously worked with OpenAI, Anthropic, and other companies to pilot informal pre-deployment evaluation procedures. These companies have also provided access and compute credits to support evaluation research.","Sections: What we do / Our mission / Partnerships / Our team / Advisors. No 'How is METR funded?' or Funding section; none of the four phrases. File DR04-about-20241231.html"
DR06,https://techcrunch.com/2025/04/17/former-y-combinator-president-geoff-ralston-launches-new-ai-safety-fund/,200,CONFIRMED,"His new fund is called Safe Artificial Intelligence Fund, or SAIF ... He plans to write $100,000 checks as a SAFE, ""pun intended,"" he says, with a $10 million cap.","Julie Bort, 12:33 PM PDT April 17 2025. Article confirms the SAIF facts; it does not speak to Ralston's 2025-26 lab employment either way (that part of the row is an absence claim, not sourced to this page). File DR06-techcrunch-ralston.html"
DR09,https://x.com/BethMayBarnes/status/1970609775684825471,200,CONFIRMED,"We prioritise independence and trustworthiness, which shapes both our research process and our funding options. To date, we have not accepted funding from frontier AI labs.","Server-rendered thread. Fetched status is the 10:02 PM Sep 23 2025 'To donate to METR, click here: metr.org/donate ... reach out to giving@metr.org' post; the quoted sentence is in the thread parent (same page). No employee-gift ban in any post on the page. File DR09-x-barnes-1970609775684825471.html"
DR11,https://web.archive.org/web/20251002100351id_/https://metr.org/donate,200,CONFIRMED,"To date, September 2025, we have not accepted compensation from AI companies for the evaluations we have conducted. However, companies have provided access and compute credits to enable evaluations and evaluation research.","Body sentence 'Support from a wide range of independent donors is also part of how we ensure that our research is as accurate as possible.' present verbatim. First unique-digest donate capture with the 'independent donors' body wording and the 'However, companies have provided ...' footnote clause (prior 20250910151728 still had April-2025 footnote). File DR11-donate-20251002.html"
DR13,https://web.archive.org/web/20260412023104id_/https://computerhistory.org/profile/david-farhi/,200,CONFIRMED,"David Farhi Technical Lead, OpenAI David Farhi joined the OpenAI Dota team as a researcher in 2018, after studying theoretical particle physics at MIT and Harvard. He led the team in 2019, and since then has worked on Minecraft and large language models at OpenAI.","Also refetched the 2025-12-10 capture (CDX ts 20251210202132, saved DR13-chm-farhi-20251210.html): identical title and bio. File DR13-chm-farhi-20260412.html"
DR14,https://arxiv.org/html/2412.16720,200,DIFFERS,"Supporting Leadership: Aidan Clark, Aleksander Madry, Christopher Hesse, David Farhi, Jie Tang, Lilian Weng, Mia Glaese, Nick Ryder","Affiliation/contributor claim confirmed (Farhi under Supporting Leadership; also 'D. Farhi' in GPT-4 citation). Date differs: HTML header says 'v2 [cs.AI] 30 Apr 2026' and abs page says '[v2] Thu, 30 Apr 2026 02:46:40 UTC', not 29 Apr 2026 (29 Apr is US-Pacific evening of the same UTC timestamp). Files DR14-arxiv-2412.16720.html, DR14-arxiv-2412.16720-abs.html"
DR16,https://www.nytimes.com/2026/06/17/podcasts/hard-fork-live-dylan-field.html,403,BLOCKED,,"Direct fetch 403 (774-byte block page). Wayback: CDX shows only a 20260621045629 'warc/revisit' and a 20260623175004 capture whose stored status is 403; fetching web.archive.org/web/2026id_/... x3 and the 20260621 revisit x1 all returned NYT 'Not Authorized' 403 pages. Row claims cannot be checked from this URL. Files DR16-nyt-hardfork-field.html, DR16-nyt-hardfork-field-wayback.html, DR16-nyt-hardfork-field-wayback-20260621.html"
