row_id,org,type,founded,hq_country,what_it_does,lab_engagements,coefficient_total_usd,coefficient_grants_n,sff_total_usd,other_funders,lab_money,gov_contracts,leadership,named_in_sep_2026,source_urls,notes
EV01,METR (Model Evaluation and Threat Research),nonprofit,2022 (as ARC Evals inside ARC); spun out 2024-04-30,US,Runs pre-/post-release dangerous-capability and autonomy evaluations of frontier models and incident investigations.,"OpenAI (GPT-4 as ARC 2023; GPT-4o/o1/o3/GPT-5 series; Aug 2026 Hugging Face incident investigation, unpaid); Anthropic (Claude 2 onward; Feb/Aug 2026 Risk Report pilot external reviews; Sep 9 2026 eight-week incident investigation; named once in Amodei essay Sep 12); Google DeepMind (FSF v1.0 credit); Amazon (Nova Premier / Nova 2.0 Lite third-party assessor); Magic; G42 framework help. See evals.csv and lab_statements.csv.",0,0,4427000,"Audacious Project ~$17M of ~$38M Canary commitment (2024-10); Schmidt Sciences (undisclosed); Packard; Pew; Sijbrandij Foundation; Longview Philanthropy ($220,000 2023 + pooled); Effektiv Spenden (EUR 128,000 2023); Jaan Tallinn direct ($204,000 2024); Dylan Field; Steve Newman; Geoff Ralston; David Farhi; Jane Street individuals; LaCentra-Sumerlin; Astralis; Expa.org; FY2024 990 revenue $13,639,155 incl. $4,501,424 ARC transfer; ~$71M commitments raised Feb-Aug 2026",no (policy): metr.org/about says it does not accept donations from frontier AI companies or made by/at the direction of their employees; accepts free API credits (~$400K for HF investigation); HF investigation unpaid,"UK AISI (grant/contract, amount undisclosed); EU AI Office technical-assistance contract on loss-of-control (amount undisclosed, 'a small part of our income'); also consortium member of EquiStamp-led EU Lot 3 (EUR 1,167,484 total to consortium); no CAISI contract found","Beth Barnes, CEO (ex-OpenAI alignment, ex-DeepMind); Chris Painter, President (ex-US DoD JAIC)","Dwarkesh Patel Sep 9 ('ordain it the evaluator'); Anthropic Sep 9 (investigation agreement); Dario Amodei essay Sep 12 (example embedded evaluator); Joe Benton Sep 9/11 (joining METR); attacked by Sacks Sep 13, Khlaaf/Recht Sep 12",https://metr.org/about;https://x.com/dwarkesh_sp/status/2097707668920205580;https://darioamodei.com/post/we-must-pace-the-frontier;https://survivalandflourishing.fund/2023/h1/recommendations;https://survivalandflourishing.fund/2024/recommendations;https://survivalandflourishing.fund/2025/recommendations;https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202523209349300367_public.xml;ted-864574-2025.xml,"Coefficient index: no grant to METR under any name ('metr' substring only hits Center for Welfare Metrics / IHME); ARC got $1,515,000 (2 grants, 2022) before the spin-out - counted on the ARC row. SFF = ARC Evals 2023-H1 $3,247,000 + METR 2024 $204,000 + METR 2025 $548,000 + $428,000 matching pledge. Local files used, nothing re-fetched."
EV02,Apollo Research,company (PBC since Jan 2026; previously fiscally sponsored nonprofit via Rethink Priorities; US 501(c)(3) Apollo Research AI Foundation EIN 99-4122618 has no filings),2023,UK (London; SF office 2026; DE-registered PBC),"Scheming/deception evaluations of frontier models, pre-deployment testing, plus a commercial agent-monitoring product (Watcher).","OpenAI: pre-deployment testing of o1 (2024), anti-scheming training study (2025); 'ran evaluations for all major labs' in 2025 per own timeline; policy engagement with EU AI Office, UK Frontier AI Taskforce. https://www.apolloresearch.ai/about",4410180,3,1133500,"Seed round (Jan 2026) led by 50Y with Juniper Ventures, Macroscopic Ventures, Common Metal, SAIF (Geoff Ralston's Safe AI Fund), Srikar Varadaraj, Sarah Meyohas, Ocean Investment, Progress Fund, Bryan Johnson (amount not stated); philanthropy continues for governance/research; SFF 2023-H2 via LSG $277,169 + via SFF $490,000 + via SFC $115,331; SFF 2024 $251,000 (via Rethink Priorities)",unknown: PBC post says it 'will continue to work with frontier AI companies to evaluate their models' and cites 'quickly growing market demand' for its evals; no published cap or refusal policy found,none with amounts found; policy recommendations to UK Frontier AI Taskforce / EU AI Office (advisory),"Marius Hobbhahn, CEO and co-founder (2023; TIME100 AI 2025); Charlotte Stix, Chief Governance Officer; Daniel Kokotajlo (AI Futures Project) first 'mission director' board seat",none found,https://www.apolloresearch.ai/about;https://www.apolloresearch.ai/blog/apollo-research-is-becoming-a-pbc;https://www.apolloresearch.ai/team;https://survivalandflourishing.fund/2023/h2/recommendations;https://survivalandflourishing.fund/2024/recommendations;https://projects.propublica.org/nonprofits/organizations/994122618,"Coefficient names matched: 'Apollo Research' ($1,535,480 2023 Startup Funding; $2,178,700 2024 General Support; $696,000 2026-05 Staff Support); 'Apollo Fellowship' ($321,838) excluded as unrelated. Team page shows EIN 93-4310599 (DE) which differs from the ProPublica foundation EIN; neither has a 990 on file."
EV03,Epoch AI,"nonprofit (501(c)(3) Epoch Artificial Intelligence Inc, EIN 99-4050541, exempt Sept 2024; earlier under Rethink Priorities)",2021 (volunteers); org 2022,US (San Francisco),"AI trends data, FrontierMath and other benchmarks, independent model evaluations and paid consultations.","OpenAI: commissioned FrontierMath (2024/25), FrontierMath Data Audit and Open Problems Verifier (2026); Google DeepMind: model evaluations joint report (2024/25), AI co-mathematician evaluation (2025); EU AI Office technical consultations (2026); ARIA (2025); UK DSIT; Stanford AI Index. https://epoch.ai/about/transparency",24513611,7,0,"Epoch transparency page (donations >= $70K): Coefficient (matches index); Survival & Flourishing Fund $195,000 (May 2026, not on any published SFF round page); Jaan Tallinn $600,000 DAF (Jan 2025); Leopold Aschenbrenner $200,000 via Manifund (Jan 2025); Likith Govindaiah $400,000 (Jan 2025); Girish Sastry $100,000 robotics (Dec 2025); Schmidt Sciences (FrontierMath Open Problems pilot, Dec 2025, amount not shown); Sentinel Bio $85,000 + $80,000; Carl Shulman $100,000 (2023); 2024 990-EZ revenue $180,010 (new entity)",yes: OpenAI paid for FrontierMath (disclosed Dec 2024/Jan 2025 after criticism; Epoch: 'we made a mistake' in late disclosure); Google DeepMind and OpenAI listed as paying consultation clients on transparency page; no cap stated,"EU AI Office technical consultations 2026 (amount not stated); consortium member of EquiStamp-led EU Lot 3 (EUR 1,167,484 to consortium); ARIA 2025; UK DSIT partnership","Jaime Sevilla, Director (Treasurer on 2024 990-EZ); Tamay Besiroglu listed as President on 2024 990-EZ",none found,https://epoch.ai/about;https://epoch.ai/about/transparency;https://epoch.ai/latest/openai-and-frontiermath;https://techcrunch.com/2025/01/19/ai-benchmarking-organization-criticized-for-waiting-to-disclose-funding-from-openai;https://projects.propublica.org/nonprofits/organizations/994050541,"Coefficient names matched: 'Epoch' (6 grants, $16,013,611) + 'Epoch AI' (1 grant, $8,500,000 2025-06). Epoch's own page dates/labels differ slightly from the index (e.g. $8.5M shown as April 2025; index 2025-06-06) and adds a $600,000 July 2026 compute grant not in the 2026-09-11 index snapshot."
EV04,EquiStamp,company (becoming a PBC),2023,"US (Lewes, Delaware)","Contract eval engineering and research operations for AI-safety labs (Inspect-based evals, baselines, annotation, red/blue teaming).","No direct lab evaluations found; builds infrastructure for evaluators: HCAST for METR, ControlArena for UK AISI, LinuxArena for Redwood (CEO bio). Lead tenderer of EU Lots 3 and 4. https://equistamp.com/",0,0,0,"private company; no funding disclosed on site; revenue from clients (METR, UK AISI, Redwood, EU AI Office)","unknown: no policy on site; clients named are evaluators/governments, not labs","EU AI Office TED 864574-2025: Lot 3 Loss of Control lead (EUR 1,167,484, with METR and Epoch), Lot 4 Harmful Manipulation lead (EUR 881,345, with Clarity AI Research Inc (Transluce) and CeSIA), awarded 2025-11-28 / 2025-12-04; subcontractor on FAR.AI-led Lot 1; UK AISI ControlArena work (amount not public)","Chris Canal, co-founder and CEO (ex-Amazon machine learning; also CEO of Measuring AI Progress)",none found (Canal quoted on standards bodies in July 2026 TechNewsWorld),https://equistamp.com/;ted-864574-2025.xml;https://www.far.ai/blog/far-ai-selected-to-lead-eu-ai-act-cbrn-risk-consortium;https://www.linkedin.com/in/chriscanal/;https://www.technewsworld.com/story/google-deepmind-ceo-calls-for-frontier-ai-standards-body-180439.html,Founder bio from a LinkedIn search snippet (equistamp.com/team returned 403). 'EquiStamp' appears nowhere in the Coefficient index or SFF pages.
EV05,Redwood Research,"nonprofit (501(c)(3) Redwood Research Group Inc, EIN 87-1702255)",2021,US (Berkeley),AI control and alignment research; staff subcontracted to METR for incident investigations.,Anthropic: alignment-faking paper 2024 with employee-level model access for Greenblatt; advises Google DeepMind (own home page); OpenAI Hugging Face incident investigation with METR Aug 2026 (unpaid); staff subcontracted to METR for the Anthropic investigation (Redwood X post Sep 12); UK AISI control safety-case work. See redwood.csv RW23-RW36.,63086000,5,2372000,"Jaan Tallinn direct $1,330,000 (2021-11 via FP-US); SFF 2022-H1 $1,274,000 and 2023-H1 $1,098,000 (only $598,000 paid per Tallinn ledger); 990 revenue $13.9M (2021), $12.0M (2022), $10.0M (2023), $22,060 (2024 after Constellation spin-out)",unknown: no published policy; Greenblatt received no payment from OpenAI for the HF investigation (RW32); Coefficient grants are the dominant income,UK AISI collaboration on AI-control safety cases (no amount); none with CAISI/EU found,"Buck Shlegeris, CEO and co-founder (ex-MIRI); Nate Thomas, co-founder and board chair; Ryan Greenblatt, Chief Scientist","none found; Sep 12 Redwood post disclosed staff subcontracted by METR for the Anthropic investigation; it did not propose Redwood as evaluator",redwood.csv;https://www.redwoodresearch.org/;https://coefficientgiving.org/grants/general-support-40/;https://survivalandflourishing.fund/2022/h1/recommendations;https://survivalandflourishing.fund/2023/h1/recommendations;https://projects.propublica.org/nonprofits/organizations/871702255,"From local redwood.csv; nothing re-fetched. Board overlap: Christiano, Karnofsky, Cotra all former Redwood directors (RW13-RW15). audit 2026-09-14: named_in_sep_2026 was a Redwood disclosure and Kokotajlo comment, neither of which proposed Redwood as evaluator."
EV06,Transluce,"nonprofit (501(c)(3) Clarity AI Research Inc, EIN 99-3262331)",2024 (launched Oct 2024),US (San Francisco),Open-source tools (Docent) and behavior reports for AI oversight; independent evaluations of frontier models.,"OpenAI: pre-release o3 truthfulness evaluation (Apr 2025, early access); GPT-5.1 Codex analysis; 77-model mental-health-crisis evaluation across OpenAI, Anthropic, Google, Meta, xAI, Thinking Machines, DeepSeek, Moonshot (Aug 2026). https://transluce.org/investigating-o3-truthfulness",0,0,0,"2024 990: contributions $6,870,000, net assets $5,214,033; donors not named on site; FY2025 revenue 6% from personal holdings of OpenAI employees and 32% from personal holdings of Anthropic employees (unrestricted, per its own policy page); board includes Mike McCormick (CEO, Halcyon Futures)","policy: 'may accept funding from AI developers or developer employees, including in exchange for evaluation services or products, but with limitations' - must disclose the share of revenue each year; no revenue 'directly from AI developers as organizations' in FY2025; no paid evaluations carried out to date; policy follows AI Evaluator Forum AEF-1 standard","EU AI Office Lot 4 (Harmful Manipulation) as consortium member under EquiStamp (EUR 881,345 to consortium), awarded 2025-12-04","Jacob Steinhardt, co-founder and CEO (UC Berkeley professor, on leave); Sarah Schwettmann, co-founder and Chief Scientist (ex-MIT CSAIL)",none found,https://transluce.org/about;https://transluce.org/independence-and-transparency-policy;https://transluce.org/donate;https://transluce.org/investigating-o3-truthfulness;https://projects.propublica.org/nonprofits/organizations/993262331;ted-864574-2025.xml,Not in Coefficient index under 'Transluce' or 'Clarity AI Research'. Transluce advisor Percy Liang (Stanford) and METR board member Rajiv Dattani (founding advisor) are cross-links.
EV07,Irregular (formerly Pattern Labs),company (VC-backed),2023 (as Pattern Labs),Israel / US,"Frontier AI cyber-capability evaluations (SOLVE / SOLVE+ scoring, FrontierCyber) and simulated network environments.","Anthropic: Claude 4 cyber evaluations as Pattern Labs (2025), SOLVE used for Claude 4 risk vetting; named as the third-party evaluation partner whose testing environment was involved in Anthropic's 2026 cyber-eval incidents; OpenAI: cited in o3/o4-mini and GPT-5 system cards; own GPT-6 Astra FrontierCyber assessment Sep 3 2026; UK government uses SOLVE. https://red.anthropic.com/2025/claude-4-cyber",6799999,1,0,$80M round Sep 2025 led by Sequoia Capital and Redpoint Ventures with Swish Ventures and Wiz CEO Assaf Rappaport; valuation ~$450M; Sequoia also co-led Anthropic's Series H,yes (inferred): commercial evaluation partner of Anthropic and OpenAI; 'Trusted by the world's leading AI labs' on its site; no independence policy published,UK government uses SOLVE framework (no contract amount found); none with CAISI/EU found,"Dan Lahav, co-founder and CEO; Omer Nevo, co-founder and CTO (prior affiliations not stated in fetched sources)",none found,https://www.irregular.com/about;https://techcrunch.com/2025/09/17/irregular-raises-80-million-to-secure-frontier-ai-models/;https://sequoiacap.com/article/partnering-with-irregular-ahead-of-the-curve/;https://www.anthropic.com/research/investigating-incidents-cybersecurity-evals;coefficient index 'Pattern Labs',"Coefficient name matched: 'Pattern Labs' $6,799,999 'Technological Risk Mitigation' 2024-02-28; no grant under 'Irregular'."
EV08,Nemesys Insights LLC,company,not stated (spin-out of University at Albany CART),"US (Albany, NY)",Red-teaming and strategic-analysis consultancy; CBRN threat assessment for AI model evaluations.,"Amazon: third-party assessor for Nova Premier (2025) and independent CBRN auditor for Nova 2.0 Lite (Jan 2026) under Amazon's Frontier Model Safety Framework (lab_statements L13, L16); EU Lot 1 CBRN subcontractor. https://arxiv.org/pdf/2601.19134",0,0,0,private LLC; no funding disclosed,yes (inferred): paid assessor for Amazon per Nova papers; no policy published,"EU AI Office Lot 1 subcontractor to FAR.AI consortium (EUR 1,434,080 to consortium; Nemesys share not public)","Gary Ackerman, CEO (director of UAlbany Center for Advanced Red Teaming); Brandon Behlendorf, Chief Science Officer",none found,https://www.nemesysinsights.com/ourstory;https://www.nemesysinsights.com/ourteam;https://www.far.ai/blog/far-ai-selected-to-lead-eu-ai-act-cbrn-risk-consortium;https://arxiv.org/pdf/2507.06260;https://arxiv.org/pdf/2601.19134,Not a TED tenderer (subcontractor only). No Coefficient or SFF hits.
EV09,FAR.AI,"nonprofit (501(c)(3) FAR AI Inc, EIN 92-0692207)",2022 (incorporated Oct 2022),US (Berkeley / San Diego registration),"AI safety research, red-teaming for frontier labs, regranting, events (Alignment Workshop), FAR.Labs coworking.","'Started red teaming leading language models for frontier labs' (2023, own timeline); paid consulting to frontier developers under its consulting policy; leads EU CBRN consortium (Lot 1). https://www.far.ai/about",59347676,18,6512577,"2024 990 revenue $23,254,628 (2023: $7,648,387; 2022: $1,507,686); Coefficient dominant incl. $28,675,000 (2025-09) and $12,000,000 regranting (2024); SFF 2022-H2 $524,000, 2023-H1 $2,028,000 + $1,063,000 (Labs), 2023-H2 $472,577 + $404,000, 2024 $383,000, 2025 $919,000 + $719,000 match; also fiscal host for Safe AI Forum ($580,000 SFF 2024, excluded)","yes, capped: 'Revenue from for-profit AI developers ... is capped at a maximum of 10% of FAR.AI's total annual revenue'; charges market rates to for-profit developers; retains right to publish","EU AI Office Lot 1 CBRN lead (EUR 1,434,080, with SecureBio and SaferAI; subcontractors GovAI, Nemesys, EquiStamp), awarded 2025-12-04; pro bono/discounted work for governments per policy","Adam Gleave, co-founder and CEO (UC Berkeley CHAI PhD; ex-Google DeepMind; also METR board member); Karl Berzins, co-founder and President",none found,https://www.far.ai/about;https://www.far.ai/transparency;https://www.far.ai/blog/far-ai-selected-to-lead-eu-ai-act-cbrn-risk-consortium;https://www.far.ai/team;https://projects.propublica.org/nonprofits/organizations/920692207;https://survivalandflourishing.fund/2025/recommendations;ted-864574-2025.xml,Coefficient name matched: 'FAR AI' (18 grants). Gleave sits on METR's board (board.csv B05): structural overlap.
EV10,SaferAI,nonprofit (French association loi 1901),2022,France (Paris),"Quantitative AI risk models, company risk-management ratings, standards work (OECD, NIST, ISO, EU Code of Practice).",Partnered with Google DeepMind researchers on goal-directedness evaluations; external review of DeepMind's scheming-inability safety case (Jul 2026); advised G42 and 'a major AI company' on frontier safety frameworks; rates OpenAI/Anthropic/Google/Meta/xAI risk management publicly. https://www.safer-ai.org/about,0,0,1056800,"SFF 2022-H2 $214,000; 2023-H2 'Campos Safer AI Project' $325,800 via Lightspeed Grants (flagged); 2024 $95,000; 2025 $311,000 + $111,000 match; other funders not listed on site",unknown: no policy found on site; advisory work for G42 and 'a major AI company' suggests paid framework consulting,"EU AI Office Lot 1 consortium member (EUR 1,434,080 to consortium; leads risk modelling and monitoring workstreams, 3 years)","Henry Papadatos, Executive Director (ex-UC Berkeley sycophancy research); Simeon Campos, founder and board chair",none found,https://www.safer-ai.org/about;https://www.safer-ai.org/saferai-selected-to-support-eu-ai-act-implementation-through-cbrn-risk-assessment;https://survivalandflourishing.fund/2022/h2/recommendations;https://survivalandflourishing.fund/2025/recommendations;ted-864574-2025.xml,"No Coefficient hit under 'SaferAI'/'Safer AI'. The 2023-H2 'Campos Safer AI Project' row is attributed to SaferAI on the founder's name; excluding it gives $731,000."
