year,batch,file,ein,name,period,form,n_matches
2026,02A,202620479349201197_public.xml,863756455,HOLMQUIST LIEWALD LLP,2025-12-31,990EZ,1
2026,03A,202640669349200124_public.xml,821211324,Bor-Duan Shieh CPA,2025-12-31,990EZ,1
2026,04A,202620999349201252_public.xml,010702612,INSTITUTE FOR DYNAMIC EDUCATION ADVANCEMENT INC,2025-12-31,990EZ,1
2026,05B,202621409349100717_public.xml,873664806,JUN ZHOU CPA LTD,2025-12-31,990PF,1
2026,06A,202631539349200008_public.xml,883708086,321 FITNESS AND NUTRITION INC,2025-12-31,990EZ,1
2025,05B,202531359349103428_public.xml,873664806,JUN ZHOU CPA LTD,2024-12-31,990PF,1
2025,05B,202531339349307208_public.xml,364813119,RSM US LLP,2024-12-31,990,1
2025,11B,202543169349101824_public.xml,237093201,CLARK NUBER PS,2024-12-31,990PF,1
2025,11B,202533119349100948_public.xml,261635908,Gish Seiden LLP,2024-12-31,990PF,1
2025,11D,202522889349100622_public.xml,854307164,FOLEY &amp; LARDNER LLP,2024-11-30,990PF,1
2025,11D,202513219349323246_public.xml,863605182,ABBOTT STRINGHAM &amp; LYNCH,2024-12-31,990,1
