row_id,utc_time,actor,actor_affiliation,event,views,likes,url,source
D01,2026-09-09 00:04:29,Jacob Coxon (@hilbertspaess),ex-Anthropic pretraining researcher,Resignation post: 'Neither company is acting responsibly... racing straight to self-improving superintelligence' (thread start),170289991,794726,https://x.com/hilbertspaess/status/2097476196791709843,fxtwitter payload
D02,2026-09-09 03:35:54,Joe Benton (@JoeJBenton),ex-Anthropic safety team; joining METR,Quote-post on Coxon thread: 'Evaluating those risks... is why I'm joining METR',63022,562,https://x.com/JoeJBenton/status/2097529404754948390,fxtwitter payload
D03,2026-09-09 11:00:08,Rep. Anna Paulina Luna (@RepLuna),U.S. House (R-FL),Calls for special session of Congress on AI / superintelligence,223601,2005,https://x.com/RepLuna/status/2097641199196684682,fxtwitter payload
D04,2026-09-09 15:03:21,Emily Oehlsen (@EmilyOehlsen),Coefficient Giving (leads AI safety + biosecurity grantmaking),"Launches Project Tailwind: call for founders of new AI safety initiatives, $200k-$200m+ funding tiers",300953,1021,https://x.com/EmilyOehlsen/status/2097702406037606607,fxtwitter payload
D05,2026-09-09 15:24:16,Dwarkesh Patel (@dwarkesh_sp),Dwarkesh Podcast,Post: 'if the FINRA for AI thing happens... ordain [METR] the evaluator'; cites METR/Redwood Hugging Face investigation (not a reply per payload),152723,1209,https://x.com/dwarkesh_sp/status/2097707668920205580,fxtwitter payload
D06,2026-09-09 18:28:53,Rep. Ro Khanna (@RoKhanna),U.S. House (D-CA),"Five-point plan: federal AI agency, pre-certification, liability, criminal penalties, hearings with Coxon",245373,2989,https://x.com/RoKhanna/status/2097754129489596612,fxtwitter payload
D07,2026-09-09 18:51:01,Parker Thayer (@ParkerThayer),Capital Research Center,Claims Coxon post is start of 'well-funded PR operation' for Democrats to regulate AI,6888241,32066,https://x.com/ParkerThayer/status/2097759699626328575,fxtwitter payload
D08,2026-09-09 19:02:43,Anthropic (@AnthropicAI),Anthropic,"Shares alignment assessment of cybersecurity incidents; announces METR independent investigation, eight-week initial agreement",3696232,6892,https://x.com/AnthropicAI/status/2097762642958135398,fxtwitter payload
D09,2026-09-09 19:15:55,METR (@METR_Evals),METR,Confirms agreement with Anthropic to conduct independent investigation; will publish reports and terms of engagement,153629,2515,https://x.com/METR_Evals/status/2097765966088487290,fxtwitter payload
D10,2026-09-09 19:05:07,Anthropic,Anthropic,"Publish of 'An alignment assessment of recent cybersecurity incidents' (page shows only 'Sep 9, 2026'; no ISO timestamp in HTML; first Wayback capture 19:05:07 UTC, 2m22s after D08 tweet)",,,https://www.anthropic.com/research/alignment-assessment-cybersecurity-incidents,"Wayback CDX first capture (page dateline 'Sep 9, 2026')"
D11,2026-09-09 18:09:33,Coefficient Giving,Coefficient Giving,"Project Tailwind page live (no publish timestamp on page; direct curl 403; jina copy has no date; first Wayback capture 18:09:33 UTC, which is AFTER the 15:03 launch tweet, so publish time is <= 15:03 UTC)",,,https://coefficientgiving.org/tailwind/,Wayback CDX first capture (upper bound only)
D12,2026-09-09 00:00:00,OpenAI (Chris Lehane),OpenAI,"'The AI policy window is open. We need to act.' policy post dated Sep 9, 2026 (time of day not on page; supports CA SB 813 independent-assessment infrastructure; no METR mention; no matching @OpenAI tweet ID found)",,,https://openai.com/index/ai-policy-window/,"page dateline (openai.com newsroom lists 'Sep 9, 2026')"
D13,2026-09-09 00:00:00,Harry Booth (TIME),TIME,'An Anthropic Researcher Quit Over Fears AI Could Kill Us. Here's Why' (Coxon interview) published Sep 9 (time of day: see time_metr.csv jina Published Time),,,https://time.com/article/2026/09/09/ai-anthropic-openai-jacob-coxon/,page dateline
D14,2026-09-10 03:29:02,Beth Barnes (@BethMayBarnes),METR (CEO),"Nearest post to Sep 9 (posted Sep 9 20:29 PDT; still no Sep 9 UTC post: Wayback's twitter.com/BethMayBarnes/status/* API-JSON captures for Sep 8-11 hold only this and her 03:40 post): quote-post of METR's D17 reply: 'More investigations happening! This (and the research behind the investigations + assessments) is prob the most important technical work in the world atm. Know anyone who'd be great at uncovering and understanding rogue AI behaviors? Send 'em our way!' + metr.org/careers. Her next post 03:40:08 UTC (2097892855406817757; 15,169 views, 352 likes) quotes her own May 22 thread: 'I continue to think humanity is *not* on top of handling AI in a way that a ""reasonable civilization"" would... we have no good plan for safely handling superintelligence'. Native-IP timeline routes 2026-09-13 all failed: syndication.twitter.com 429 x3, xcancel.com / nitter.tiekoetter.com / nitter.privacyredirect.com browser-check pages, nitter.net connection reset, nitter.poast.org reset, nitter.cz + nuku.trabun.org Cloudflare 403, html.duckduckgo.com 202 challenge, Bing site: query returned no status links",13885,242,https://x.com/BethMayBarnes/status/2097890060955988444,"Wayback CDX for twitter.com/BethMayBarnes/status/* (API-v2 JSON captures at 2026-09-10 03:29:02 and 03:40:08 UTC) + fxtwitter payload verification of both IDs; handle confirmed earlier via fxtwitter user payload (verified individual, 5,789 followers)"
D15,2026-09-09 09:29:39,Chris Painter (@ChrisPainterYup),METR (President),"Quote-post on Benton's D02: 'Many people stay inside of AI labs, even when they think the default outcome is extinction, because they don't think better options exist outside of labs... I think this is wrong.' (thread continuation, if any, not enumerable via fxtwitter)",7184,129,https://x.com/ChrisPainterYup/status/2097618424973185458,fxtwitter payload (ID via DuckDuckGo html site: search)
D16,,Holden Karnofsky (@HoldenKarnofsky),Anthropic,"NOT FOUND: @HoldenKarnofsky is a protected, dormant account (fxtwitter user payload: 5 tweets, 0 followers, 25 following, website givewell.org, joined Apr 2009); no active handle located. Routes tried: fxtwitter user endpoint, DuckDuckGo site:x.com/HoldenKarnofsky (0 results), 2 WebSearch queries, Wayback CDX (no captures)",,,https://x.com/HoldenKarnofsky,not found
D17,2026-09-09 19:15:55,METR (@METR_Evals),METR,"Second post, reply in the D09 thread (same second): 'We intend our investigation to cover all of the questions discussed in our (recently updated) post on how independent researchers could investigate AI propensities after misalignment incidents' (quotes METR's Jul 29 post 2082316155960885276)",51585,187,https://x.com/METR_Evals/status/2097765967417975207,fxtwitter payload (ID via DuckDuckGo html site: search; replying_to_status = D09)
D18,2026-09-09 19:02:43,Anthropic (@AnthropicAI),Anthropic,"Second post in the D08 thread (same second; Wayback API JSON: conversation_id = D08, referenced_tweets replied_to 2097762642958135398): 'We previously described some of the changes we've made to our alignment and security efforts following these incidents here:' quoting Anthropic's Aug 31 2026 22:45 UTC update (2094557124038951170: 'In July, we reported three incidents in which Claude models... gained unauthorized access...'). No further Anthropic reply in the thread located; the only other Sep 9 Anthropic captures are the 13:33:31 UTC econ-scenarios pair (2097679796687769689 and ...799829307588), unrelated; next capture is Sep 10 17:13 (2098097512544444447)",347008,469,https://x.com/AnthropicAI/status/2097762644203917516,Wayback capture 20260909190243 of twitter.com/AnthropicAI/status/2097762644203917516 (Twitter API-v2 JSON; found via CDX twitter.com/AnthropicAI/status/* Sep 9-10) + fxtwitter payload (views/likes; replying_to AnthropicAI 2097762642958135398)
