row_id,outlet,article_url,published,title,ai_flag,ai_rule,tarbell_byline,roster_id,source_id,source_url
DMITTECHN00001,MIT Technology Review,https://www.technologyreview.com/2025/09/12/1123562/how-do-ai-models-generate-videos/,2025-09-12,,yes,keyword_fallback,no,,SM-MIT-sitemap-35,https://www.technologyreview.com/sitemap-35.xml
DMITTECHN00002,MIT Technology Review,https://www.technologyreview.com/2025/09/12/1123577/the-download-americas-gun-crisis-and-how-ai-video-models-work/,2025-09-12,,yes,keyword_fallback,no,,SM-MIT-sitemap-35,https://www.technologyreview.com/sitemap-35.xml
DMITTECHN00003,MIT Technology Review,https://www.technologyreview.com/2025/09/16/1123592/de-risking-investment-in-ai-agents/,2025-09-16,,yes,keyword_fallback,no,,SM-MIT-sitemap-35,https://www.technologyreview.com/sitemap-35.xml
DMITTECHN00004,MIT Technology Review,https://www.technologyreview.com/2025/09/15/1123608/the-download-computings-bright-young-minds-and-cleaning-up-satellite-streaks/,2025-09-15,,no,,no,,SM-MIT-sitemap-35,https://www.technologyreview.com/sitemap-35.xml
DMITTECHN00005,MIT Technology Review,https://www.technologyreview.com/2025/09/16/1123614/the-looming-crackdown-on-ai-companionship/,2025-09-16,,yes,keyword_fallback,no,,SM-MIT-sitemap-35,https://www.technologyreview.com/sitemap-35.xml
DMITTECHN00006,MIT Technology Review,https://www.technologyreview.com/2025/09/16/1123695/the-download-regulators-are-coming-for-ai-companions-and-meet-our-innovator-of-2025/,2025-09-16,,yes,keyword_fallback,no,,SM-MIT-sitemap-35,https://www.technologyreview.com/sitemap-35.xml
DMITTECHN00007,MIT Technology Review,https://www.technologyreview.com/2025/09/17/1123760/how-to-measure-the-returns-to-rd-spending/,2025-09-17,,no,,no,,SM-MIT-sitemap-35,https://www.technologyreview.com/sitemap-35.xml
DMITTECHN00008,MIT Technology Review,https://www.technologyreview.com/2025/09/17/1123795/the-download-measuring-returns-on-rd-and-ais-creative-potential/,2025-09-17,,no,,no,,SM-MIT-sitemap-35,https://www.technologyreview.com/sitemap-35.xml
DMITTECHN00009,MIT Technology Review,https://www.technologyreview.com/2025/09/17/1123801/ai-virus-bacteriophage-life/,2025-09-17,,yes,keyword_fallback,no,,SM-MIT-sitemap-35,https://www.technologyreview.com/sitemap-35.xml
DMITTECHN00010,MIT Technology Review,https://www.technologyreview.com/2025/09/18/1123818/hydrogen-reality-check-china/,2025-09-18,,no,,no,,SM-MIT-sitemap-35,https://www.technologyreview.com/sitemap-35.xml
