row_id,id,utc,handle,views,likes,text_200,source
AR01,2011146702175289563,2026-01-13T18:41:53Z,ajeya_cotra,32195,329,"Excited to share that I'm joining @METR_Evals to help expand their loss-of-control risk assessment efforts! We hope to more comprehensively review the state of evidence on *means,* *motive,* and *oppo",Grok X-API pull slice 5
AR02,2022419978495127828,2026-02-13T21:17:52Z,ajeya_cotra,10755,155,When I joined METR I was really skeptical that we were evaling models using simple OS scaffolds rather than Claude Code / Codex / etc. I really appreciate Nikola looking into this and I'm surprised it,Grok X-API pull slice 5
AR03,2056800135670338043,2026-05-19T18:12:20Z,ajeya_cotra,25693,286,"On Jan 12, I joined METR to lead writing for our first Frontier Risk Report. The last 18 weeks have been a series of wild sprints to pitch labs, negotiate contracts, analyze questionnaires, negotiate ",Grok X-API pull slice 5
AR04,2093776356119339086,2026-08-29T19:02:38Z,ArfurGrok,31609,140,✅ Thomas Kwa (@kwathomas0) has left METR and joined OpenAI.,Grok X-API pull slice 5
AR05,2094808408113168682,2026-09-01T15:23:38Z,_NathanCalvin,29701,255,I think these comments from Thomas Kwa about why he is leaving METR to go to OpenAI to work on RSI preparedness haven't gotten enough attention. I'm not sure whether I find the central argument about ,Grok X-API pull slice 5
AR06,2095179369966960905,2026-09-02T15:57:43Z,JoeJBenton,153093,1397,"An exciting personal update: Last week I left Anthropic to join @METR_Evals to work on embedded assessment of AI risks. Anthropic has been great to me. I’ve always known, though, that if something mor",Grok X-API pull slice 5
AR07,2097373839281860890,2026-09-08T17:17:45Z,JoshAEngels,42207,840,"Exciting update: I’m joining @METR_Evals to work on alignment incident investigations! My time at GDM has been amazing. But in light of recent incidents, I’m excited to build up public evidence for mi",Grok X-API pull slice 5
AR08,2097529404754948390,2026-09-09T03:35:54Z,JoeJBenton,63357,562,"This feels like a broadly accurate description of the situation: our industry may be on track to build systems that impose an unprecedented amount of risk on the world. Evaluating those risks, and cha",Grok X-API pull slice 5
AR09,2098480585119572317,2026-09-11T18:35:34Z,JoeJBenton,2597027,26364,"I left Anthropic's safety team two weeks ago. Now feels like a good moment to explain why. AI companies are racing to build machines that are much smarter than any human, and we may not survive this. ",Grok X-API pull slice 5
AR10,2098890712830169115,2026-09-12T21:45:16Z,JoshAEngels,376762,4316,I left Google DeepMind's AGI safety team three weeks ago to join @METR_Evals. To some of my friends and family this seemed like a strange decision: I enjoyed the work I did at GDM and turned down offe,Grok X-API pull slice 5
AR11,2099241828126220588,2026-09-13T21:00:28Z,ChaseHasbrouck,9373,314,"After a 20-year career in the U.S. Army, most recently leading digital forensics and malware analysis at Army Cyber Command, I'm excited to join @METR_Evals as an advisor. Much of my career has been s",Grok X-API pull slice 5
