row_id,date,lab,model,engagement_type,metr_report_url,lab_doc_cites_metr,lab_doc_url,quote,source_url,notes
E01,2023-03,OpenAI,GPT-4,pre-deployment evaluation,https://metr.org/blog/2023-03-18-update-on-recent-evals/,yes,https://cdn.openai.com/papers/gpt-4-system-card.pdf,facilitated a preliminary model evaluation by the Alignment Research Center (ARC) of GPT-4's ability to carry out actions to autonomously replicate and gather resources,https://metr.org/blog/2023-03-18-update-on-recent-evals/,"METR was then ARC Evals; system card names ARC, not METR. Card: 'We granted the Alignment Research Center (ARC) early access to the models'. Model tested was not identical to release model."
E02,2023-07,Anthropic,"Claude 2 (and earlier Claude snapshot, Mar 2023)",pre-deployment evaluation,https://metr.org/blog/2023-03-18-update-on-recent-evals/,yes,https://www-cdn.anthropic.com/bd2a28d2535bfb0494cc8e2a3bf135d2e7523226/Model-Card-Claude-2.pdf,We have been working with the Alignment Research Center (ARC) since fall of 2022 to support their safety audits of our AI models.,https://www-cdn.anthropic.com/bd2a28d2535bfb0494cc8e2a3bf135d2e7523226/Model-Card-Claude-2.pdf,ARC Evals era. Claude 2 model card (July 2023) says Anthropic engineers finetuned a Claude snapshot for ARC's autonomous-replication evals; Mar 2023 METR post reports 'versions of Claude and GPT-4 we tested'.
E03,2024-06,Anthropic,Claude 3.5 Sonnet (June 2024),pre-deployment evaluation,https://metr.org/blog/2024-08-06-update-on-evaluations/,yes,https://www-cdn.anthropic.com/fed9cc193a14b84131812372d8d5857f8f304c52/Model_Card_Claude_3_Addendum.pdf,"Additionally, METR [28] did an initial exploration of the model's autonomy-relevant capabilities.",https://www-cdn.anthropic.com/fed9cc193a14b84131812372d8d5857f8f304c52/Model_Card_Claude_3_Addendum.pdf,Addendum lists METR beside US/UK AISI pre-deployment testing. Annual report: 'Evaluation of general autonomous capabilities and AI R&D automation. Published report'. METR Aug 6 2024 post: 3.5 Sonnet and GPT-4o agents complete tasks comparable to ~30 min of human time.
E04,2024-08-07,OpenAI,GPT-4o,post-release evaluation,https://metr.org/evaluations/gpt-4o-report/,yes,https://openai.com/index/gpt-4o-system-card/,"Following the text output only deployment of GPT-4o, we worked with independent third party labs, METR and Apollo Research to add an additional layer of validation",https://openai.com/index/gpt-4o-system-card/,System card (Aug 8 2024) says eval followed the May 2024 text-only deployment. 77 tasks / 30 families. METR 2024 annual report: 'OpenAI also used tests built by METR to show that GPT-4o is not able to automate significant parts of AI R&D'.
E05,2024-09-12,OpenAI,o1-preview and o1-mini,pre-deployment evaluation,https://metr.org/evaluations/openai-o1-preview-report/,yes,https://cdn.openai.com/o1-system-card.pdf,"METR ... evaluated these models for autonomous capabilities until September 9th. They received access to o1-preview-early on August 26th, o1-mini on August 28th, and o1-preview on September 3rd.",https://cdn.openai.com/o1-system-card.pdf,"METR report also says API access Aug 28 (o1-mini) / Sep 3 (o1-preview); evaluations concluded Sep 9, before Sep 12 release. Also o1 system card (Dec 2024 revision) at https://openai.com/index/openai-o1-system-card/."
E06,2024-10,Anthropic,"Claude 3.5 Sonnet (October 2024, 'new')",pre-deployment evaluation,https://metr.org/evaluations/claude-3-5-sonnet-report/,yes,https://assets.anthropic.com/m/1cd9d098ac3e6467/original/Claude-3-Model-Card-October-Addendum.pdf,We also collaborated with METR [8] to conduct an independent assessment.,https://assets.anthropic.com/m/1cd9d098ac3e6467/original/Claude-3-Model-Card-October-Addendum.pdf,METR report dated Oct 30 2024; summary in https://metr.org/blog/2025-01-31-update-sonnet-o1-evals/ ('failed to find significant evidence for a dangerous level of capabilities'). Annual report lists it as 'Summary'.
E07,2024-12-05,OpenAI,o1,pre-deployment evaluation,https://metr.org/blog/2025-01-31-update-sonnet-o1-evals/,yes,https://cdn.openai.com/o1-system-card-20241205.pdf,"METR, a research nonprofit that works on assessing whether cutting-edge AI systems could pose catastrophic risks to society, evaluated an earlier checkpoint of o1.",https://cdn.openai.com/o1-system-card-20241205.pdf,METR: 'pre-deployment checkpoint of o1'; no access to reasoning_effort parameter or chain of thought. Card: 'similar to that of humans given a 2-hour time limit per task attempt'. METR listed among external red teamers.
E08,2025-02-12,DeepSeek,DeepSeek-V3,not a partnership,https://metr.org/evaluations/deepseek-v3-report/,unknown,,,https://metr.org/2024-annual-report.pdf,"Annual report: 'In early 2025, METR published evaluations of DeepSeek-V3 (not a partnership)'; 'verification of performance claims'. Report page fetched; no DeepSeek lab document was identified. audit 2026-09-14: lab_doc_cites_metr was no, but the prior note said none had been searched for."
E09,2025-02-24,Anthropic,Claude 3.7 Sonnet,lab used METR tasks,https://metr.org/evaluations/claude-3-7-report/,yes,https://assets.anthropic.com/m/785e231869ea8b3b/original/claude-3-7-sonnet-system-card.pdf,We provided a copy of our capabilities report to these organizations and to METR for feedback.,https://assets.anthropic.com/m/785e231869ea8b3b/original/claude-3-7-sonnet-system-card.pdf,Annual report: 'Anthropic used METR evaluation tasks and review for Claude 3.7 Sonnet'. Card runs 'METR Data Deduplication' task and 'a modified subset of METR's RE-Bench'. METR's own report published Apr 4 2025 (post-release).
E10,2025-02-27,OpenAI,GPT-4.5,pre-deployment evaluation,https://metr.org/blog/2025-02-27-gpt-4-5-evals/,yes,https://cdn.openai.com/gpt-4-5-system-card-2272025.pdf,"METR evaluated an earlier checkpoint of GPT-4.5 and was given access to that checkpoint for 7 days, with OpenAI sharing a subset of their internal evaluation results and providing context",https://cdn.openai.com/gpt-4-5-system-card-2272025.pdf,METR: access one week prior to release; first prototype of 'third-party oversight based on verifying developers' internal results'. 50% time horizon between GPT-4o and o1.
