row_id,source_csv,verdict,detail,evidence_or_manual_route
AP47,research/audacious-partners.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
AP49,research/audacious-partners.csv,DIFFERS,"The TED-FY2024 attachment claim was false. The final row now says the TY2021–TY2024 990-PF XML contains 3, 6, 1 and 2 readable paid-grant groups and no METR/RAND/Canary grant.",The retained four TED XML returns; ReturnHeader binaryAttachmentCnt=0 and Part XV groups.
G14,research/budget.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
IV01,research/investments.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
IV02,research/investments.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
IV03,research/investments.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
IV04,research/investments.csv,UNVERIFIABLE,The cited CNBC page now returns 404 and no dated copy of that article was retained in the audit evidence.,Retrieve the 2023-12-21 article from a licensed archive or replace it with an issuer/filing source for the closed Series D.
IV05,research/investments.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
IV06,research/investments.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
IV07,research/investments.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
IV08,research/investments.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
IV09,research/investments.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
IV10,research/investments.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
IV11,research/investments.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
J02,research/shared_donors.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
J08,research/shared_donors.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
K01,research/compute_inkind.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
LD01,research/share_ladder.csv,UNVERIFIABLE,"Forge returned 403 and no dated Forge snapshot was retained, so the exact $2.57/$623.11M vendor figures could not be reproduced.",Obtain the historical Forge page or the underlying Delaware certificate/cap-table source.
LD02,research/share_ladder.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
LD03,research/share_ladder.csv,UNVERIFIABLE,"Forge returned 403 and no dated Forge snapshot was retained, so its $11.23/$4.55B Series C split could not be reproduced.",Obtain the historical Forge page or underlying Delaware certificate.
LD04,research/share_ladder.csv,UNVERIFIABLE,"Forge returned 403 and no dated Forge snapshot was retained, so the $30/$14.55B Series D-1 row could not be reproduced.",Obtain the historical Forge page or underlying Delaware certificate.
LD05,research/share_ladder.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
LD06,research/share_ladder.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
LD07,research/share_ladder.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
LD08,research/share_ladder.csv,UNVERIFIABLE,"Forge returned 403 and no dated Forge snapshot was retained; Amazon's filing corroborates conversion, not every stated tranche price/share count.",Obtain the historical Forge page or the relevant certificate and conversion schedule.
LD09,research/share_ladder.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
LD10,research/share_ladder.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
LD11,research/share_ladder.csv,UNVERIFIABLE,Forge returned 403 and no dated Forge snapshot was retained; Anthropic confirms $13B/$183B but not the row's exact per-share/tranche data.,Obtain the historical Forge page or Series F certificate.
LD12,research/share_ladder.csv,UNVERIFIABLE,Forge returned 403 and no dated Forge snapshot was retained; Anthropic confirms $30B/$380B but not the row's exact per-share/tranche data.,Obtain the historical Forge page or Series G certificate.
LD13,research/share_ladder.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
LD14,research/share_ladder.csv,UNVERIFIABLE,Forge returned 403 and no dated Forge snapshot was retained; Anthropic confirms $65B/$965B but not every exact per-share/tranche figure in this row.,Obtain the historical Forge page or Series H certificate; retain $965B separately as issuer-confirmed.
LD15,research/share_ladder.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
LD16,research/share_ladder.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
LD17,research/share_ladder.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
LD18,research/share_ladder.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
LD19,research/share_ladder.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
LD20,research/share_ladder.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
LD21,research/share_ladder.csv,UNVERIFIABLE,The live NPM page says $777.40 as of 2026-08-31; the row's historical $773.98 as of 2026-08-28 survives only as a search-result observation.,Use an archived NPM capture or omit the superseded historical indication.
LD22,research/share_ladder.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M01,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
M02,research/money_flows.csv,CONFIRMED,The freshly fetched or retained cited source matches the row at its stated measure and scope; any negative remains bounded to the records named in the row.,See scope-rows.csv and fetch-register.csv for the cited URL/local authority and artifact hash.
