row_id,utc,actor,role,venue,event,names_metr,metr_language,views,url,source_note,notes
IF01,2026-09-09 19:02,Anthropic (@AnthropicAI),frontier lab,X post,Publishes alignment assessment of Claude agent incidents and announces METR will run an independent investigation with wide-ranging access for an initial eight weeks (the setup for the embedded-evaluator commitment).,yes,"METR will also conduct an independent investigation, with wide-ranging access, including to transcripts beyond the window in which the incidents occurred, and to Anthropic employees permitted to share confidential information.",3703501,https://x.com/AnthropicAI/status/2097762642958135398,x-payloads/2097762642958135398.json,
IF02,2026-09-09 19:15,METR (@METR_Evals),evaluator,X post,Confirms agreement with Anthropic to investigate agent incidents and model alignment; promises reports that describe terms of engagement.,yes,We have reached an agreement with Anthropic to conduct an independent investigation of agent incidents at the company and of their models' alignment properties.,229399,https://x.com/METR_Evals/status/2097765966088487290,x-payloads/2097765966088487290.json,
IF03,2026-09-09,Chris Lehane / OpenAI,OpenAI chief global affairs officer,essay,OpenAI backs California SB 813 (independent safety assessments) and AB 1405 (AI-auditor standards) and calls for capability-based federal regulation; names no evaluator.,no,"independent assessments by qualified, designated organizations",,https://openai.com/index/ai-policy-window/,finra_proposals.csv F14,
IF04,2026-09-09,Dwarkesh Patel,podcaster,X post,Predicts a FINRA-for-AI would simply ordain METR as 'the evaluator'.,yes,"if the FINRA for AI thing happens, it's likely they just tap a blade on each of METR's shoulders and ordain it 'the evaluator'.",,https://x.com/dwarkesh_sp/status/2097707668920205580,finra_proposals.csv F15; no payload fetched here,
IF05,2026-09-10 03:29,Beth Barnes (@BethMayBarnes),METR CEO,X post,Welcomes 'more investigations' and recruits investigators; her last METR-related post found before the Sacks fight.,no,This (and the research behind the investigations + assessments) is prob the most important technical work in the world atm.,13891,https://x.com/BethMayBarnes/status/2097890060955988444,x-payloads/2097890060955988444.json,
IF06,2026-09-11 18:35,Joe Benton (@JoeJBenton),ex-Anthropic safety team; joining METR,X post,Explains leaving Anthropic and joining METR to do independent evaluations; calls for independent guarantees that labs meet safety standards (later quoted by METR critics).,yes,I'll be joining @METR_Evals to do independent evaluations of these risks.,2595198,https://x.com/JoeJBenton/status/2098480585119572317,x-payloads/2098480585119572317.json,recheck 2026-09-14 07:07 UTC: the quoted sentence is the fifth paragraph of this post; present in the fxtwitter text (agents-2026-09-14/S2-fx-recheck/json/2098480585119572317.json); the recheck flagged it only because the row quotes a later paragraph rather than the opening
IF07,2026-09-11 23:07,Daniel Kokotajlo (@DKokotajlo),AI Futures Project,X post,"After the RubyGems disclosure, argues the METR/Redwood Hugging Face investigation was too small and too dependent on OpenAI-supplied data; calls for a full independent investigation.",yes,"The METR/Redwood hugging face investigation was good, but it was only 3 people for 6 days. Let's increase those numbers by an OOM at least.",26202,https://x.com/DKokotajlo/status/2098549081421521015,x-payloads/2098549081421521015.json,
IF08,2026-09-12 14:01,Dario Amodei (@DarioAmodei),Anthropic CEO,X post,Announces the essay and Anthropic's unilateral commitment to third-party evaluators with permanent employee-level access; the post itself does not name METR.,no,"We'll provide third-party evaluators with permanent, employee-level access to our systems, so that they can verify adherence to our safety measures, report on incidents, and assess models' alignment during training.",67050961,https://x.com/DarioAmodei/status/2098773920774074715,x-payloads/2098773920774074715.json; is_note_tweet,
IF09,2026-09-12,Dario Amodei,Anthropic CEO,essay,"'We Must Pace the Frontier' (dated 'September 2026'; tweet 14:01 UTC used as publication proxy). Sections: Why Pace? / Embedded Evaluators / Pacing Within Democracies / Global Pacing / Bottom Line. Three steps: (1) Embedded Evaluators, (2) Democratic Coordination, (3) Global Coordination. METR is named exactly once, as the example evaluator (hyperlinked to metr.org). Anthropic promises the embedded team desks, badges, laptops, access 'mostly comparable' to internal risk teams, and a contract with a right to publish findings without editorial control subject to narrow redactions; cites banking 'supervisors' as precedent and asks government for a narrow antitrust waiver.",yes,"Each frontier AI company commits to giving ongoing, employee-like access to a team of embedded third-party evaluators (such as METR), whose role is to verify adherence to safety practices and commitments, report incidents...",,https://darioamodei.com/post/we-must-pace-the-frontier,"independence/dario-pace-the-frontier.txt (curl 200, 59.5 KB html); second key sentence: 'Anthropic is unilaterally committing to this step now.'",
IF10,2026-09-12 14:44,Christian Catalini (@ccatalini),MIT economist,X post,Warns evaluators 'handpicked to endorse the lab's regulatory agenda' would not be independent scrutiny.,no,"if the 'third-party evaluators' are handpicked to endorse the lab's regulatory agenda, that won't give us independent scrutiny.",20560,https://x.com/ccatalini/status/2098784939038908707,x-payloads/2098784939038908707.json,
