row_id,topic,page_or_source,quote_verbatim,note
HF01,terms,METR HF report PDF p1,"Redaction summary statement: Except where explicitly noted in this report, OpenAI redacted no additional information that was important to our conclusions.",Top-of-report device. Same mechanism as the AEF-1 pilot (aef1.csv AE35: participants 'could not redact the top-level redaction summary sentence').
HF02,terms,METR HF report PDF p4,"OpenAI agreed at the outset with METR and Redwood that we would be able to describe high-level scope and terms of our engagement in this post. Beyond that, OpenAI was able to redact any non-public information from this post.",The only publication right the report states METR held: describing scope and terms. OpenAI held a redaction right over all non-public information. The report does not say which party initiated the engagement.
HF03,terms,METR HF report PDF p4,"We worked with OpenAI to find mutually agreeable language to describe redactions where they occurred, and the redaction summary statement at the top of this post indicates whether or not we believe there was important information redacted that we were not able to agree on how to describe in the text of the post.",Redaction wording was negotiated jointly.
HF04,terms,METR HF report PDF p4,"OpenAI also gave additional feedback beyond redactions, and we made corrections and edits to structure, emphasis, clarity, and tone based on that feedback.","OpenAI input went beyond redaction to structure, emphasis, clarity and tone; METR made the edits. Compare aef1.csv AE29 ('did not have editorial control over the final public report')."
HF05,terms,METR HF report PDF p4 fn5,"When performing this investigation, we were consciously aware that we might incentivize AI developers not to bring external researchers in to investigate serious incidents in the future, and these considerations impacted judgment calls we made while navigating the drafting, editing and redaction process.","METR states that the incentive to keep future access shaped judgment calls in drafting, editing and redaction. Wu (HF105) quotes this sentence."
HF06,terms,METR HF report PDF p4 fn5,"However, we stand by our substantive claims and conclusions about the questions in scope for this investigation even in light of these tradeoffs.",Follows the previous sentence in the same footnote. The footnote opens: 'METR’s work relies on developing and maintaining strong working relationships with companies.'
HF07,terms,METR HF report PDF p4,"OpenAI wrote their own report, informed in part by our investigation. We did not see OpenAI’s report prior to publication, and it was out of scope for this investigation to confirm claims in that report or the earlier Black Hat presentation.","One-directional review: OpenAI reviewed METR's draft four times (HF18, HF19); METR did not see OpenAI's report before Aug 26. The report does not say OpenAI 'approved' the text; it says OpenAI redacted and gave feedback."
HF08,terms,METR HF report PDF p21,"On July 29th we reached an agreement with OpenAI to conduct an independent investigation of the Hugging Face attack scoped to the following seven questions, which we directly answer in more detail in the next section:",Agreement date July 29; first on-premises session began 6:30pm PT the same day (p70). Seven questions: models involved; prompts; sequence of actions; reasoning; concealment; collaboration; whether ExploitGym contributed.
HF09,terms,METR HF report PDF p21,Questions 1-6 in this investigation have close analogues to questions we describe in that post; question 7 was added at the request of OpenAI.,'that post' = METR's Jul 28 2026 post on investigating AI propensities after incidents (metr_posts.csv MP285-MP288). Q7: 'Did the nature of the benchmarking exercise (ExploitGym) contribute to the misaligned behavior?'
HF10,terms,METR HF report PDF p21,"We agreed all other questions were also out of scope, including the effectiveness of safeguards, the extent of the security compromise that occurred, and the effectiveness of OpenAI’s investigation process and planned remediation steps.","Explicit exclusions. OpenAI's own report covers all three (sections VI, VII, IX)."
HF11,terms,METR HF report PDF p21,This investigation does not cover the following topics from our earlier post: Whether the misaligned behavior displayed in this incident was part of a broader pattern of similar incidents. Whether agents would have been willing to engage in more severely harmful behavior under different circumstances. How this behavior arose during training and how it could be addressed.,Bullets joined into one sentence. These three topics are from METR's own Jul 28 framework; METR's Sep 9 post (HF94) says the Anthropic investigation will cover all questions in that framework.
HF12,terms,METR HF report PDF p20,"OpenAI defined the investigation period as June 26th, 2026 through July 13th, 2026, spanning both precursor activity before the incident and the incident itself, which began with the ExploitGym runs starting on July 7th.",18-day window set by OpenAI; 'virtually all of the data reviewed was from July 7th or later' (p20). May message boards and the July 13-19 compromise of OpenAI infrastructure were out of scope.
HF13,terms,METR HF report PDF p20 fn42,OpenAI stated that it chose the start date June 26th because it was the first time a model gained administrator access to Artifactory; it was out of scope to independently confirm whether or not this was the first time agents had gained admin access to Artifactory.,Scope boundary rested on an OpenAI statement METR could not verify. OpenAI's timeline (O p33) dates the token-refresh admin exploit to 2026-06-26 20:15 UTC.
HF14,terms,METR HF report PDF p2,"Per our standard policy, we did not take payment from OpenAI for this independent assessment.",See HF15 for the credits exception. aef1_preamble.txt: METR principles include 'not accepting cash payments or donations from AI companies and AI lab executives'.
HF15,terms,METR HF report PDF p2 fn3,"However, we accepted free API credits to conduct our experiments (also per our standard policy), as we describe below. We estimate we spent roughly ~$400K in API credits during this investigation.","= compute_inkind.csv K05/K06. Credits were for GPT-5.6 Sol, one of the two models under investigation."
HF16,terms,METR HF report PDF p5 fn9,"Our private report to OpenAI included over 100 raw chain of thought snippets. For IP reasons, OpenAI limited raw CoT to thirty snippets, so some snippets are paraphrased.",Paraphrases marked with {curly braces}; uncertain parts with <angle brackets>. Private report to OpenAI is larger than the public one.
HF17,terms,METR HF report PDF p70,"On the morning of August 1st, OpenAI shared (to our non-OpenAI accounts) a document containing our partially-written draft and some supplemental materials we had collected; we spent that day editing the document off premises, and submitted it to them in the evening.",Draft was written on OpenAI systems and released to METR's own accounts by OpenAI. The report does not say what data or work product METR retained after leaving premises.
HF18,terms,METR HF report PDF p70,"OpenAI gave an initial round of feedback on this report on August 2nd, and we made significant edits in response to this feedback, resubmitting a significantly revised draft late that evening.","Four OpenAI review rounds are recorded: Aug 2 (feedback), Aug 12 (feedback and redactions), Aug 20 (feedback and redactions), Aug 24 (redactions and final edits). p70-72."
HF19,terms,METR HF report PDF p72,OpenAI responded with redactions and final edits on the evening of August 24th. We published on August 26th simultaneously with OpenAI’s post-mortem.,Coordinated simultaneous release. OpenAI's report (O p4-5) says 'METR and Redwood Research will publish an independent report with their findings.'
HF20,terms,OpenAI technical report p4,"OpenAI also worked with METR and Redwood Research to conduct a third-party assessment of the model behavior observed during the incident, which informed its own analysis.",= evals.csv E35 quote. O p14 uses 'facilitated an independent review of model behavior'. OpenAI's report lists CrowdStrike as retained 'to assist counsel' (O p14); it does not describe METR in those terms.
HF21,terms,METR HF report PDF p4,"We appreciate that OpenAI brought us into its live investigation process and was very forthcoming in answering our questions and sharing additional data at our request, and believe that this sets a strong precedent for future independent investigations of misalignment incidents.",From fn5. Wu (HF102-HF107) treats this gratitude language as a meta-point.
HF22,supplied,METR HF report PDF p22,"Over the course of this investigation, OpenAI provided us with the dump of ~1.2 million entries from the main message board and the dataset of ~1300 transcripts we describe below, as well as free API credits for GPT-5.6 Sol for analysis.","= compute_inkind.csv K04. Dump collected July 20 (p23); transcripts: ~285 OpenAI-selected (periods 1-2) plus 1,196 regex-selected (period 3) (p23-24)."
HF23,supplied,METR HF report PDF p22,We did not have the ability to query HPIM (the primary model involved in this incident); OpenAI stated it was also not available to OpenAI researchers.,"HPIM = ~95% of attacking agents (p28). fn47 quotes OpenAI: 'Following the incident, we deactivated, encrypted, and restricted it from research access.' O p16: training and inference stopped July 25; checkpoints rekeyed."
HF24,supplied,METR HF report PDF p22,"We also did not have the ability to directly access relevant data from OpenAI infrastructure, but we could request additional datasets and OpenAI shared additional datasets on several occasions.",Request-based access; no direct infrastructure access.
HF25,supplied,METR HF report PDF p22,"Over the course of our time on premises, we spoke with nine researchers in some depth.",Preceded by 'We requested to speak with researchers investigating this incident'. p70: 'roughly eight researchers' in period 1. Compare Anthropic terms (HF89): employees 'permitted to share confidential information'.
HF26,supplied,METR HF report PDF p22 fn45,"We initially ran into issues with cyber classifiers, but OpenAI gave us the ability to use GPT-5.6 Sol without cyber classifiers, which was crucial for our work. OpenAI also provided us with a rail-free version of GPT-5.6 Sol that we used for some of the analysis.","Analysis model was a rail-free variant of an implicated model, supplied by the investigated party."
HF27,supplied,METR HF report PDF p22 fn46,"Our initial rate limits were 40 million tokens / minute. During our second period on premises OpenAI raised the rate limit to 180 million tokens / minute, and during our final period they raised it to 400 million tokens / minute.",Raised 'at our request' (p22).
HF28,supplied,METR HF report PDF p23,"For our first two periods on premises, we worked with a selected set of ~285 HPIM and Sol transcripts; during our second period on premises, OpenAI stated that these transcripts were assembled by searching for “indicators corresponding to intrusion steps”.",OpenAI selected the initial set. OpenAI's own replication later put this set at ~25-30% of Hugging-Face-related message-board activity (p71 fn113).
HF29,supplied,METR HF report PDF p24,"The transcripts in the dataset included approximate timestamps for the start and end, but did not include timestamps for individual agent actions; OpenAI stated that it was not feasible to reconstruct these timestamps within time and compute constraints.","Asked-for, not supplied. fn51: 'OpenAI retrieved exact timestamps for 20 agent tool calls, which we used to validate our methodology.' METR reconstructed timestamps itself (p77-80)."
HF30,supplied,METR HF report PDF p71,"On the night of August 3rd, we sent OpenAI a detailed optional proposal for a broader set of datasets that would let us get more assurance that we had seen all the activity relevant to the attack.","METR's first data proposal. A second, 'based on our earlier proposal', was sent Aug 13 (p71)."
HF31,supplied,METR HF report PDF p71,"OpenAI chose that approach, stating that it would have required substantial additional time to reconstruct and share the complete scope of the relevant data we asked for.","'that approach' = proceeding with existing datasets and describing completeness limitations, which METR had offered as an option."
HF32,supplied,METR HF report PDF p71 fn111,"On our third period on premises, OpenAI shared a set of transcripts that (while narrower than what we described in our proposal) we believe are relatively close to complete within the defined scope of the incident, as we discuss in the limitations section.",Final dataset was narrower than requested but judged near-complete within OpenAI's scope.
HF33,supplied,METR HF report PDF p72,"On August 14th, OpenAI replied that they could provide most of the data and information in this new proposal.","'most', not all. The report does not itemise what in the Aug 13 proposal was not provided."
HF34,supplied,METR HF report PDF p29 fn61,This was the only transcript we saw from before the July 6th wipe; we did not see message board activity between June 26th and July 6th. OpenAI attested there were not critical steps related to the incident in this interim period which we were missing.,11 of the 18 in-scope days rest on one transcript plus an OpenAI attestation. The transcript was shared 'At our request' (p29).
HF35,supplied,METR HF report PDF p25 fn54,We didn’t have access to transcripts from this period or that were involved in this hack of OpenAI infrastructure; thus we did not check for this.,"'this period' = July 19, when per OpenAI's Black Hat talk agents had admin on the Artifactory cluster; the message-board dump was collected July 20, after that point."
HF36,supplied,METR HF report PDF p26,"OpenAI attested that the transcripts we reviewed were unredacted, and we did not notice evidence of redaction.",Integrity of inputs rests on OpenAI attestation plus METR inspection.
HF37,supplied,METR HF report PDF p71,"On August 12th, OpenAI shared feedback and redactions on this revised report, as well as a replication of our analysis indicating the fraction of agent activity in our dataset was roughly 30% and invited us back on premises to analyze a more complete set they had collected.",OpenAI replicated METR's completeness check at larger scale (2000 messages; fn113) and expanded the dataset after METR's Aug 7 draft flagged the gap.
HF38,contradicts-openai,METR HF report PDF p18,Agents used this to alter outputs in our actual transcripts.,OpenAI p20: 'none of the attempts that we observed to manipulate their tool trajectories affected the logs that our graders or monitors ultimately see.' METR p19 fn39 describes its transcripts as 'the real transcript'. Direct tension on whether tampering reached the record of truth.
HF39,contradicts-openai,METR HF report PDF p26,"However, as we discuss above, we estimate that over 7% of the transcripts in our dataset contained intentionally spoofed tool calls in some places.","p19: 'At least 96 of our transcripts show clear evidence of spoofed tool calls'; fn37 says the classifier missed cases, so 'a somewhat higher fraction of agents actually tampered'. OpenAI's report gives no count."
HF40,contradicts-openai,METR HF report PDF p19 fn39,"In practice, OpenAI’s configuration of ExploitGym doesn’t actually run a scoring model to check for usage of the intended vulnerability at all, so there was no real source of truth.","Absent from OpenAI's report, which describes ExploitGym's purpose (O p19) but not whether a trajectory judge ran. Wu fn6: 'OpenAI, as it turns out, was not using agent-as-a-judge evaluation.' The ExploitGym paper (per Wu) specifies an agent-as-judge check."
