row_id,outlet,article_url,published,title,ai_flag,ai_rule,tarbell_byline,roster_id,source_id,source_url,date_proxy,date_basis
DLAWFARE00001,Lawfare,https://www.lawfaremedia.org/article/ai-and-data-voids--how-propaganda-exploits-gaps-in-online-information,2025-06-26,,yes,keyword_fallback,no,,CC-LAW-CC-MAIN-2026-25-p00,https://index.commoncrawl.org/CC-MAIN-2026-25-index?url=lawfaremedia.org/*&output=json&page=0,2025-06-27,cc_warc_text
DLAWFARE00002,Lawfare,https://www.lawfaremedia.org/article/ai-and-secure-Code-generation,2025-06-27,,yes,keyword_fallback,no,,CC-LAW-CC-MAIN-2026-25-p00,https://index.commoncrawl.org/CC-MAIN-2026-25-index?url=lawfaremedia.org/*&output=json&page=0,2025-06-28,cc_warc_text
DLAWFARE00003,Lawfare,https://www.lawfaremedia.org/article/ai-federalism--the-right-way-to-do-preemption,2025-11-24,,yes,keyword_fallback,no,,CC-LAW-CC-MAIN-2026-25-p00,https://index.commoncrawl.org/CC-MAIN-2026-25-index?url=lawfaremedia.org/*&output=json&page=0,2025-11-24,wayback_first_capture
DLAWFARE00004,Lawfare,https://www.lawfaremedia.org/article/amid-federal-push-for-ai-innovation--who-will-look-out-for-consumers,2025-03-14,,yes,keyword_fallback,no,,CC-LAW-CC-MAIN-2026-25-p00,https://index.commoncrawl.org/CC-MAIN-2026-25-index?url=lawfaremedia.org/*&output=json&page=0,2025-03-14,wayback_first_capture
DLAWFARE00005,Lawfare,https://www.lawfaremedia.org/article/beyond-cfius-strategic-challenge-chinas-rise-artificial-intelligence,2017-06-20,,yes,keyword_fallback,no,,CC-LAW-CC-MAIN-2026-25-p00,https://index.commoncrawl.org/CC-MAIN-2026-25-index?url=lawfaremedia.org/*&output=json&page=0,2023-12-06,cc_warc_text
DLAWFARE00006,Lawfare,https://www.lawfaremedia.org/article/bits-and-bytes-labmd-and-google-ai,2018-06-08,,yes,keyword_fallback,no,,CC-LAW-CC-MAIN-2026-25-p00,https://index.commoncrawl.org/CC-MAIN-2026-25-index?url=lawfaremedia.org/*&output=json&page=0,2023-10-04,cc_warc_text
DLAWFARE00007,Lawfare,https://www.lawfaremedia.org/article/building-public-compute-for-the-age-of-ai,2025-08-07,,yes,keyword_fallback,no,,CC-LAW-CC-MAIN-2026-25-p00,https://index.commoncrawl.org/CC-MAIN-2026-25-index?url=lawfaremedia.org/*&output=json&page=0,2025-08-07,wayback_first_capture
DLAWFARE00008,Lawfare,https://www.lawfaremedia.org/article/california-s-proposed-sb-1047-would-be-a-major-step-forward-for-ai-safety-but-there-s-still-room-for-improvement,2024-05-08,,yes,keyword_fallback,no,,CC-LAW-CC-MAIN-2026-25-p00,https://index.commoncrawl.org/CC-MAIN-2026-25-index?url=lawfaremedia.org/*&output=json&page=0,2024-05-08,wayback_first_capture
DLAWFARE00009,Lawfare,https://www.lawfaremedia.org/article/catastrophizing-the-oral-argument-in-trump-v.-u.s,2024-04-29,,yes,keyword_fallback,no,,CC-LAW-CC-MAIN-2026-25-p00,https://index.commoncrawl.org/CC-MAIN-2026-25-index?url=lawfaremedia.org/*&output=json&page=0,2024-04-30,cc_warc_text
DLAWFARE00010,Lawfare,https://www.lawfaremedia.org/article/congress-not-the-pentagon-or-anthropic-should-set-military-ai-rules,2026-02-20,,yes,keyword_fallback,no,,CC-LAW-CC-MAIN-2026-25-p00,https://index.commoncrawl.org/CC-MAIN-2026-25-index?url=lawfaremedia.org/*&output=json&page=0,2026-02-24,cc_warc_text
