row_id,date,lab,document_title,document_url,quote,notes
L01,2023-03-15,OpenAI,GPT-4 System Card,https://cdn.openai.com/papers/gpt-4-system-card.pdf,We granted the Alignment Research Center (ARC) early access to the models as a part of our expert red teaming efforts,Names ARC (METR's former name) as external evaluator for autonomous replication; does not name METR.
L02,2023-07,Anthropic,Model Card and Evaluations for Claude Models (Claude 2),https://www-cdn.anthropic.com/bd2a28d2535bfb0494cc8e2a3bf135d2e7523226/Model-Card-Claude-2.pdf,We have been working with the Alignment Research Center (ARC) since fall of 2022 to support their safety audits of our AI models.,Designated third-party evaluator (ARC Evals era).
L03,2023-09-19,Anthropic,Responsible Scaling Policy v1.0,https://www-cdn.anthropic.com/1adf000c8f675958c2ee23805d91aaade1cd4613/responsible-scaling-policy.pdf,Our commitments are designed in the spirit of the Responsible Scaling Policy (RSP) framework being developed by Paul Christiano and ARC Evals ... We thank ARC Evals for substantial advice and collaboration on the development of our commitments.,Framework-help credit. Also: 'our ASL-3 warning sign evaluations will be designed with the advice of ARC Evals' and 'Our evaluations were developed in consultation with Paul Christiano and ARC Evals'.
L04,2023-12-18,OpenAI,Preparedness Framework (Beta),https://cdn.openai.com/openai-preparedness-framework-beta.pdf,not found,Zero occurrences of 'METR' in the PDF text.
L05,2024-05,Google DeepMind,Frontier Safety Framework Version 1.0,https://storage.googleapis.com/deepmind-media/DeepMind.com/Blog/introducing-the-frontier-safety-framework/fsf-technical-report.pdf,We would like to thank METR for contributing their expertise on Responsible Capability Scaling.,Acknowledgements section. PDF text carries no date; FSF v1.0 announced May 2024 (URL is the 'introducing-the-frontier-safety-framework' blog asset linked from METR's 2024 annual report).
L06,2024-07-02,Magic,AGI Readiness Policy (Version 1.0),https://magic.dev/agi-readiness-policy,"Our commitments were created with assistance from METR, a nonprofit that focuses on risk assessment of AI systems.",Framework-help credit (fetched via WebFetch).
L07,2024-10-15,Anthropic,Responsible Scaling Policy v2.0,https://www-cdn.anthropic.com/616dee633636e5bd309cb73aed8622e80fe47839.pdf,"This policy is designed in the spirit of the Responsible Scaling Policy (RSP) framework introduced by the non-profit AI safety organization METR, as well as emerging government policy proposals in the UK, EU, and US.","Same sentence retained in v2.1 (Mar 31 2025, https://www-cdn.anthropic.com/17310f6d70ae5627f55313ed067afc1a762a4068.pdf) and v2.2 (May 14 2025, https://www-cdn.anthropic.com/872c653b2d0501d6ab44cf87f43e1dc4853e4d37.pdf)."
L08,2025-02-03,Meta,Frontier AI Framework,https://ai.meta.com/static-resource/meta-frontier-ai-framework/,not found,"Wayback copy fetched 2026-09-13: https://web.archive.org/web/20251221185119/https://ai.meta.com/static-resource/meta-frontier-ai-framework/ (21 pp, titled 'Frontier AI Framework Version 1.1', PDF created Jan 31 2025; the Feb 13 2025 capture is the same v1.1 text): zero occurrences of 'METR'; refers only to 'external experts'. Direct ai.meta.com URL still HTTP 400/500; archive.ph unreachable (connection failed). about.fb.com announcement and LessWrong mirror also have no METR mention."
L09,2025-02-06,G42,G42's Frontier AI Safety Framework,https://www.g42.ai/resources/publications/g42-frontier-ai-safety-framework,"Built on industry best practices and in collaboration with SaferAI and METR, the framework provides multi-layered safeguards to protect against potential risks associated with high-capability AI systems",Framework-help credit (fetched via WebFetch). Publication date from G42 press release (Feb 6 2025).
L10,2025-02-09,Amazon,Amazon's Frontier Model Safety Framework,https://cdn.amazon.science/a7/7c/8bdade5c4eda9168f3dee6434fff/pc-amazon-frontier-model-safety-framework-2-7-final-2-9.pdf,"We are grateful to METR, a nonprofit research organization specializing in AI evaluations, for feedback during the development of this Framework.","Verified 2026-09-13 from Wayback copy https://web.archive.org/web/20260102164736/https://assets.amazon.science/a7/7c/8bdade5c4eda9168f3dee6434fff/pc-amazon-frontier-model-safety-framework-2-7-final-2-9.pdf (8 pp, PDF title 'PC Amazon Frontier Model Safety Framework 2.7 FINAL', created Feb 9 2025). Framework-help credit, page 1; confirms METR's annual-report claim. Direct assets.amazon.science URL still 404 from this IP; archive.ph unreachable. | audit S3 2026-09-14: p.1; assets.amazon.science path now 404, cdn.amazon.science serves it"
