row_id,name,outlet,cohort,current_or_past,page_status_source,tarbell_card_position,disclosure_text,disclosure_on_author_page,disclosure_note,author_page_url,author_page_source_id,source_url,source_id,fellows_page_url,fellows_page_source_id
R001,Vincent Chow,South China Morning Post,2025,current,S001 heading (2025 Fellows vs Past Fellows),South China Morning Post,,no,no Tarbell string in retrieved author-page visible text,https://www.scmp.com/author/vincent-chow,AUTH001,https://www.tarbellcenter.org/team/vincent-chow,BIO001,https://www.tarbellcenter.org/fellows,S001
R002,Nilesh Christopher,Los Angeles Times,2025,current,S001 heading (2025 Fellows vs Past Fellows),Los Angeles Times,"ities. He is currently supported by the Tarbell Center for AI Journalism. Christopher was formerly the South Asia correspondent for Rest of World, reporting from India on issues ranging from Apple’s manufact",yes,V,https://www.latimes.com/people/nilesh-christopher,AUTH002,https://www.tarbellcenter.org/team/nilesh-christopher,BIO002,https://www.tarbellcenter.org/fellows,S001
R003,Nick Corvino,China Talk,2025,current,S001 heading (2025 Fellows vs Past Fellows),China Talk,,no,no Tarbell string in retrieved author-page visible text,https://substack.com/@nickcorvino,AUTH003b,https://www.tarbellcenter.org/team/nick-corvino,BIO003,https://www.tarbellcenter.org/fellows,S001
R004,Aisha Down,The Guardian,2025,current,S001 heading (2025 Fellows vs Past Fellows),The Guardian,,no,no Tarbell string in retrieved author-page visible text,https://www.theguardian.com/profile/aisha-down,AUTH004b,https://www.tarbellcenter.org/team/aisha-down,BIO004,https://www.tarbellcenter.org/fellows,S001
R005,Agnee Ghosh,Bloomberg,2025,current,S001 heading (2025 Fellows vs Past Fellows),Bloomberg,,U,HTTP 403; not a disclosure observation,https://www.bloomberg.com/authors/AYP2bSROsMY/agnee-ghosh,AUTH005,https://www.tarbellcenter.org/team/agnee-ghosh,BIO005,https://www.tarbellcenter.org/fellows,S001
R006,Jonathan Gibson,The Dispatch,2025,current,S001 heading (2025 Fellows vs Past Fellows),The Dispatch,,U,retrieved URL is not the fellow's author page (homepage or outlet about); not a disclosure observation,https://thedispatch.com/author/jonathan-gibson/,AUTH006,https://www.tarbellcenter.org/team/jonathan-gibson,BIO006,https://www.tarbellcenter.org/fellows,S001
R007,Robert Hart,The Verge,2025,current,S001 heading (2025 Fellows vs Past Fellows),The Verge,pported by a Senior Fellowship from the Tarbell Center for AI Journalism. (Tarbell and other grants do not influence The Verge ’s editorial independence. Read more in our ethics policy here .) Prior to joini,yes,V,https://www.theverge.com/authors/robert-hart,AUTH007,https://www.tarbellcenter.org/team/robert-hart,BIO007,https://www.tarbellcenter.org/fellows,S001
R008,Michelle Kim,MIT Tech Review,2025,current,S001 heading (2025 Fellows vs Past Fellows),MIT Tech Review,"EmTech Future live event The Kids issue Tarbell fellow Our team Michelle Kim Tarbell fellow Michelle is an AI reporter at MIT Technology Review, supported by the Tarbell Center for AI Journalism. Previously,",yes,V,https://www.technologyreview.com/author/michelle-kim/,AUTH008,https://www.tarbellcenter.org/team/michelle-kim,BIO008,https://www.tarbellcenter.org/fellows,S001
R009,Jakub Kraus,Lawfare,2025,current,S001 heading (2025 Fellows vs Past Fellows),Lawfare,,U,HTTP 403; not a disclosure observation,https://www.lawfaremedia.org/contributors/jkraus,AUTH009,https://www.tarbellcenter.org/team/jakub-kraus,BIO009,https://www.tarbellcenter.org/fellows,S001
R010,Ella Markianos,Platformer,2025,current,S001 heading (2025 Fellows vs Past Fellows),Platformer,"g AI. She is currently supported by the Tarbell Center for AI Journalism. AI How much of my boss's job can AI do? Six months after trying to automate myself, I gave Claude Fable 5 a bigger job: replacing Cas",yes,V,https://www.platformer.news/author/ella/,AUTH010,https://www.tarbellcenter.org/team/ella-markianos,BIO010,https://www.tarbellcenter.org/fellows,S001
R011,Nikita Ostrovsky,TIME,2025,current,S001 heading (2025 Fellows vs Past Fellows),TIME,ng AI. He is currently supported by the Tarbell Center for AI Journalism. Open follow modal Personalized Content ## Nikita Ostrovsky Follow this author to personalize your feed and get instant alerts. Follow,yes,V,https://r.jina.ai/https://time.com/author/nikita-ostrovsky/,AUTH011jina,https://www.tarbellcenter.org/team/nikita-ostrovsky,BIO011,https://www.tarbellcenter.org/fellows,S001
R012,Kai Williams,Understanding AI,2025,current,S001 heading (2025 Fellows vs Past Fellows),Understanding AI,,no,no Tarbell string in retrieved author-page visible text,https://substack.com/@chiwilliams,AUTH012b,https://www.tarbellcenter.org/team/kai-williams,BIO012,https://www.tarbellcenter.org/fellows,S001
R013,Anna Gordon,TIME,2023 – 2024,past,S001 heading (2025 Fellows vs Past Fellows),"TIME, 2023 – 2024",,no,no Tarbell string in retrieved author-page visible text,https://r.jina.ai/https://time.com/author/anna-gordon/,AUTH013jina,https://www.tarbellcenter.org/team/anna-gordon-2,BIO013,https://www.tarbellcenter.org/fellows,S001
