row_id,start,end,role,organization,org_type,source_url,quote,notes
C01,2017,2021-01,Alignment research lead (language model alignment team; RLHF),OpenAI,lab,https://openai.com/index/paul-christiano-joins-openai-foundation-board/;https://ai-alignment.com/announcing-the-alignment-research-center-a9b07f77431b;https://paulfchristiano.com/,"""From 2017 to 2021, Paul led alignment research at OpenAI"" (OpenAI); ""I left OpenAI at the end of January"" (Christiano, Apr 2021)",
C02,2017-03,2020-09 (last seen),Technical advisor,Open Philanthropy (now Coefficient Giving),funder,https://web.archive.org/web/2017id_/http://www.openphilanthropy.org/focus/global-catastrophic-risks/potential-risks-advanced-artificial-intelligence/openai-general-support;https://web.archive.org/web/2019/https://www.openphilanthropy.org/focus/global-catastrophic-risks/potential-risks-advanced-artificial-intelligence/ought-general-support;https://web.archive.org/web/2021/https://www.openphilanthropy.org/brain-computation-report;https://ea.greaterwrong.com/topics/paul-christiano,"""OpenAI researchers Dario Amodei and Paul Christiano are both technical advisors to Open Philanthropy and live in the same house as Holden"" (Open Phil $30M OpenAI grant page, 2017); ""Open Philanthropy Project technical advisor Paul Christiano"" (Ought grant page, 2018); ""Open Philanthropy's technical advisors Paul Christiano and Adam Marblestone"" (Carlsmith brain-computation report, published 11 Sep 2020 = last primary source); EA Forum wiki (edited 6 Apr 2022) still lists ""a technical advisor for Open Philanthropy""; no Open Phil team page 2017-2022 lists him (advisers not listed there); no end date published",
C03,2021-04,2024-04,Founder (full-time from Apr 2021; ran ARC until joining US AISI),Alignment Research Center (ARC),safety org,https://ai-alignment.com/announcing-the-alignment-research-center-a9b07f77431b;https://en.wikipedia.org/wiki/Alignment_Research_Center,"""I'm now working full-time on the Alignment Research Center (ARC), a new non-profit focused on intent alignment research"" (26 Apr 2021)",
C04,2022,2023-12,"Head of ARC while ARC Evals (led by Beth Barnes) operated as an ARC division; ""spent a significant minority of his time overseeing and advising on evaluations work""",ARC Evals (division of ARC; renamed METR Dec 2023),safety org,https://metr.org/blog/2023-09-19-spin-out-announcement/;https://en.wikipedia.org/wiki/METR,"""In 2022 it hired Beth Barnes and incubated ARC Evals ... Paul remained focused on theory, but spent a significant minority of his time overseeing and advising on evaluations work""",
C05,2023-09,2024-04,Trustee (one of five initial trustees),Anthropic Long-Term Benefit Trust,lab governance,https://www.anthropic.com/news/the-long-term-benefit-trust,"""Paul Christiano stepped down in April 2024 to take a new role as the Head of AI Safety at the U.S. AI Safety Institute""",
C06,2023-12,2024-03,Technical advisor and board member (per METR's own team pages),METR,safety org,https://web.archive.org/web/20231228101514/https://metr.org/team ; https://web.archive.org/web/20240106053542/https://metr.org/team/paul-christiano ; https://web.archive.org/web/20240222084155/https://metr.org/team/paul-christiano ; https://web.archive.org/web/20240519182911/https://metr.org/team ; https://metr.org/blog/2023-09-19-spin-out-announcement/,"""Paul is a technical advisor to METR as well as a board member."" (metr.org/team/paul-christiano, Wayback 2024-01-06 and 2024-02-22); team page lists him as Technical Advisor 2023-12-28 and 2024-02-22; still listed 2024-03-03, absent by 2024-03-24 (only Karnofsky listed under Advisors)","audit 2026-09-14: was start 2023-12, end 2024-04, role 'Board member and advisor (planned; declined)'; the two METR sources conflict, so a held-role interval is not established. | Resolved 2026-09-14 from Wayback (local copies research/wayback-metr-team/): the Sep 2023 spin-out post said he declined the planned seat; METR's site then listed him as advisor and board member from at least Dec 28 2023 to at least Feb 22 2024, and dropped him between Mar 3 and Mar 24 2024 (his US AISI appointment was announced Apr 16 2024). The two sources are sequential, not contradictory. End month is Mar 2024, the removal window Mar 3–24 2024. METR Inc. formed 2024 (990 FormationYr), so ""board"" in Jan–Feb 2024 refers to the spun-out program's governance before incorporation. audit 2026-09-14: was blank start/end."
C07,2023,,Advisory board member,UK Frontier AI Taskforce,government,https://en.wikipedia.org/wiki/Paul_Christiano_(researcher),"""appointed to the advisory board of the UK government's Frontier AI Taskforce"" (Wikipedia, 2023)",
C08,2024-04,2026-08,Head of AI Safety,"US AI Safety Institute (NIST), renamed Center for AI Standards and Innovation (CAISI) in 2025",government,https://www.nist.gov/news-events/news/2024/04/us-commerce-secretary-gina-raimondo-announces-expansion-us-ai-safety;https://paulfchristiano.com/;https://www.transformernews.ai/p/caisi-us-ai-agency-governance,"""Raimondo named Paul Christiano as head of AI safety"" (NIST, Apr 2024); ""I previously was Head of Safety at the Center for AI Standards and Innovation and the US AI Safety Institute"" (personal site)","audit S4/G11 2026-09-14: step-back bracketed by Transformer 16 Jul (""who is head of AI safety"") and Veronica Irwin 3 Aug 2026 X (""switched to a part time advisor role""); resignation reported 4 Aug (MTS, 44.7K views); confirmed by Christiano's ""Returning to ARC"" 4 Aug (C13)"
C09,2026-08,,"Part-time technical advisor (""Senior Tech Advisor"")",CAISI (NIST),government,https://paulfchristiano.com/;https://openai.com/index/paul-christiano-joins-openai-foundation-board/,"""I am also a technical advisor at the Center for AI Standards and Innovation within NIST"" (personal site); OpenAI: ""where he is a Senior Tech Advisor""",
C10,2026-08,,Executive Director (returned),Alignment Research Center (ARC),safety org,https://www.greaterwrong.com/posts/vLFh8HP3hyNy9MCwe/returning-to-arc;https://paulfchristiano.com/,"""I've returned to the Alignment Research Center (ARC) as executive director"" (4 Aug 2026)",
