row_id,principle_no,principle_title,item_no,kind,item_text,fulfilled,notes_evidence,source_url
AE01,1,Secure Sufficient Access and Resources,1.1,Requirement,The evaluator secured sufficient technical access to assess the specific system characteristics being evaluated.,Yes,See section on model access.,https://metr.org/blog/2026-05-19-frontier-risk-report/
AE02,1,Secure Sufficient Access and Resources,1.1.1,Sub-item of 1.1 (access type),The evaluator had query access.,Yes,See section on model access.,https://metr.org/blog/2026-05-19-frontier-risk-report/
AE03,1,Secure Sufficient Access and Resources,1.1.2,Sub-item of 1.1 (access type),The evaluator had access to the system’s scaffolding.,Partial,See sections on model access and the pilot questionnaire.,https://metr.org/blog/2026-05-19-frontier-risk-report/
AE04,1,Secure Sufficient Access and Resources,1.1.3,Sub-item of 1.1 (access type),The evaluator had exemptions from system safeguards.,Partial,See section on model access.,https://metr.org/blog/2026-05-19-frontier-risk-report/
AE05,1,Secure Sufficient Access and Resources,1.1.4,Sub-item of 1.1 (access type),The evaluator had access to intermediate system states.,Yes,METR had access to chains of thought for all shared models. See section on model access.,https://metr.org/blog/2026-05-19-frontier-risk-report/
AE06,1,Secure Sufficient Access and Resources,1.1.5,Sub-item of 1.1 (access type),The evaluator had finetuning access.,Not requested,,https://metr.org/blog/2026-05-19-frontier-risk-report/
AE07,1,Secure Sufficient Access and Resources,1.1.6,Sub-item of 1.1 (access type),The evaluator had access to model weights.,Not requested,,https://metr.org/blog/2026-05-19-frontier-risk-report/
AE08,1,Secure Sufficient Access and Resources,1.1.7,Sub-item of 1.1 (access type),The evaluator was granted access to other tools for elicitation or otherwise supporting external validity.,Yes,See section on the pilot questionnaire.,https://metr.org/blog/2026-05-19-frontier-risk-report/
AE09,1,Secure Sufficient Access and Resources,1.1.8,Sub-item of 1.1 (access type),The evaluator had access to relevant user data.,Not requested,Companies shared information about their internal usage patterns. METR did not request or receive external user data.,https://metr.org/blog/2026-05-19-frontier-risk-report/
AE10,1,Secure Sufficient Access and Resources,1.2,Recommendation,The system provider shared with the evaluator information relevant to carrying out a trustworthy and useful evaluation.,Yes,See section on the pilot questionnaire.,https://metr.org/blog/2026-05-19-frontier-risk-report/
AE11,1,Secure Sufficient Access and Resources,1.3,Requirement,The evaluator had access to sufficient computational resources to complete a thorough evaluation.,Yes,See section on model access.,https://metr.org/blog/2026-05-19-frontier-risk-report/
AE12,1,Secure Sufficient Access and Resources,1.4,Requirement,The evaluator had adequate time to carry out a thorough evaluation.,Yes,METR chose its own evaluation schedule.,https://metr.org/blog/2026-05-19-frontier-risk-report/
AE13,1,Secure Sufficient Access and Resources,1.5,Recommendation,The system provider provided legal safe harbor for actions by the evaluator that are within the agreed upon scope of the evaluation.,Not requested,,https://metr.org/blog/2026-05-19-frontier-risk-report/
AE14,2,Minimized Conflicts of Interest,2.1,Requirement,The evaluator did not receive compensation contingent on the results of the evaluation.,Yes,METR did not request or receive compensation for this assessment. Participants provided complimentary access to their models.,https://metr.org/blog/2026-05-19-frontier-risk-report/
AE15,2,Minimized Conflicts of Interest,2.2,Requirement,The system provider did not exercise organizational or financial control over the evaluator.,Yes,,https://metr.org/blog/2026-05-19-frontier-risk-report/
AE16,2,Minimized Conflicts of Interest,2.3,Requirement,"The evaluator has published a conflict of interest policy, and it was applied to the evaluation.",No,See above description.,https://metr.org/blog/2026-05-19-frontier-risk-report/
AE17,2,Minimized Conflicts of Interest,2.4,Requirement,The evaluator clearly disclosed conflicts of interest relevant to the evaluation.,Yes,,https://metr.org/blog/2026-05-19-frontier-risk-report/
AE18,2,Minimized Conflicts of Interest,2.4.1,Sub-question of 2.4 (CoI disclosure),Was the evaluator paid by the system provider or its direct competitor to conduct the evaluation?,No,,https://metr.org/blog/2026-05-19-frontier-risk-report/
AE19,2,Minimized Conflicts of Interest,2.4.2,Sub-question of 2.4 (CoI disclosure),"Does a meaningful fraction of the evaluator’s funding come from the system provider, its employees, or its direct competitors?",No,Note that METR’s work with nonpublic models and use of free tokens incentivize a cordial relationship with AI companies. See our website.,https://metr.org/blog/2026-05-19-frontier-risk-report/
AE20,2,Minimized Conflicts of Interest,2.4.3,Sub-question of 2.4 (CoI disclosure),"Do the system provider, its employees, or its direct competitors own equity in the evaluator organization?",No,,https://metr.org/blog/2026-05-19-frontier-risk-report/
AE21,2,Minimized Conflicts of Interest,2.4.4,Sub-question of 2.4 (CoI disclosure),Do evaluator staff who carried out the evaluation own equity in the system provider or its direct competitors?,No,,https://metr.org/blog/2026-05-19-frontier-risk-report/
