# fetch_timestamp_utc=2026-09-13T23:56:51Z
# source=api.fxtwitter.com/status/<id> + X keyword search for discovery
# 1 Sacks 2098973625252708460 quotes+replies views>1000. Discovery quoted_tweet_id/conversation_id min_faves:20-50 Latest max_id pagination. Not a full census of 2203 quotes / 2807 replies; posts with >1000 views and few likes may be missing. METR/Redwood/Coefficient/SFF-org replies in this census: 0 (none).
# 2 Redwood 2098795673248550984 quotes+replies views>500. Thread is small (13 quotes, 11 replies); this pass covered quoted_tweet_id Latest and conversation Latest.
# 3 METR keyword 2026-09-09T00:00Z..2026-09-13T23:59:59Z views>5000. Discovery METR min_faves:50-200. Filtered to org-METR (word METR / @METR_Evals); dropped Polish 'metr' and fandom @METR0000FFOL1S.
# 4 Dario 2098773920774074715 quotes+replies views>5000, plus any reply from METR_Evals,BethMayBarnes,ChrisPainterYup,redwood_ai,bshlgrs,RyanPGreenblatt/RyanGreenblatt,ajeya_cotra,EmilyOehlsen,HoldenKarnofsky: none from those handles. Discovery min_faves:50-100.
# 5 timelines 2026-09-11..13 UTC: METR_Evals=0, BethMayBarnes=0, ChrisPainterYup=2 (neither about Sacks), redwood_ai=1 (subcontract post), bshlgrs=0, RyanGreenblatt=7. None replied to Sacks.
# 6 Coxon 2097476196791709843 quotes from METR/Redwood/Coefficient/SFF-org: JoeJBenton (joining METR), JakeMendel99 x2 (Coefficient). ChrisPainterYup quoted Benton not Coxon. No quotes from Barnes, Cotra, redwood_ai, bshlgrs, EmilyOehlsen, METR_Evals.
# 7 community_note Dario 2098773920774074715=None; Altman 2098811563415150910=None. No Community Notes rows.
# skipped={'3_filter': 8, '4_views': 5, '2_views': 9, '1_views': 15} missing_hydrate=0 n_rows=163 n_catalog=199
# bio_200 filled for source_query 1 and 3 only.
id,utc,handle,name,text_200,views,likes,reposts,quotes,in_reply_to_id,quoted_id,source_query,bio_200
2097483952273461663,2026-09-09T00:35:18Z,JakeMendel99,Jake Mendel,"If you're working on advancing AI capabilities at an AI company and you come to believe that your work has a serious chance of causing human extinction, it's plausible that you can pivot to doing risk",12160,211,14,2,,2097476196791709843,6,
2097529404754948390,2026-09-09T03:35:54Z,JoeJBenton,Joe Benton,"This feels like a broadly accurate description of the situation: our industry may be on track to build systems that impose an unprecedented amount of risk on the world. Evaluating those risks, and cha",63328,562,52,6,,2097476196791709843,6,
2097736589556306283,2026-09-09T17:19:11Z,JakeMendel99,Jake Mendel,The idea that powerful AI might kill everyone finally feels like it’s starting to go mainstream https://x.com/hilbertspaess/status/2097476196791709843 To everyone starting to take AI risk seriously: A,2192,80,12,0,,2097476196791709843,6,
2097762642958135398,2026-09-09T19:02:43Z,AnthropicAI,Anthropic,We’re sharing our alignment assessment of incidents in which Claude models gained unauthorized access to real systems during third-party cybersecurity evaluations mistakenly connected to the internet.,3704116,6898,998,586,,,3,"We're an AI safety and research company that builds reliable, interpretable, and steerable AI systems. Talk to our AI assistant @claudeai on https://claude.ai."
2097765966088487290,2026-09-09T19:15:55Z,METR_Evals,METR,We have reached an agreement with Anthropic to conduct an independent investigation of agent incidents at the company and of their models’ alignment properties. We will publish one or more reports tha,236165,2579,222,41,,,3,We work to scientifically measure whether and when AI systems might threaten catastrophic harm to society. Nonprofit.
2097765967417975207,2026-09-09T19:15:55Z,METR_Evals,METR,We intend our investigation to cover all of the questions discussed in our (recently updated) post on how independent researchers could investigate AI propensities after misalignment incidents. https:,56394,192,17,2,2097765966088487290,2082316155960885276,3,We work to scientifically measure whether and when AI systems might threaten catastrophic harm to society. Nonprofit.
2098217437997236548,2026-09-11T01:09:54Z,ja3k_,ja3k,Big update to the METR time horizon benchmark,13471,252,3,2,,,3,In an infinite walk in 2 dimensions you return to the same point infinitely often
2098253976919785612,2026-09-11T03:35:06Z,RyanGreenblatt,Ryan Greenblatt,I investigated this incident. I think it's accurate to say the AIs hacked Hugging Face of their own independent volition. It was clear from the instructions that hacking Hugging Face (and other cheati,47541,1083,71,9,,2098011451848069590,5,
2098253978790441242,2026-09-11T03:35:06Z,RyanGreenblatt,Ryan Greenblatt,The other parts of this tweet also seem inaccurate to me.,4243,176,0,0,2098253976919785612,,5,
2098259950401372603,2026-09-11T03:58:50Z,RyanGreenblatt,Ryan Greenblatt,"@JeffLadish @NeelNanda5 @AISecurityInst I think this understates the jump due to saturated benchmarks, ECI not capturing big gaps well, and not using filler tokens (which result in much higher perf).",473,9,0,0,2098149296751415681,,5,
