row_id,outlet,inventory_type,n_in_captured_window,n_articles,n_ai,n_tarbell_ai,window_min,window_max,brief_window,complete_trailing_year,completeness,method,source_ids,note,tag_census,n_ai_publisher_tag,n_ai_keyword_fallback
W001,Los Angeles Times,tag,94,,94,14,2026-06-05,2026-08-31,2025-09-12 to 2026-09-12 exclusive,no,partial,publisher AI tag/section feed,LA001;LA003;LA004;LA005;LA006;LA007;LA008;LA009…,"Publisher AI section/tag feed membership as extracted in article-inventory.csv. Truncation is a feed limit, not a zero.",partial,,
W003,The Guardian,tag,493,,493,20,2025-09-18,2026-09-11,2025-09-12 to 2026-09-12 exclusive,no,partial,publisher AI tag/section feed,GD001;GD002;GD003;GD004;GD005;GD006;GD007;GD008…,"Publisher AI section/tag feed membership as extracted in article-inventory.csv. Truncation is a feed limit, not a zero.",partial,,
W004,The Verge,tag,282,,282,37,2026-06-25,2026-09-11,2025-09-12 to 2026-09-12 exclusive,no,partial,publisher AI tag/section feed,VG001;VG002;VG003;VG004;VG005;VG006;VG007;VG008…,"Publisher AI section/tag feed membership as extracted in article-inventory.csv. Truncation is a feed limit, not a zero.",partial,,
W005,TIME,sitemap_or_index,242,4048,242,45,2025-09-12,2026-09-11,2025-09-12 to 2026-09-11 inclusive,no,partial,TIME daily sitemap.xml?yyyy=&mm=&dd=; AI via tag/ai URLs where captured plus keyword_fallback on slug,SM-TIME-2025-09-12;SM-TIME-2025-09-13;SM-TIME-2025-09-14;SM-TIME-2025-09-15;SM-TIME-2025-09-16;SM-TIME-2025-09-17;SM-TIME-2025-09-18;SM-TIME-2025-09-19;…,"daily sitemaps HTTP 406 on 62 days: ['2025-09-28', '2025-09-30', '2025-10-09', '2025-10-14', '2025-10-28', '2025-10-30', '2025-11-12', '2025-11-15', '2025-11-16', '2025-11-20', '2025-11-24', '2025-11-28']… fellows={'R011': 22, 'R013': 0, 'R018': 11, 'R025': 0, 'R028': 12, 'R029': 0}",partial,,
W006,MIT Technology Review,sitemap,443,1020,443,26,2025-09-12,2026-09-11,2025-09-12 to 2026-09-11 inclusive,yes,complete,"technologyreview.com sitemap-1..72; AI tag = topic_feed topic=9 (MT001–MT019, from 2025-12-30) plus keyword_fallback",SM-MIT-sitemap-1;SM-MIT-sitemap-2;SM-MIT-sitemap-3;SM-MIT-sitemap-4;SM-MIT-sitemap-5;SM-MIT-sitemap-6;SM-MIT-sitemap-7;SM-MIT-sitemap-8;SM-MIT-sitemap-9;SM-MIT-sitemap-10;SM-MIT-sitemap-11;SM-MIT-sitemap-12;SM-MIT-sitemap-13;SM-MIT-sitemap-14;SM-MIT-sitemap-15;SM-MIT-sitemap-16;SM-MIT-sitemap-17;SM-MIT-sitemap-18;SM-MIT-sitemap-19;SM-MIT-sitemap-20;SM-MIT-sitemap-21;SM-MIT-sitemap-22;SM-MIT-sitemap-23;SM-MIT-sitemap-24;SM-MIT-sitemap-25;SM-MIT-sitemap-26;SM-MIT-sitemap-27;SM-MIT-sitemap-28;SM-MIT-sitemap-29;SM-MIT-sitemap-30;SM-MIT-sitemap-31;SM-MIT-sitemap-32;SM-MIT-sitemap-33;SM-MIT-sitemap-34;SM-MIT-sitemap-35;SM-MIT-sitemap-36;SM-MIT-sitemap-37;SM-MIT-sitemap-38;SM-MIT-sitemap-39;SM-MIT-sitemap-40;SM-MIT-sitemap-41;SM-MIT-sitemap-42;SM-MIT-sitemap-43;SM-MIT-sitemap-44;SM-MIT-sitemap-45;SM-MIT-sitemap-46;SM-MIT-sitemap-47;SM-MIT-sitemap-48;SM-MIT-sitemap-49;SM-MIT-sitemap-50;SM-MIT-sitemap-51;SM-MIT-sitemap-52;SM-MIT-sitemap-53;SM-MIT-sitemap-54;SM-MIT-sitemap-55;SM-MIT-sitemap-56;SM-MIT-sitemap-57;SM-MIT-sitemap-58;SM-MIT-sitemap-59;SM-MIT-sitemap-60;SM-MIT-sitemap-61;SM-MIT-sitemap-62;SM-MIT-sitemap-63;SM-MIT-sitemap-64;SM-MIT-sitemap-65;SM-MIT-sitemap-66;SM-MIT-sitemap-67;SM-MIT-sitemap-68;SM-MIT-sitemap-69;SM-MIT-sitemap-70;SM-MIT-sitemap-71;SM-MIT-sitemap-72,"AI topic_feed empty before 2025-12-30; earlier AI rows use keyword_fallback fellows={'R008': 26, 'R015': 0, 'R027': 0}",partial,,
W007,Bloomberg,sitemap,5572,77425,5572,16,2025-09-12,2026-09-11,2025-09-12 to 2026-09-11 inclusive,yes,complete,dates: jsonld/listing/url_path/wayback_first_capture; AI publisher_tag=261 keyword_fallback=5311 tag_urls=326; news sitemaps have news:title but 0 news:keywords; Wayback article verify 800 pages,SM-BB-2025-9;SM-BB-2025-10;SM-BB-2025-11;SM-BB-2025-12;SM-BB-2026-1;SM-BB-2026-2;SM-BB-2026-3;SM-BB-2026-4;SM-BB-2026-5;SM-BB-2026-6;SM-BB-2026-7;SM-BB-2026-8;SM-BB-2026-9,pass3 tag_census=complete publisher_tag=261 keyword_fallback=5311 fellows={'R005': 16} median_proxy_gap=4,complete,261,5311
W008,NBC News,sitemap,497,16106,497,11,2025-09-12,2026-09-11,2025-09-12 to 2026-09-11 inclusive,yes,complete,dates: jsonld/listing/url_path/wayback_first_capture; AI publisher_tag=179 keyword_fallback=318 tag_urls=186,SM-NBC-art-2025-09;SM-NBC-art-2025-10;SM-NBC-art-2025-11;SM-NBC-art-2025-12;SM-NBC-art-2026-01;SM-NBC-art-2026-02;SM-NBC-art-2026-03;SM-NBC-art-2026-04;SM-NBC-art-2026-05;SM-NBC-art-2026-06;SM-NBC-art-2026-07;SM-NBC-art-2026-08;SM-NBC-art-2026-09,pass3 tag_census=partial publisher_tag=179 keyword_fallback=318 fellows={'R020': 11} median_proxy_gap=4,partial,179,318
W009,South China Morning Post,sitemap,2397,39424,2397,18,2025-09-12,2026-09-11,2025-09-12 to 2026-09-11 inclusive,yes,complete,dates: jsonld/listing/url_path/wayback_first_capture; AI publisher_tag=385 keyword_fallback=2012 tag_urls=457,SM-SCMP-arch-2025-09;SM-SCMP-arch-2025-10;SM-SCMP-arch-2025-11;SM-SCMP-arch-2025-12;SM-SCMP-arch-2026-01;SM-SCMP-arch-2026-02;SM-SCMP-arch-2026-03;SM-SCMP-arch-2026-04;SM-SCMP-arch-2026-05;SM-SCMP-arch-2026-06;SM-SCMP-arch-2026-07;SM-SCMP-arch-2026-08;SM-SCMP-articles,pass3 tag_census=complete publisher_tag=385 keyword_fallback=2012 fellows={'R001': 18} median_proxy_gap=4,complete,385,2012
W010,The Dispatch,sitemap,63,1091,63,21,2025-09-12,2026-09-11,2025-09-12 to 2026-09-11 inclusive,yes,complete,thedispatch.com post-sitemap5-7.xml (lastmod window); AI via tag page plus keyword_fallback,SM-DISP-post-6;SM-DISP-post-7;SM-DISP-post-5, fellows={'R006': 21},partial,,
W011,The New Yorker,sitemap,92,4156,92,0,2025-09-12,2026-09-11,2025-09-12 to 2026-09-11 inclusive,yes,complete,newyorker.com/sitemap-YYYY-MM.xml; AI via tag/section page plus keyword_fallback,SM-NY-2025-09;SM-NY-2025-10;SM-NY-2025-11;SM-NY-2025-12;SM-NY-2026-01;SM-NY-2026-02;SM-NY-2026-03;SM-NY-2026-04;SM-NY-2026-05;SM-NY-2026-06;SM-NY-2026-07;SM-NY-2026-08;SM-NY-2026-09, fellows={'R030': 0},partial,,
