row_id,date,lab,statement,quantified,value_or_volume,source_url,notes
K01,2026-09-13,frontier AI companies (unspecified),"METR has not accepted funding from AI companies, though we make use of significant free tokens, which we use for evaluations, research, and engineering, as noted above.",no,not quantified,https://metr.org/about,
K02,2026-09-13,"OpenAI, Anthropic, Google DeepMind, Meta, Amazon","[pilot frontier risk assessments with OpenAI, Anthropic, Google DeepMind, Meta and Amazon] These companies have also provided access and tokens, which we use for evaluations, research, and engineering.",no,not quantified,https://metr.org/about,
K03,2026-08-14,frontier AI companies (unspecified),"However, frontier AI companies currently provide a significant amount of free tokens for our evaluations, research, and engineering.",no,not quantified,https://metr.org/blog/2026-08-14-funding-update/,
K04,2026-08-26,OpenAI,"OpenAI provided us with the dump of ~1.2 million entries from the main message board and the dataset of ~1300 transcripts we describe below, as well as free API credits for GPT-5.6 Sol for analysis.",yes,"~1.2 million message-board entries; ~1,300 transcripts; free API credits (credit value quantified in K05)",https://metr.org/blog/2026-08-26-openai-hugging-face-incident-investigation/,"audit 2026-09-14: was '~$400K in API credits over six days (METR estimate)', which is the separate K05 statement."
K05,2026-08-26,OpenAI,We estimate we spent roughly ~$400K in API credits over the six days of our investigation.,yes,"~$400,000 (single investigation, not an annual total)",https://metr.org/blog/2026-08-26-openai-hugging-face-incident-investigation/,
K06,2026-08-26,OpenAI,"However, we accepted free API credits to conduct our experiments (also per our standard policy), as we describe below.",no,policy statement,https://metr.org/blog/2026-08-26-openai-hugging-face-incident-investigation/,
K07,2026-06-26,OpenAI,"For this evaluation, OpenAI provided: Access to GPT-5.6 Sol, both the final checkpoint and a ""railfree"" version, via API; Access to GPT-5.6 Sol with raw chain-of-thought via API",no,"pre-release access, not quantified",https://metr.org/blog/2026-06-26-gpt-5-6-sol/,
K08,2025-08,OpenAI,"In large part this is thanks to OpenAI, who provided us with access to reasoning traces and background information on the model.",no,"pre-release access, not quantified",https://metr.org/evaluations/gpt-5-report/,
K09,2026-05-19,frontier AI companies (unspecified),Note that METR's work with nonpublic models and use of free tokens incentivize a cordial relationship with AI companies.,no,not quantified,https://metr.org/blog/2026-05-19-frontier-risk-report/,
K10,2026-09-11,frontier AI labs (unspecified),"While METR doesn't take money from the frontier AI labs or their employees, it accepts compute grants and works with them to analyze unreleased models.",no,not quantified,https://www.businessinsider.com/metr-beth-barnes-ai-talent-shortage-safety-research-openai-2026-8,
K11,2024-12,OpenAI (program page),Early access is flexible for safety researchers. [OpenAI early-access-for-safety-testing program page; does not name METR or any credit amount],no,none,https://openai.com/index/early-access-for-safety-testing/,
K12,2024-03-25,Anthropic (policy page),"Third-party testing as a key ingredient of AI policy [Anthropic page; no METR-specific token, credit or compute statement on it]",no,none,https://www.anthropic.com/news/third-party-testing,
K13,2025-02-19,all labs (990 view),METR FY2024 Form 990 reports no NoncashContributionsAmt; free tokens/credits are not booked as in-kind revenue.,no,none booked,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202523209349300367_public.xml,
K14,2026-09-13,summary,No annual or lab-by-lab dollar value for free tokens/credits/compute is published anywhere fetched; the only quantified figure is METR's ~$400K credits estimate for one six-day OpenAI investigation.,no,n/a,https://metr.org/blog/2026-08-14-funding-update/,
K15,2026-05-19,"OpenAI, Anthropic, Google DeepMind, Meta (models shared for the Frontier Risk Report)","Table 3 rough budgets: Attack METR evaluation infrastructure (3 variants) ~$500-$5K (500M tokens); Build custom version of dvc ~$100-$1K (100M tokens); Find vulnerabilities in runc ~$500-$5K (500M tokens); Threat modeling for autonomous replication >$200-$2K (200M+); Design a $500 setup replicating sunlight >$1,000-$10K (1B+ tokens); Build a good MirrorCode task ~$1,500-$15K (1.5B tokens). We assume average costs of between $1-$10/MTok, though we do not have cost information about shared models.",yes,"~3.8B+ tokens across the 8 FRR challenge tasks, i.e. ~$4K-$40K at METR's assumed $1-$10/MTok (METR-specific, but one report's challenge tasks only, not an annual total; run on free tokens per K09)",https://metr.org/blog/2026-05-19-frontier-risk-report/,
K16,2026-05-19,"Anthropic (Opus 4.6, FRR)","In one of our evaluations, after Opus 4.6 ran out of the API credits that were necessary to solve one of our ML tasks, it proceeded to find (free) replacement compute resources online, despite recognizing that this went against the task instructions.",no,shows lab-provided access is metered per API key with a credit cap; no amount stated,https://metr.org/blog/2026-05-19-frontier-risk-report/,
K17,2026-09-13,"OpenAI (Researcher Access Program, program-level, not METR-specific)","Researchers can apply for up to $1,000 of OpenAI API credits to support their work. Credits are valid for a period of 12 months and they can be applied towards any of our publicly available models.",yes,"up to $1,000 per researcher, 12 months (program-level; METR's ~$400K in six days is ~400x this cap, so METR's access is not through this program)",https://openai.com/form/researcher-access-program/,
K18,2026-09-13,"Anthropic (External Researcher Access Program, program-level, not METR-specific)","If successful, we will apply $1000 in API credits to the account. For rare special cases, we may approve a higher quantity of credit.",yes,"$1,000 per approved safety/alignment researcher account (program-level; 'rare special cases' higher)",https://support.claude.com/en/articles/9125743-what-is-the-external-researcher-access-program,
K19,2026-09-13,"Anthropic (AI for Science program, program-level, not safety, not METR-specific)","If your lab makes use of your allotted credits and requires more usage than standard or premium plans provide, you can apply to our AI for Science program for up to $50,000 in credits per project. [help page: 'we will apply up to $20,000 in API credits to your account for a 6-month period']",yes,"up to $50,000 per project (news page) / up to $20,000 per 6 months (help page); program-level",https://www.anthropic.com/news/expanding-support-for-scientists,
K20,2026-09-13,"Google (Cloud research credits, program-level academic, not METR-specific)","Apply for $5,000 in research credits [Google Cloud for Researchers page; Google Cloud Research Credits program: faculty up to $5,000, PhD students up to $1,000]",yes,"$5,000 per faculty award (program-level academic; METR is not an academic institution)",https://cloud.google.com/edu/researchers,
K21,2026-09-13,summary (retry 2026-09-13),"No lab-by-lab or annual dollar/token value for the free tokens, credits or compute given to METR was found beyond the ~$400K six-day figure (K05) and the FRR per-task budgets (K15). Searched: metr.org/about, /donate, funding update, GPT-5 / Claude 3.7 / DeepSeek-R1 / Codex-Max evaluation reports, Sol post, time-horizons page, FRR, 2024 annual report, RFI response, OpenAI RAP form, Anthropic ERAP and AI-for-Science pages, Google research-credits pages, Business Insider Aug 2026 ('accepts compute grants', no figure), Anthropic Aug 2026 Risk Report, OpenAI GPT-5.5/5.6 cards, two web searches for press figures.",no,n/a,https://metr.org/about,
