row_id,utc_or_date,outlet,author,title,url,names_metr,describes_metr_funding,metr_response,evaluator_access_named,tailwind_or_halcyon,security_critique,fetched
CX01,2026-09-13 11:46 UTC (14 min before window),crypto.news,Olivia Stephanie,Solana founder questions motives behind AI slowdown,https://crypto.news/solana-founder-questions-motives-behind-ai-slowdown/,yes,no,no ('Neither company had publicly accepted Sacks' description as of Sept. 13.'),"METR as example; 'OpenAI promised more information but supplied no implementation date, evaluator name or access terms.'",,,yes (docs/PR-cryptonews-yakovenko.html)
CX02,2026-09-13 09:51 UTC,The Eastern Herald,staff,Anthropic CEO Dario Amodei Calls for AI Slowdown After Rogue Agent Incidents,https://easternherald.com/2026/09/13/amodei-pace-frontier-ai-slowdown-rogue-agents/,yes,no,no,METR ('would verify safety practices and report incidents publicly'),,,yes via r.jina.ai
CX03,2026-09-13 09:34 UTC,ANI,ANI,"Frontier AI slowdown debate intensifies as David Sacks urges voluntary action, Meta focuses on alignment",https://www.aninews.in/news/business/frontier-ai-slowdown-debate-intensifies-as-david-sacks-urges-voluntary-action-meta-focuses-on-alignment20260913150457/,no,no,no,none (Alexandr Wang: MSL 'rapidly scaling up the share of our efforts' on alignment),,,yes (docs/PR-ani-sacks-meta.html)
CX04,2026-09-13 08:53 UTC,The Decoder,staff,"Altman, Musk and Hassabis back Amodei's call to add independent oversight",https://the-decoder.com/altman-musk-and-hassabis-back-amodeis-call-to-add-independent-oversight/,no,no,no,none,,,yes (docs/PR-thedecoder.html)
CX05,2026-09-12 22:31 UTC,The Atlantic,staff,Dario Amodei: 'We Owe It to Humanity' to Slow Down AI,https://www.theatlantic.com/technology/2026/09/dario-amodei-slow-down-ai-save-humanity/688610/,no,no,no,none ('bringing in outside monitors'),,,yes (docs/PR-atlantic-amodei.html)
CX06,2026-09-12 18:26 (site time),StartupHub.ai,Daniel Singer,Dario Amodei We Must Pace the Frontier Is Vague,https://www.startuphub.ai/ai-news/artificial-intelligence/2026/dario-amodei-we-must-pace-the-frontier-is-vague,yes,no,no,METR as example,,,yes (docs/PR-startuphub.html)
CX07,2026-09-12 15:52 UTC,24/7 Wall St. via Yahoo Finance,Rich Duprey,Anthropic's Prisoner's Dilemma,https://finance.yahoo.com/technology/ai/articles/anthropic-prisoner-dilemma-dario-amodei-155254071.html,yes,no,no,METR ('third-party evaluators like METR'),,,yes (docs/PR-yahoo-247wallst-prisoner.html)
CX08,2026-09-12,Crypto Briefing,staff,Anthropic's Amodei proposes continuous evaluator access for AI firms,https://cryptobriefing.com/anthropic-amodei-embedded-ai-evaluators/,yes,no,no,METR ('the degree to which METR or other evaluators can operate without implicit pressure'),,,yes (docs/PR-cryptobriefing-embedded.html)
CX09,2026-09-12,Americans for Responsible Innovation,ARI,Anthropic and OpenAI Leaders Commit to Independent Evaluators for Powerful AI Models,https://ari.us/anthropic-and-openai-leaders-commit-to-independent-evaluators-for-powerful-ai-models/,no,no,no,"none ('embedded, accredited private verifiers')",,,yes (docs/PR-ari-us.html)
CX10,2026-09-12,Xe Iaso (xeiaso.net),Xe Iaso,Everyone should slow down AI development except for me (satire; host thread for PR12),https://xeiaso.net/notes/2026/everyone-slowdown-but-me/,no,no,no,none,,,yes (docs/PR-xeiaso.html)
CX11,2026-09-12 (NBC Sep 10 22:33 UTC original; IBTimes Sep 11; Free Press Journal Sep 12),NBC News / IBTimes / Free Press Journal,Jared Perlo (NBC); Merin Rebecca Thomas (IBTimes); Vidhi Santosh Mehta (FPJ),"Two AI researchers leave Anthropic, Google over safety concerns (Benton, Engels to METR)",https://www.nbcnews.com/tech/security/two-ai-researchers-leave-anthropic-google-safety-concerns-rcna597086,yes,no,no,none,,,"yes (docs/PR-nbc-benton-engels.html, PR-ibtimes-benton.html, PR-freepressjournal-benton.html)"
CX12,2026-09-05,Flights of Fancy (andrewwu.substack.com),Andrew Wu,The 'slop-vestigation' and ethics washing: Why was the METR/Redwood Research investigation into the OpenAI/HF attack so short?,https://andrewwu.substack.com/p/the-slop-vestigation-and-ethics-washing,yes,no,no,none,,"'the investigation was too short'; 'OpenAI controlled too much of the investigation'; investigators relied on GPT-5.6 Sol agents to read 1,000+ transcripts; proposes a standing congressional incident commission that could hire METR/Redwood",yes (docs/PR-andrewwu-slopvestigation.html)
CX13,2026-08-31,Contraptions (Venkatesh Rao),Venkatesh Rao,Walter Mitty Effects in AI Incident Analyses,https://contraptions.venkateshrao.com/p/walter-mitty-effects-in-ai-incident,yes,no,no,none,,"quotes Khlaaf: 'language such as ""rogue"" and ""loss of human control"" can obscure the distinction between autonomy and badly specified objectives operating inside badly secured environments'",yes (WebFetch)
CX14,2026-09-04 14:02 UTC,The Next Web,Alina Maria Stan,The nonprofit that investigated OpenAI's rogue agents runs on a $36m grant. The next wave of that money is waiting on the AI IPOs.,https://thenextweb.com/news/coefficient-giving-ai-safety-funding-ipo-correlation,yes,"yes (Redwood, not METR): 'Coefficient awarded Redwood Research a $36,566,000 grant for ""work on AI control and alignment faking""'; 'The independent scrutiny of frontier AI is becoming a derivative of frontier AI valuations.'",no,none,,,yes (docs/PR-tnw-coefficient-redwood.html)
CX15,2026-08 (Business Insider original; Jingletree copy),Business Insider (syndicated at Jingletree),BI senior tech reporter,An ex-OpenAI researcher's influential nonprofit is now smack in the middle of AI's doom debate,https://jingletree.com/an-ex-openai-researcher-s-influential-nonprofit-is-now-smack-in-the-middle-of-ai-s-doom-debate-268039.html,yes,"yes: METR 'doesn't take money from the frontier AI labs or their employees' but 'accepts compute grants and works with them to analyze unreleased models'; salaries 'reaching $503,000'",no (Barnes quoted on talent bottleneck only),none,,,yes (docs/PR-jingletree-bi-metr.html)
CX16,2026-06-03,Inside The Black Box (itbb.substack.com),ITBB,Who Funds the AI Safety Watchdogs,https://itbb.substack.com/p/who-funds-the-watchdogs,yes,"yes: 'Its predecessor received approximately $1.5 million from Open Philanthropy in 2022, but METR's current donors — including the Pew Charitable Trusts and several foundations outside the usual network — are designed to avoid dependence on any single source.' (Pew claim unverified against our money_flows.csv)",no,none,,,yes (docs/PR-itbb-who-funds-watchdogs.html)
