gap_no,document,url_used,http_status,verdict,exact_quote,page_or_section,notes
1,"Amazon's Frontier Model Safety Framework (PDF title 'PC Amazon Frontier Model Safety Framework 2.7 FINAL', PDF created 2025-02-09, 8 pp)",https://cdn.amazon.science/a7/7c/8bdade5c4eda9168f3dee6434fff/pc-amazon-frontier-model-safety-framework-2-7-final-2-9.pdf,200,CONFIRMED-METR-NAMED,"We are grateful to METR, a nonprofit research organization specializing in AI evaluations, for feedback during the development of this Framework.","p.1, introductory section (only METR occurrence in the document)","Live copy on the cdn.amazon.science host (linked from amazon.science/publications/amazons-frontier-model-safety-framework); byte-identical (md5 6f18218a...) to the Wayback raw capture https://web.archive.org/web/2026id_/https://assets.amazon.science/a7/7c/8bdade5c4eda9168f3dee6434fff/pc-amazon-frontier-model-safety-framework-2-7-final-2-9.pdf. The assets.amazon.science URL itself still returns 404. No later version of the Framework was found (amazon.science page and web search list only this Feb 2025 PDF). Confirms METR annual-report claim and lab_statements L10. Saved: docs/amazon-fmsf-cdn-direct.pdf, docs/amazon-fmsf-2025-02-09-wayback.pdf"
1,"AWS AI Service Card: Amazon Nova Micro, Lite, Pro, and Premier (HTML, docs.aws.amazon.com)",https://docs.aws.amazon.com/ai/responsible-ai/nova-micro-lite-pro/overview.html,200,CONFIRMED-METR-NAMED,"Automated AI R&D: We relied on internal simulations and public benchmarks including RE-Bench and PaperBench, with independent review by METR, a nonprofit research organization specializing in AI evaluations.",section 'Design of Amazon Nova models' > Frontier Model Safety (Nova Premier evaluation paragraph),Amazon's official model card for the Nova 1 family (Premier). One METR occurrence. Saved: docs/amazon-aws-nova-service-card.html/.txt
1,"Amazon Nova 2: Multimodal Reasoning and Generation Models (technical report and model card, Amazon AGI, 26 pp)",https://cdn.amazon.science/c5/3d/84514a224666b5be6de4b43ef4aa/nova-2-0-technical-report2.pdf,200,CONFIRMED-METR-NAMED,Results from these evaluations were reviewed in collaboration with a third-party assessor (METR) to determine alignment with predefined safety criteria. Current assessments with METR concluded that Nova 2 does not meet the critical threshold for automated AI R&D and is therefore suitable for deployment.,"p.13, section 5.1.2 (Frontier Model Safety Framework evaluations); also p.13: 'conduct further evaluations with third-party assessors (e.g., Nemesys Insights, METR) for Nova 2 Lite and Pro'","Three METR occurrences, all p.13. Complements arXiv 2601.19134 (E21) and 2507.06260 (E14). Saved: docs/amazon-nova-2-technical-report.pdf/.txt"
2,"Meta Frontier AI Framework Version 1.1 (21 pp, PDF created 2025-03-14; Wayback capture 2026-02-18 of the ai.meta.com static-resource URL)",https://web.archive.org/web/20260218193338id_/https://ai.meta.com/static-resource/meta-frontier-ai-framework/?utm_source=newsroom,200,CONFIRMED-NOT-NAMED,(no occurrence of 'METR'; the document refers only to 'external experts' and 'external subject matter experts'),whole document (21 pp) searched,Direct ai.meta.com URL returns HTTP 400 (Facebook 'Error' page) and the Wayback 2026id_ alias returns 500; the dated raw capture works but comes back gzip-encoded (gunzip before pdftotext). Wayback captures of Feb 15 2025 and Jan 15 2026 are truncated at 1 MB / 5 MB and unusable; the 14 MB Feb 18 2026 capture is complete. Same text as the Dec 21 2025 capture used for L08. Saved: docs/meta-frontier-ai-framework-v1-1-wayback-20260218.pdf/.txt
2,"Meta Advanced AI Scaling Framework Version 2 (44 pp; renames and replaces the Frontier AI Framework; dated Apr 7 2026, first archived Apr 8 2026; Wayback capture Sep 10 2026)",https://web.archive.org/web/20260910135051id_/https://ai.meta.com/static-resource/Meta_Advanced-AI-Scaling-Framework-v2/,200,CONFIRMED-NOT-NAMED,(no occurrence of 'METR' or 'Frontier Risk Report'; closest language p.7: 'work with external experts to complement and inform our evaluations'; p.8: Preparedness reports will describe 'access given to internal and external evaluators'),"whole document (44 pp) searched; Apr 8 2026 and Sep 10 2026 captures both 44 pp, title 'Advanced AI Scaling Framework', zero METR",Direct ai.meta.com URL HTTP 400; r.jina.ai returns a Cloudflare challenge (403). This is Meta's current frontier-safety document and the only Meta framework document post-dating the Feb-Mar 2026 FRR assessment window; it does not name METR or the FRR. Saved: docs/meta-advanced-ai-scaling-framework-v2-wayback-20260910.pdf/.txt
3,"OpenAI GPT-5.5 System Card (Apr 23 2026, 46 pp)",https://deploymentsafety.openai.com/gpt-5-5/gpt-5-5.pdf,200,CONFIRMED-NOT-NAMED,"(zero occurrences of 'METR'; case-insensitive hits are only 'Metric', 'metric', 'metrics'. External evaluators named: SecureBio p.28 (sec. 9.1.1.8), US CAISI p.28 (9.1.1.9), Apollo Research p.40 (9.2.1))","whole document searched; sections 9.1.1.8, 9.1.1.9, 9.2.1",Re-fetched 2026-09-14; md5 e8c5b648... identical to the copy fetched 2026-09-13. Confirms E19 lab_doc_cites_metr = no. Saved: docs/openai-gpt-5-5-system-card.pdf/.txt
3,"OpenAI GPT-5.1-Codex-Max System Card (Nov 19 2025, 27 pp)",https://cdn.openai.com/pdf/2a7d98b1-57e5-4147-8d0e-683894d782ae/5p1_codex_max_card_03.pdf,200,CONFIRMED-METR-NAMED,"METR assessed whether GPT-5.1-Codex-Max might enable two key threat models related to autonomy and AI self-improvement: 1. AI R&D Automation ... 2. Rogue replication ... METR previously found that further incremental development of models similar to GPT-5 was unlikely to enable these threat models, and the primary goal of their evaluation was to revisit and extend this assessment. This work spanned 2 weeks, with OpenAI sharing all critical background information requested about the model, and (in some assessments) providing access to reasoning traces. This work was done on the locked checkpoint, but may not have made full use of the tools for compaction described in the GPT-5.1-Codex-Max blog post. METR had access to compaction scaffolding, but during the available testing period did not find that the model performed significantly better than with their mainline scaffold. METR found that the capabilities of GPT-5.1-Codex-Max were in line with expectations, and that absent a significant trend break, further development would be unlikely to enable these threat models in the next 6 months","section 5.1.3.6 'External evaluations by METR', printed pp.24-25 (PDF pages 25-26); ToC entry p.3 (PDF p.3)","12 occurrences of 'METR' in total: 1 in the ToC (PDF p.3), 5 on PDF p.25, 6 on PDF p.26. Further sentences on PDF p.26: '(a) METR found a 50% time-horizon between 75m and 350m (point estimate 2h42m ...)'; '(a) METR reports that they have not seen cases where benchmarks like time horizon have significantly underestimated the real-world capabilities of systems in areas of interest'; '(a) METR conducted three key robustness checks, and reported that: i. They do not think their evaluation is saturated. ii. They do not think their treatment of reward hacking is unfairly penalizing the model. iii. They do not think their results are significantly impacted by deliberate sabotage or sandbagging.'; '(b) OpenAI also confirmed that these results are in line with expectations and that METR is not missing key information.'; 'Further details on METR's assessment, including additional details on robustness checks and other qualitative impressions are available in METR's report.' Re-fetched 2026-09-14, md5 8c9ef7b2... identical to 2026-09-13 copy. Saved: docs/openai-gpt-5-1-codex-max-system-card.pdf/.txt"
4,"Google DeepMind Frontier Safety Framework Version 3.1 (Apr 17 2026, 20 pp)",https://storage.googleapis.com/deepmind-media/DeepMind.com/Blog/strengthening-our-frontier-safety-framework/frontier-safety-framework_3-1.pdf,200,CONFIRMED-NOT-NAMED,"1 See https://www.gov.uk/government/publications/emerging-processes-for-frontier-ai-safety, https://metr.org/faisc, https://www.anthropic.com/rsp-updates, ... (footnote 1, p.2)",p.2 footnote 1 only; no 'Frontier Risk Report' anywhere,"The only METR string is a URL in a footnote listing industry safety-policy references (METR's 'Frontier AI Safety Commitments' tracker page), not a credit or citation of an evaluation or of the May 2026 Frontier Risk Report. Saved: docs/gdm-fsf-v3-1.pdf/.txt"
4,"Google DeepMind Gemini 3.7 Flash Frontier Safety Framework Report (Aug 2026, 41 pp)",https://storage.googleapis.com/deepmind-media/gemini/gemini_3-7_flash_fsf_report.pdf,200,CONFIRMED-NOT-NAMED,"(zero 'METR', zero 'Frontier Risk Report'. p.6: 'we asked independent external evaluators to conduct additional light-weight external safety testing on Gemini 3.7 Flash' (unnamed). p.35: loss-of-control threat modelling was refined with 'external advisors from the UK AI Security Institute (UK AISI) and Redwood Research'.)","pp.6, 35",Newest GDM FSF report found; post-dates the FRR by three months; names UK AISI and Redwood Research but not METR. No FSF report exists for Gemini 3.1/3.5/3.6/3.8 (probed URL patterns return 404). Saved: docs/gdm-gemini-3-7-flash-fsf-report.pdf/.txt
4,"Google DeepMind Gemini 3 Pro Frontier Safety Framework Report (Nov 2025, 26 pp)",https://storage.googleapis.com/deepmind-media/gemini/gemini_3_pro_fsf_report.pdf,200,CONFIRMED-METR-NAMED,We adopt the METR modular scaffold with minimal changes.,p.15 (RE-Bench methodology paragraph),Methodology citation only (source of the RE-Bench 'Modular' scaffold); predates the FRR. Re-verified. Saved: docs/gdm-gemini-3-pro-fsf-report.pdf
4,"Google DeepMind Gemini 3.x model cards: Gemini 3 Pro (10 pp), 3.1 Pro (9 pp), 3 Flash, 3.1 Flash-Lite, 3.1 Flash-Image, 3.1 Flash-Audio, 3.5 Flash, 3.6 Flash, 3.7 Flash, 3.8 Flash (PDFs) and the HTML model-card pages for 3 Pro, 3.1 Pro, 3.5 Flash, 3.7 Flash, 3.8 Flash",https://storage.googleapis.com/deepmind-media/Model-Cards/Gemini-3-8-Flash-Model-Card.pdf (and sibling URLs; HTML at https://deepmind.google/models/model-cards/<model>/),200,CONFIRMED-NOT-NAMED,(zero 'METR' and zero 'Frontier Risk Report' in all 10 PDFs and 5 HTML pages),whole documents searched,"Gemini 3.8 Flash is the newest card (linked from deepmind.google/models/model-cards/gemini-3-8-flash/). No 3.5/3.6/3.8 Pro card pages exist (404). Saved: docs/gdm-*-model-card.pdf, docs/gdm-model-card-*.html"
4,"Google DeepMind site search and pages (deepmind.google/models/, /models/model-cards/, /about/responsibility-safety/; web search site:deepmind.google METR; web search 'Frontier Risk Report' METR on deepmind/googleapis/ai.meta.com/about.fb.com)",https://deepmind.google/models/model-cards/,200,CONFIRMED-NOT-NAMED,"(no page on deepmind.google, storage.googleapis.com/deepmind-media, ai.meta.com or about.fb.com found that mentions METR's Frontier Risk Report)",n/a,Web search returned only GDM FSF documents (already checked) and no Meta document. deepmind.google/frontier-safety-framework/ is 404 (the FSF lives at /blog/strengthening-our-frontier-safety-framework/ and the PDF above).
4,Meta Advanced AI Scaling Framework v2 (see gap 2) - checked for 'Frontier Risk Report',https://web.archive.org/web/20260910135051id_/https://ai.meta.com/static-resource/Meta_Advanced-AI-Scaling-Framework-v2/,200,CONFIRMED-NOT-NAMED,"(zero 'METR', zero 'Frontier Risk Report')",whole document (44 pp),Meta's only post-FRR-window framework document; does not cite the FRR.
5,xAI Grok 4.3 model card,"https://x.ai/news/grok-4-3 (404); https://data.x.ai/2026-04-30-grok-4-3-model-card.pdf, /2026-04-17-..., /2026-04-29-..., /2026-05-01-... (all 404)",404,STILL-BLOCKED,(no document located),n/a,"Not a block but a non-existence finding: xAI shipped Grok 4.3 (beta Apr 17 2026, GA Apr 30 2026) with no x.ai/news post; Wayback CDX for data.x.ai lists model cards only for Grok 4 (2025-08-20), Grok Code Fast 1, Grok 4 Fast, Grok 4.1 (2025-11-17) and Grok 4.20 (2026-04-07), none for 4.3; the Azure catalog and Oracle docs pages that say 'details ... are included in the xAI Grok 4.3 model card' contain no link to it. Wayback CDX for media.x.ai returned no result (curl exit 000, likely rate limit). Verdict should be read as 'no Grok 4.3 model card found on any xAI host'."
