row_id,id,utc,handle,name,views,likes,bio_200,text_200
SK01,2099181123121127761,2026-09-13T16:59:15Z,vkhosla,Vinod Khosla,109395,1044,"entrepreneurship zealot, grounded technology possibilist, believer in the power of ideas, passionate about sustainability & impact; @Seahawks fan",Hard position as not getting behind China is even more critical. Even if they agree to slow down I would not trust them. Advanced AI in Chinese hands is far more dangerous than advanced AI
SK02,2098987813568217417,2026-09-13T04:11:06Z,AkalStation,Alex Kalogeropoulos,104286,1818,Founder & CEO of @SocialStation,"After all this nonsense, I hope open models overtake both of them. The doomsaying is getting old, and with Anthropic specifically, I'm tired of their frontier models blocking meaningful work in the bi"
SK03,2099176838085943796,2026-09-13T16:42:13Z,namcios,Felipe Demartini,82766,587,Informação em primeira mão sobre IA todo dia • 700+ artigos @zerohedge @bitcoinmagazine,O ex chefão de IA da Casa Branca matou a charada. E deu um tapa na cara dos donos da Anthropic e da OpenAI. David Sacks respondeu o post do Dario Amodei e o apoio do Sam Altman com uma frase seca: pod
SK04,2099059076327985514,2026-09-13T08:54:17Z,MikeBenzCyber,Mike Benz,70420,2571,"Executive Director, @FFO_Freedom. Former State Dept Cyber. Author of the unpublishable monstrosity, Weapons Of Mass Deletion.",@DavidSacks this part exactly
SK05,2099152028861600217,2026-09-13T15:03:38Z,BoringBiz_,Boring_Business,52946,1080,Nobody asks about your external rate of return,David Sacks when it comes to dunking on Dario and Sam for AI regulatory capture
SK06,2099200344446095853,2026-09-13T18:15:38Z,brithume,Brit Hume,47270,503,"Chief Political Analyst, Fox News Channel. Arguments welcome. Name callers & verbal abusers blocked.",This is worth reading.
SK07,2098990047433535788,2026-09-13T04:19:59Z,beffjezos,Beff (e/acc),44154,1860,founder @ e/acc // thermo king @extropic // Kardashev scaling is all you need,@DavidSacks This is why you are the GOAT
SK08,2099033523491688774,2026-09-13T07:12:44Z,rubyedelstein,Ruby,43717,73,"chief technology officer, proud father of 2","@DavidSacks This is not correct, if they stop building somebody else is gonna come and build it to take the market share, then the danger is back on the table. The only way the danger is off the table"
SK09,2099143638777577572,2026-09-13T14:30:18Z,labubu_trader,3X Long Labubu,34760,134,Labubu long term investor/bag holder. Trading as a hobby. All of my tweets are just my personal opinions. Not financial advice. No telegram/discord/whatsapp!,100% agreed with Sacks. Feels like this is a strategy of the leading AI labs to create a higher barrier to CN open-source models and other new entrants.
SK10,2099146998259794304,2026-09-13T14:43:39Z,TVietor08,Tommy Vietor,33646,628,"Former Obama NSC staff, cohost Pod Save America, Pod Save the World @crookedmedia","Corporations are not and will never be altruistic, which is why we need the government to regulate new and dangerous technologies. The problem is David and Silicon Valley elites who put profits over e"
SK11,2099139732550914412,2026-09-13T14:14:47Z,GaryMarcus,Gary Marcus,33575,398,"OG GenAI Skeptic; spoke at US Senate. Warned about hallucinations in 2001. Advocating world models & neurosymbolic AI ever since. Author, Marcus on AI & 6 books",“stop pretending you need anyone else’s permission. Stop pretending antitrust law has to be suspended so you can form a cartel. Stop pretending you need a regulatory approval process that supersedes p
SK12,2099130691522875730,2026-09-13T13:38:51Z,lisaabramowicz1,Lisa Abramowicz,30217,261,Co-host of @bsurveillance,"“Stop pretending the motivation to slow down is purely altruistic...After the Hugging Face episode, it is simply good business for OpenAI and Anthropic to trade some raw power for reliability and pred"
SK13,2099180873052524726,2026-09-13T16:58:15Z,jmartinprin,Julien Martin-Prin,28361,91,Network Analyst @SemiAnalysis_. Ex Network Engineer @ AWS ⚠️ Pas de conseil en investissement - DYOR ! ⚠️ Opinions are my own,"Exactement, on en revient à ce que je disais hier: ils demandent la régulation uniquement pour leur intérêt personnel (image publique, visibilité, arrivée de concurrents,…), absolument pas pour le bie"
SK14,2099171966192324721,2026-09-13T16:22:52Z,MaxForAI,Max For AI,26499,82,Head of hype @lobehub Prev @listenhub @Sapient_Int 本科辍学创业 没啥好看的，也就发点AI相关的内容🫡 同名小红书4万粉丝，公众号01Founder（长文首发） 观点仅代表个人 更多请访问网站⬇️（欢迎商务、合作,美国总统科技顾问委员会联席主席 David Sacks，刚发了一篇长帖，回应 Dario 和 Sam 的 AI 减速倡议。 起因是，Anthropic CEO Dario Amodei 发文呼吁放缓前沿模型的能力提升，并提出外部评估、行业协调和国际合作的方案。 OpenAI CEO Sam Altman 随后表示赞同，也承诺向外部评估者开放接近员工级别的权限。 Sacks 的回应很直接： 你们觉得
SK15,2099001534906319085,2026-09-13T05:05:38Z,TheAhmadOsman,Ahmad,24941,331,Founder & CEO @OsmanticAI — Accelerating Opensource & Self-hosted / Local AI Adoption • I moderate GPUs on r/LocalLLaMA,"@DavidSacks Thank you for putting it so clearly. I have been trying to say the same, nobody is stopping them from doing this already, this is just a cover for regulatory capture! https://x.com/theahma"
SK16,2098999420004286766,2026-09-13T04:57:13Z,BrianRoemmele,Brian Roemmele,23740,835,we can only see what we think is possible...,"@DavidSacks David, thank you for leadership and cogent insights."
SK17,2099137950307205441,2026-09-13T14:07:42Z,WisemanCap,Kaushik,21655,86,Sharing For Informational Purpose Only | No Investment Advice | Subscribe for Additional Content | Substack - https://wisemanc.substack.com,This is awesome post. 100% agree!
SK18,2098993174136131924,2026-09-13T04:32:24Z,Scobleizer,Robert Scoble,21072,412,"Fan of new things and the people who build them | San Francisco/Silicon Valley AI | Ex-Microsoft, Rackspace, Fast Company | Wrote eight books about the future.",@DavidSacks I am cheering from the cheap seats!
