row_id,date,event,price_per_share_usd,post_money_usd,implied_fd_shares,source_type,url,quote_verbatim,notes
LD01,2021-05-28,Series A (Forge),2.5700,623110000,,Forge cap-table reproduction,https://forgeglobal.com/anthropic_ipo/,"| 05/28/2021 | Series A | $124.62M | $2.57 | $623.11M | Center For Emerging Risk Research, Dustin Moskovitz, Eric Schmidt, Jaan Tallinn, James Mcclave | ... Shares Outstanding 48,574,420","Anthropic did not disclose a post-money; $623.11M is Forge's figure. 124.62M/2.57 = 48.49M shares vs 48,574,420 listed. Implied FD 623.11M/2.57 = 242.5M (Forge-only; both inputs from one vendor)."
LD02,2022-04-29,Series B (Forge dates the COI 02/03/2023; Anthropic announced 2022-04-29),11.2300,4020000000,,Forge cap-table reproduction,https://forgeglobal.com/anthropic_ipo/,"| 02/03/2023 | Series B | $981.5M | $11.23 | $4.02B | Caroline Ellison, Center For Emerging Risk Research, Jaan Tallinn, James Mcclave, Nishad Singh, Sam Bankman-Fried | ... Shares Outstanding 87,430,352","Cross-check against the FTX docket: FTX/Alameda's $500M bought 44,465,891 Series B shares (29,465,891 sold Mar 2024 per D.I. 10241-1 + 15,000,000 sold Jun 2024 per The Block) => $500.0M/44,465,891 = $11.24/sh, matching Forge's $11.23. Implied FD 4.02B/11.23 = 358M (Forge-only post-money; Anthropic never disclosed one)."
LD03,2023-05-23,Series C-1 and C-2 (Forge),11.2300,4100000000,,Forge cap-table reproduction + Anthropic release,https://forgeglobal.com/anthropic_ipo/,"| 05/23/2023 | Series C-1 | $296.34M | $11.23 | $4.55B | ... Shares Outstanding 26,397,182 | ; | 05/23/2023 | Series C-2 | $150M | $11.23 | $4.55B | ... Shares Outstanding 13,361,719",Flat price vs Series B. Anthropic's release said $4.1B post (research/investments.csv IV03); Forge says $4.55B. Implied FD at Anthropic's $4.1B / $11.23 = 365M; at Forge's $4.55B = 405M. Ambiguous.
LD04,2023-10-27,"Series D-1 (Google tranche, Forge)",30.0000,14550000000,,Forge cap-table reproduction,https://forgeglobal.com/anthropic_ipo/,"| 10/27/2023 | Series D-1 | $1.05B | $30.00 | $14.55B | Google | ... Shares Outstanding 35,012,753",First $30 price. Implied FD 14.55B/30 = 485M (Forge-only post).
LD05,2024-01-11,"Series D (Menlo-led $750M at $18.4B post; Forge D-2 $27.00 / D-3 $30.00 dated 03/27/2024, Amazon)",30.0000,18400000000,613333333,Prime Unicorn Index (Delaware COI) + Forge + CNBC,https://www.primeunicornindex.com/anthropics-share-price-jumps-in-series-e-filing/,"Prime Unicorn Index 2025-02-11: 'Anthropic priced its Series E shares at $56.09' ... 'up from its Series D price of $30'. Forge: | 03/27/2024 | Series D-3 | $150M | $30.00 | $18.4B | Amazon | Shares Outstanding 4,999,250 ; | 03/27/2024 | Series D-2 | $120M | $27.00 | $18.4B | Amazon | Shares Outstanding 4,443,769","Implied FD = 18.4B / 30.00 = 613.3M. DISCREPANCY: the FTX motion's 7.84% fully-diluted stake (44,465,891 sh) implies 567.2M FD shares as of Jan 2024; 613M vs 567M is an 8% gap (post-money definitions / unallocated option pool / notes-as-converted). Flagged."
LD06,2024-03-22,"FTX estate secondary sale #1: 29,465,891 Series B Preferred shares to 24 purchasers for $884,109,327",30.0045,,,Bankruptcy docket (primary),https://storage.courtlistener.com/recap/gov.uscourts.deb.188450/gov.uscourts.deb.188450.10241.1.pdf,"D.I. 10241-1 Exhibit 1 'List of Purchasers, Number of Shares and Aggregate Purchase Price': 'ATIC Third International Investment Company, LLC 16,664,167 $499,999,999' ... 'Jane Street Global Trading, LLC 3,332,833 $99,999,988' ... 'Total 29,465,891 $884,109,327'","Price = 884,109,327 / 29,465,891 = $30.0045/sh. Notice D.I. 10241 (2024-03-22): sale of 'the Series B Preferred Stock in Anthropic, PBC' under the 2024-02-29 order D.I. 8215; motion D.I. 6952 filed 2024-02-03. Unchained Crypto 2024-02-05 quoting the motion: 'As of January, FTX held approximately 7.84% of Anthropic equity on a fully diluted basis.' => FD shares Jan 2024 = 44,465,891/0.0784 = 567.2M; x $30.0045 = $17.0B."
LD07,2024-06-01,"FTX estate secondary sale #2: remaining 15,000,000 shares at ~$30",30.0000,,,The Block (press; docket notice not retrieved),https://www.theblock.co/post/298010/ftx-offloads-remaining-anthropic-shares-as-bankruptcy-cost-surpasses-700-million,"The Block 2024-06-01: 'FTX sold the remaining 15 million shares for about $30 each, netting over $450 million in proceeds.' 'The top buyer on this round, global venture capital fund G Squared, purchased about one-third of the remaining shares, 4.5 million, for $135 million.'",G Squared: $135M/4.5M = $30.00/sh. research/investments.csv IV06 has ~$452M => $30.13/sh. The second Kroll sale notice (Jun 2024) was not retrievable (Kroll CloudFront 403; not in RECAP).
LD08,2024-11-22,"Series E-3 / E-4 / E-5 (Amazon note conversions, Forge; matches Amazon's Q1-2025 conversion)",56.0900,41070000000,,Forge cap-table reproduction + Amazon 10-Q,https://forgeglobal.com/anthropic_ipo/,"| 11/22/2024 | Series E-3 | $710.31M | $56.09 | $41.07B | Amazon | Shares Outstanding 12,664,555 ; | 11/22/2024 | Series E-5 | $1.29B | $53.28 | $41.07B | Amazon | Shares Outstanding 24,243,584 ; | 11/22/2024 | Series E-4 | $774.48M | $50.48 | $41.07B | Amazon | Shares Outstanding 15,342,945","Three conversion prices ($56.09 / $53.28 / $50.48) for ~52.25M shares, ~$2.77B. Amazon 10-Q Q1 2025: 'Some of these notes converted to nonvoting preferred stock in Q1 2025' with a $3.3B reclassified gain. Not a priced round; $41.07B is Forge's label. Not used for implied FD."
LD09,2025-03-03,Series E-1 ($56.09) and E-2 ($20.93) — $3.5B at $61.5B post,56.0900,61500000000,1096452131,Delaware COI via Prime Unicorn Index; Forge; Anthropic release,https://www.primeunicornindex.com/anthropics-share-price-jumps-in-series-e-filing/,"Prime Unicorn Index 2025-02-11 (COI filed 2025-01-27): 'Anthropic priced its Series E shares at $56.09'. Forge: | 03/03/2025 | Series E-1 | $2.89B | $56.09 | $61.5B | ... Shares Outstanding 51,466,999 ; | 03/03/2025 | Series E-2 | $1.61B | $20.93 | $61.5B | ... Shares Outstanding 77,092,706","Implied FD = 61.5B / 56.09 = 1,096.5M. Big jump from ~567-613M at Series D: the E-2 tranche (77.1M sh at $20.93, $1.61B) plus the Amazon E-3/4/5 conversions (52.2M sh) plus employee grants account for part; the $20.93 tranche recurs at F-2, G-3, H-3 (a fixed note-conversion price; holder not named by Forge). Caplight secondary indication at the time: $70 (PUI, 2025-02-11)."
LD10,2025-05-05,Employee tender offer #1 at $61.5B,56.0900,61500000000,1096452131,SecondaryLink (press),https://secondarylink.com/news/6818e5d6947bb21406e3b94b/anthropic-initiates-first-tender-offer-at-61-5-billion-valuation,SecondaryLink 2025-05-05: '$61.5 billion valuation' ... '$56.09 per share' ... 'Eligible employees will reportedly be able to sell up to $2 million in equity',Same price as Series E-1.
