row_id,fiscal_year,measure,value_usd,person_or_note,source_url
N01,2024,total revenue,13639155,METR FY2024 (short year 2024-05-01 to 2024-12-31; EIN 99-1219864; Form 990 e-file object 202523209349300367); Part I line 12,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202523209349300367_public.xml
N02,2024,contributions,13603035,"METR FY2024 (short year 2024-05-01 to 2024-12-31; EIN 99-1219864; Form 990 e-file object 202523209349300367); Part VIII line 1h; of which $4,501,424 from related organizations (ARC spin-off transfer, line 1d) and $9,101,611 all other contributions (line 1f); no NoncashContributionsAmt reported",https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202523209349300367_public.xml
N03,2024,program service revenue,0,METR FY2024 (short year 2024-05-01 to 2024-12-31; EIN 99-1219864; Form 990 e-file object 202523209349300367); Part VIII line 2g,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202523209349300367_public.xml
N04,2024,total expenses,8234524,METR FY2024 (short year 2024-05-01 to 2024-12-31; EIN 99-1219864; Form 990 e-file object 202523209349300367); Part I line 18,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202523209349300367_public.xml
N05,2024,net assets,5404631,"METR FY2024 (short year 2024-05-01 to 2024-12-31; EIN 99-1219864; Form 990 e-file object 202523209349300367); end of year; total assets 6,544,206; liabilities 1,139,575",https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202523209349300367_public.xml
N06,2024,employees,38,METR FY2024 (short year 2024-05-01 to 2024-12-31; EIN 99-1219864; Form 990 e-file object 202523209349300367); Part I line 5,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202523209349300367_public.xml
N07,2024,volunteers,3,METR FY2024 (short year 2024-05-01 to 2024-12-31; EIN 99-1219864; Form 990 e-file object 202523209349300367); Part I line 6,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202523209349300367_public.xml
N08,2024,grants paid,0,METR FY2024 (short year 2024-05-01 to 2024-12-31; EIN 99-1219864; Form 990 e-file object 202523209349300367); Part IX line 1-3,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202523209349300367_public.xml
N09,2024,salaries and benefits (Part IX line 15),4505180,METR FY2024 (short year 2024-05-01 to 2024-12-31; EIN 99-1219864; Form 990 e-file object 202523209349300367); officer comp line 5 within this,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202523209349300367_public.xml
N10,2024,officer compensation,172737,Elizabeth (Beth) Barnes | CTO/CEO; director; officer | reportable comp from METR 172737; from related org (ARC) 75637; other 6416,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202523209349300367_public.xml
N11,2024,officer compensation,190395,Emma Abele | CEO/COO; director; officer | reportable comp from METR 190395; from related org (ARC) 52375; other 6849,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202523209349300367_public.xml
