row_id,name,metr_role,prior_affiliations,other_current_org,other_org_role,other_org_funders,other_org_lab_ties,source_urls
B01,Beth Barnes,CEO,"OpenAI alignment/safety researcher (safety targets, scalable oversight evals; left 2022); DeepMind (scaling-laws forecasting work with Chief Scientist); founded ARC Evals inside Alignment Research Center 2022, led it to spin-out as METR Dec 2023",,,,"ARC listed as related organization on METR FY2024 Form 990; 990 shows Barnes as CTO/CEO officer+director with $172,737 METR comp and $75,637 from related org; TIME: ""left OpenAI in 2022 to found METR""",https://metr.org/team/beth-barnes/;https://metr.org/about;https://projects.propublica.org/nonprofits/organizations/991219864/202523209349300367/full;https://time.com/collection/time100-ai/2026/beth-barnes/;https://en.wikipedia.org/wiki/METR
B02,Chris Painter,President,"US DoD Joint Artificial Intelligence Center, Technology and National Security Fellow; earlier ML applications for medicine and biotechnology",,,,"FY2024 990 lists him as Member of Policy Staff ($167,556 + $84,123 from related org ARC); leads METR engagement with governments and AI labs on Frontier Safety Policies",https://metr.org/team/chris-painter/;https://metr.org/about;https://projects.propublica.org/nonprofits/organizations/991219864/202523209349300367/full
B03,Hjalmar Wijk,Chief Scientist,"Future of Humanity Institute (Oxford) AI risk/strategy; Centre on Long-Term Risk; Oxford MSc, DPhil withdrawn to join METR",,,,"FY2024 990: Technical Staff ($160,170 + $67,212 from related org ARC)",https://metr.org/team/hjalmar-wijk/;https://metr.org/about;https://projects.propublica.org/nonprofits/organizations/991219864/202523209349300367/full
B04,Nate Rush,CTO,"Founder/CEO of Mito (Python tooling for US banks); researcher at Ethereum Foundation (consensus algorithms); named as 2024 hire (""AI company founder"") in annual report",,,,,https://metr.org/team/nate-rush/;https://metr.org/about;https://metr.org/2024-annual-report.pdf
B05,Adam Gleave,Advisor and board member,UC Berkeley PhD in AI advised by Stuart Russell (CHAI); previously worked at Google DeepMind with Jan Leike and Geoffrey Irving; co-founded FAR.AI July 2022 (incorporated Oct 2022),FAR.AI,Co-founder and CEO,"Open Philanthropy / Coefficient Giving: $59,347,676 across 18 grants Oct 2021-Sep 2025 (largest $28,675,000 Sep 2025 ""AI Safety Research and Field-building""; $12,000,000 Jun 2024 ""AI Safety Regranting"") per local Open Phil grants index","Gleave previously worked at Google DeepMind; also board member of Safe AI Forum and London Initiative for Safe AI; FY2024 METR 990 lists him as Director, 0.5 hr/week, $0 comp; 990 reports 3 voting board members of which 1 independent",https://metr.org/team/adam-gleave/;https://gleave.me/;https://www.far.ai/about;https://projects.propublica.org/nonprofits/organizations/991219864/202523209349300367/full;/mnt/f/projects/memes/anthropic-investors/research/04-openphil-grants-raw-2026-09-11.json
B06,Rajiv Dattani,Advisor and board member,"METR COO and Treasurer (FY2024 990: officer+director, $230,384 comp); Founding Advisor at Transluce; Partner at McKinsey (global insurance sector)",Artificial Intelligence Underwriting Company (AIUC),Co-founder,"$15M seed round (Jul 2025) led by Nat Friedman at NFDG, with Emergence, Terrain, Ben Mann (Anthropic co-founder), and former CISOs of Google Cloud and MongoDB; no Open Phil grants in index","AIUC team page: team ""spent time at Anthropic, McKinsey insurance, METR, and Center for AI Safety""; seed investor Ben Mann is an Anthropic co-founder; co-founder/CEO Rune Kvist",https://metr.org/team/rajiv-dattani/;https://metr.org/about;https://projects.propublica.org/nonprofits/organizations/991219864/202523209349300367/full;https://aiuc.com/team;https://www.prnewswire.com/news-releases/the-artificial-intelligence-underwriting-company-launches-with-15m-to-help-enterprises-deploy-ai-with-confidence-302512447.html
B07,Alec Radford,Advisor,OpenAI researcher 2016-Dec 2024 (lead author of original GPT paper; Whisper; DALL-E); earlier Indico; left OpenAI Dec 2024 for independent research,Independent research; Thinking Machines Lab (adviser since ~Mar 2025),Independent researcher; adviser to Thinking Machines Lab,"Thinking Machines Lab: ~$2B round at $12B valuation led by Andreessen Horowitz (Jul 2025) with Nvidia, AMD, Cisco, Jane Street; not a grant recipient in Open Phil index","Ex-OpenAI (8 years); advises Thinking Machines Lab, founded by ex-OpenAI CTO Mira Murati, whose round was led by a16z (where fellow METR advisor Marco Mascorro is a partner); metr.org bio page is empty",https://metr.org/team/alec-radford/;https://metr.org/about;https://en.wikipedia.org/wiki/Alec_Radford;https://en.wikipedia.org/wiki/Thinking_Machines_Lab
B08,Marco Mascorro,Advisor,"Co-founder of Fellow AI (retail/warehouse robotics); AI and robotics research in Japan (Fukushima, autonomous wheelchairs); BMW Munich",Andreessen Horowitz (a16z),"Partner, leads AI and software-infrastructure investments (Cursor, Black Forest Labs, Waveforms AI)",n/a (venture capital firm; not a grantee),"a16z led Thinking Machines Lab's ~$2B initial round (Jul 2025), the lab fellow METR advisor Alec Radford advises",https://metr.org/team/marco-mascorro/;https://metr.org/about;https://en.wikipedia.org/wiki/Thinking_Machines_Lab
B09,Yoshua Bengio,Advisor,Full Professor Universite de Montreal; founder and scientific director of Mila (until 2025); co-founder Element AI (sold to ServiceNow 2020); chairs International AI Safety Report; agreed to advise METR in 2024 per annual report,LawZero,Founder; co-president and scientific director (launched 3 Jun 2025),"~$30M philanthropic contributions (TechCrunch/FT) from Jaan Tallinn, Eric Schmidt / Schmidt Sciences, Open Philanthropy, Future of Life Institute, Silicon Valley Community Foundation; Open Phil index has no LawZero-named grant (LawZero incubated at Mila; Open Phil grants to Mila total $4,747,800 across 6 grants May 2023-Sep 2025)","Bengio chairs the International AI Safety Report; LawZero positions itself as non-agentic ""Scientist AI"" alternative to frontier labs",https://metr.org/team/yoshua-bengio/;https://metr.org/about;https://metr.org/2024-annual-report.pdf;https://lawzero.org/en/news/yoshua-bengio-launches-lawzero-new-nonprofit-advancing-safe-design-ai;https://techcrunch.com/2025/06/03/yoshua-bengio-launches-lawzero-a-nonprofit-ai-safety-lab/;https://en.wikipedia.org/wiki/LawZero;/mnt/f/projects/memes/anthropic-investors/research/04-openphil-grants-raw-2026-09-11.json
B10,Emma Abele,"Board member (former; ""Former Advisor and Board Member"")","Joined Mar 2023 as chief of staff to Beth Barnes; helped spin METR out of ARC; Executive Director from Apr 2024; FY2024 990: CEO/COO officer+director ($190,395 + $52,375 from related org); went on leave Feb 2025 and advised thereafter",,,,,https://metr.org/team/emma-abele/;https://metr.org/blog/2024-04-26-emma-abele-executive-director/;https://projects.propublica.org/nonprofits/organizations/991219864/202523209349300367/full
