row_id,id,utc,views,likes,reposts,quoted_id,text_200,source
MP001,1755691718618325206,2024-02-08T20:34:59Z,1271,27,0,,METR has been invited to join NIST's AI Safety Institute Consortium. We're looking forward to working with the Consortium on advancing the science of evaluation.,"Grok X-API pull slice 1, fxtwitter views at 2026-09-14T00:15Z; not a full census (X Latest caps 10/query)"
MP002,1765856687226081324,2024-03-07T21:46:56Z,5892,83,12,,"METR has published a standard for defining tasks to evaluate AI agents for dangerous capabilities. We’re using it for 1,000+ tasks spanning AI R&D, cybersecurity, autonomy, and more.","Grok X-API pull slice 1, fxtwitter views at 2026-09-14T00:15Z; not a full census (X Latest caps 10/query)"
MP003,1765856688639529330,2024-03-07T21:46:57Z,299,2,0,,"""Tasks"" are the objectives you assess your agent's ability to perform during a dangerous capability evaluation, ranging in complexity from goals as simple as creating a bitcoin wallet, to multi-step p","Grok X-API pull slice 1, fxtwitter views at 2026-09-14T00:15Z; not a full census (X Latest caps 10/query)"
MP004,1765856689625161753,2024-03-07T21:46:57Z,630,3,0,,"Why use this standard? - Portability: Easily share tasks with others, and leverage other researchers' tasks - Reproducibility: Thorough definitions avoid ambiguity in task specifications - Efficiency:","Grok X-API pull slice 1, fxtwitter views at 2026-09-14T00:15Z; not a full census (X Latest caps 10/query)"
MP005,1765856690661126310,2024-03-07T21:46:57Z,548,3,0,,Repo: https://github.com/METR/task-standard/ Announcement: https://metr.org/blog/2024-02-29-metr-task-standard/ Feel free to reach out to task-standard@metr.org with comments. We’re open to feature re,"Grok X-API pull slice 1, fxtwitter views at 2026-09-14T00:15Z; not a full census (X Latest caps 10/query)"
MP006,1766363595263336946,2024-03-09T07:21:13Z,37,1,0,,"@wmgcbr Yes, exactly! In our internal platform, we can test any agent out on any task. The task standard itself doesn’t take a stance on how precisely agents should be integrated with tasks, because t","Grok X-API pull slice 1, fxtwitter views at 2026-09-14T00:15Z; not a full census (X Latest caps 10/query)"
MP007,1768684026792190410,2024-03-15T17:01:47Z,22330,158,29,,"Today we’re releasing new resources for evaluating AI systems for risks from autonomous capabilities: A task suite, open-source tooling, and an example evaluation protocol built on these components. h","Grok X-API pull slice 1, fxtwitter views at 2026-09-14T00:15Z; not a full census (X Latest caps 10/query)"
MP008,1768684028377657693,2024-03-15T17:01:47Z,975,13,0,,"These resources include a series of evaluation tasks (e.g. set up a spoofed version of an LLM API to steal API keys) that we believe can serve as proxies for dangerous capabilities, as well as code th","Grok X-API pull slice 1, fxtwitter views at 2026-09-14T00:15Z; not a full census (X Latest caps 10/query)"
MP009,1768684030231519651,2024-03-15T17:01:48Z,10167,33,8,,"We’re also sharing research we’ve done on how fine-tuning, software scaffold iteration, and other post-training enhancements can impact capability measurements. https://metr.github.io/autonomy-evals-g","Grok X-API pull slice 1, fxtwitter views at 2026-09-14T00:15Z; not a full census (X Latest caps 10/query)"
MP010,1768684031905010162,2024-03-15T17:01:48Z,558,9,0,,These parts can be composed into a protocol for testing capabilities including autonomous AI R&D and self-replication. We provide an example protocol to show how researchers could run this kind of eva,"Grok X-API pull slice 1, fxtwitter views at 2026-09-14T00:15Z; not a full census (X Latest caps 10/query)"
MP011,1768684033050050894,2024-03-15T17:01:48Z,524,9,0,,"We will iteratively improve this protocol over time. Because there are few concrete, executable proposals for evaluating risks from autonomous capabilities, and frontier-model capabilities could incre","Grok X-API pull slice 1, fxtwitter views at 2026-09-14T00:15Z; not a full census (X Latest caps 10/query)"
MP012,1768684034148970742,2024-03-15T17:01:48Z,1132,13,0,,"If the developers of AI systems continue to advance frontier model capabilities rapidly, having ""early warning systems"" for dangerous capabilities is important for the public, governments, and compani","Grok X-API pull slice 1, fxtwitter views at 2026-09-14T00:15Z; not a full census (X Latest caps 10/query)"
MP013,1768684035621155001,2024-03-15T17:01:49Z,881,10,0,,Resources Page: https://metr.github.io/autonomy-evals-guide/index.html Announcement: https://metr.org/blog/2024-03-13-autonomy-evaluation-resources/,"Grok X-API pull slice 1, fxtwitter views at 2026-09-14T00:15Z; not a full census (X Latest caps 10/query)"
MP014,1791598049749537178,2024-05-17T22:33:55Z,4560,27,2,1791502549960261668,We were very excited to see the publication of the Frontier Safety Framework from @GoogleDeepMind! More companies sharing their concrete proposals for preparing for transformative capabilities from AI,"Grok X-API pull slice 1, fxtwitter views at 2026-09-14T00:15Z; not a full census (X Latest caps 10/query)"
MP015,1791610178741457271,2024-05-17T23:22:07Z,3499,27,4,,"Over the last few months, we’ve increased our focus on developing evaluations for automated AI research and development, because we think this capability could be extraordinarily destabilizing if real","Grok X-API pull slice 1, fxtwitter views at 2026-09-14T00:15Z; not a full census (X Latest caps 10/query)"
MP016,1820905723360149617,2024-08-06T19:32:09Z,127717,424,94,,How well can LLM agents complete diverse tasks compared to skilled humans? Our preliminary results indicate that our baseline agents based on several public models (Claude 3.5 Sonnet and GPT-4o) compl,"Grok X-API pull slice 1, fxtwitter views at 2026-09-14T00:15Z; not a full census (X Latest caps 10/query)"
MP017,1820905733669712088,2024-08-06T19:32:12Z,5515,40,0,,"Our general autonomy task suite is very much still a work in progress. Over the coming months, we plan to improve upon this work through a combination of: better human baselines, improved and more div","Grok X-API pull slice 1, fxtwitter views at 2026-09-14T00:15Z; not a full census (X Latest caps 10/query)"
MP018,1820905734756036996,2024-08-06T19:32:12Z,6968,43,1,,"We think that work like this will be instrumental in predicting the real-world impact of frontier models, understanding how risk scales with effective compute, and creating sensible and proportionate ","Grok X-API pull slice 1, fxtwitter views at 2026-09-14T00:15Z; not a full census (X Latest caps 10/query)"
MP019,1820905736010088547,2024-08-06T19:32:12Z,4847,41,4,,"If our work sounds exciting, we’d love to hear from you! Apply to one of our open roles at https://hiring.metr.org/ For more details on this work, read our full post at https://metr.org/blog/2024-08-0","Grok X-API pull slice 1, fxtwitter views at 2026-09-14T00:15Z; not a full census (X Latest caps 10/query)"
MP020,1824513064668184901,2024-08-16T18:26:27Z,2416,45,2,1821595015279472736,"How likely is it that capability evaluations are underestimating model capabilities? In a post-deployment exploration with GPT-4o on general autonomous tasks, expanding a bit on work shared last week,","Grok X-API pull slice 1, fxtwitter views at 2026-09-14T00:15Z; not a full census (X Latest caps 10/query)"
MP021,1824513066350063648,2024-08-16T18:26:27Z,539,12,0,,"In roughly half of failed attempts the key mistake seemed like a real capability limitation, while in others it seemed plausibly fixable with finetuning or scaffolding iteration. An example of the lat","Grok X-API pull slice 1, fxtwitter views at 2026-09-14T00:15Z; not a full census (X Latest caps 10/query)"
MP022,1824513068484981025,2024-08-16T18:26:27Z,478,12,0,,"Agents frequently give up on tasks without thoroughly exploring possible solutions. Although this can happen in reasonable-seeming situations when an agent runs out of ideas, it often happens abruptly","Grok X-API pull slice 1, fxtwitter views at 2026-09-14T00:15Z; not a full census (X Latest caps 10/query)"
MP023,1825953004803207517,2024-08-20T17:48:15Z,10452,136,21,,"We’re open sourcing Vivaria, our platform for running LLM agent evaluations and conducting research in eliciting AI capabilities. 🪴","Grok X-API pull slice 1, fxtwitter views at 2026-09-14T00:15Z; not a full census (X Latest caps 10/query)"
MP024,1825953007185571923,2024-08-20T17:48:16Z,468,12,0,,"Vivaria includes a webapp and CLI to: - Start containerized task environments and run AI agents - View and annotate past runs with tags and comments - Branch, edit, and redo previous runs - Optionally","Grok X-API pull slice 1, fxtwitter views at 2026-09-14T00:15Z; not a full census (X Latest caps 10/query)"
MP025,1825953008502579625,2024-08-20T17:48:16Z,776,12,0,,"We’ve completed 100K+ runs using Vivaria for our autonomy and AI R&D evals. By open sourcing Vivaria, we want to help others to replicate our research and study autonomous capabilities. This is just t","Grok X-API pull slice 1, fxtwitter views at 2026-09-14T00:15Z; not a full census (X Latest caps 10/query)"
MP026,1825953009861538027,2024-08-20T17:48:16Z,729,13,1,,GitHub: https://github.com/METR/vivaria Documentation: https://vivaria.metr.org/,"Grok X-API pull slice 1, fxtwitter views at 2026-09-14T00:15Z; not a full census (X Latest caps 10/query)"
MP027,1831357364844605499,2024-09-04T15:43:15Z,10769,76,17,,"We’ve published a new document, Common Elements of Frontier AI Safety Policies, that describes the emerging practice for AI developer policies that address the Seoul Frontier AI Safety Commitments.","Grok X-API pull slice 1, fxtwitter views at 2026-09-14T00:15Z; not a full census (X Latest caps 10/query)"
