row_id,date,item,source,quote_or_fact,url,verification,grok_row,notes
DR01,2024-04-23,rule wording,Wayback metr.org/about (first 200 in window),First about 200 is a placeholder About Us page with no Funding section and no lab-money or employee-donation rule.,https://web.archive.org/web/20240423101403/https://metr.org/about,CONFIRMED by agent S1 2026-09-14 (research/agents-2026-09-14/S1-donor-rule/DR01-*.html),FR01,
DR02,2024-04-23,rule wording,Wayback metr.org/donate (first 200 in window),"First donate 200 this run; extracted text had no 'cannot accept', 'frontier AI company employees', 'not accepted funding', or 'compensation from AI companies' phrase.",https://web.archive.org/web/20240423121005/https://metr.org/donate,CONFIRMED by agent S1 2026-09-14 (research/agents-2026-09-14/S1-donor-rule/DR02-*.html),FR02,
DR03,2024-12,rule wording,METR 2024 Annual Report PDF,No employee-donation or 'cannot accept' rule in the PDF. Funding lines: 'METR achieved this and more on a total 2024 budget of $10 million.' 'we seek to raise and deploy $15 million over the year.',https://metr.org/2024-annual-report.pdf,CONFIRMED by agent S1 2026-09-14 (research/agents-2026-09-14/S1-donor-rule/DR03-*.html),FR03,
DR04,2024-12-31,rule wording,Wayback metr.org/about,Partnerships: companies 'provided access and compute credits to support evaluation research.' No 'How is METR funded?' section; no 'not accepted funding from AI companies'; no employee rule.,https://web.archive.org/web/20241231011203/https://metr.org/about,CONFIRMED by agent S1 2026-09-14 (research/agents-2026-09-14/S1-donor-rule/DR04-*.html),FR04,
DR05,2025-04-01,rule wording,Wayback metr.org/donate (monthly 200),Donate page is every.org instructions only. No lab-money footnote and no 'cannot accept' / employee / compensation-from-AI-companies language.,https://web.archive.org/web/20250401090802/https://metr.org/donate,verified 2026-09-14 (fr-verify/donate-20250401.html: no compensation or employee wording),FR05,
DR06,2025-04-17,other supporter,TechCrunch: Geoff Ralston launches SAIF,"Geoff Ralston (former Y Combinator president) launched Safe Artificial Intelligence Fund, $100K SAFEs into AI-safety startups. No 2025-26 OpenAI/Anthropic/GDM/xAI employment or board seat recovered.",https://techcrunch.com/2025/04/17/former-y-combinator-president-geoff-ralston-launches-new-ai-safety-fund/,CONFIRMED by agent S1 2026-09-14 (research/agents-2026-09-14/S1-donor-rule/DR06-*.html),FR06,
DR07,2025-04-18,rule wording,Wayback metr.org/donate (first recovered compensation footnote),"Footnote: 'To date, April 2025, we have not accepted compensation from AI companies for the evaluations we have conducted.' Body: independently funded. No employee-gift ban. Earliest capture with the footnote is 2025-04-18 (agent S1 CDX sweep of 12 unique digests Apr 1–Jul 15 2025); 2025-04-01 lacks it.",https://web.archive.org/web/20250418224241/https://metr.org/donate,verified 2026-09-14 (fr-verify/donate-20250711.html; agent S1 re-pointed first capture to 20250418224241) | audit S1: was 2025-07-11,FR07,
DR08,2025-08-01,rule wording,Wayback metr.org/about (first recovered company-funding refusal),"How is METR funded? 'METR has not accepted funding from AI companies, though we make use of free compute credits, as noted above.' 2025-07-01 monthly about had no Funding section.",https://web.archive.org/web/20250801172053/https://metr.org/about,verified 2026-09-14 (fr-verify/about-20250801.html),FR08,
DR09,2025-09-23,METR statement,Elizabeth Barnes @BethMayBarnes fundraising thread,"Thread: independence shapes funding options; 'To date, we have not accepted funding from frontier AI labs.' Donate link metr.org/donate; giving@metr.org. No employee-gift ban in the recovered posts.",https://x.com/BethMayBarnes/status/1970609775684825471,CONFIRMED by agent S1 2026-09-14 (research/agents-2026-09-14/S1-donor-rule/DR09-*.html),FR09,
DR10,2025-09-27,METR statement,EA Forum ElizabethBarnes quick take (footnote),"'To date, we have not accepted payment from frontier AI labs for running evaluations.' Footnote: 'We are open to taking donations from individual lab employees (subject to some constraints, e.g. excluding senior decision-makers, constituting <50% of our funding).'",https://forum.effectivealtruism.org/posts/uyYoBRSH5mBC4qYG2/elizabethbarnes-s-quick-takes,verified 2026-09-14 (fr-verify/eaforum-barnes.html),FR10,
DR11,2025-10-02,rule wording,Wayback metr.org/donate,Body: 'Support from a wide range of independent donors is also part of how we ensure that our research is as accurate as possible.' Footnote dated September 2025: no compensation from AI companies for evaluations; companies provided access and compute credits.,https://web.archive.org/web/20251002100351/https://metr.org/donate,CONFIRMED by agent S1 2026-09-14 (research/agents-2026-09-14/S1-donor-rule/DR11-*.html),FR11,
DR12,2025-12-16,rule wording,Wayback metr.org/about (Farhi first named),"'METR has not accepted funding from AI companies, though we make use of significant free compute credits, as noted above.' Names David Farhi among individual supporters. No 'cannot accept donations... employees' sentence.",https://web.archive.org/web/20251216013159/https://metr.org/about,verified 2026-09-14 (fr-verify/about-20251216.html),FR12,
DR13,2026-04-12,Farhi affiliation,Wayback Computer History Museum profile,"Title: Technical Lead, OpenAI. 'joined the OpenAI Dota team as a researcher in 2018... led the team in 2019, and since then has worked on Minecraft and large language models at OpenAI.' Same title on 2025-12-10 capture.",https://web.archive.org/web/20260412023104/https://computerhistory.org/profile/david-farhi/,"audit-2: CHM archive title confirmed; third-party profile, not an OpenAI employment statement. See DR36 for reported departure.",FR13,"audit-2 2026-09-14: was {""verification"": ""CONFIRMED by agent S1 2026-09-14 (research/agents-2026-09-14/S1-donor-rule/DR13-*.html)""}. See research/AUDIT-2.md and audit2-evidence/."
DR14,2026-04-30,Farhi affiliation,arXiv 2412.16720 v2 OpenAI o1 System Card,"OpenAI o1 System Card v2 is dated 30 Apr 2026 UTC, revising a December 2024 report. David Farhi appears under Supporting Leadership. Historical contributor credit does not establish employment on the revision date.",https://arxiv.org/html/2412.16720,DIFFERS by agent S1 2026-09-14 (research/agents-2026-09-14/S1-donor-rule/DR14-*.html); Affiliation/contributor claim confirmed (Farhi under Supporting Leadership; also 'D. Farhi' in GPT-4 citation). Date differs: HTML header says 'v2 [cs.AI] 30 Ap | audit S1: date was 2026-04-29,FR14,"audit-2 2026-09-14: was {""quote_or_fact"": ""v2 submitted 30 Apr 2026 UTC. HTML contributors list still names David Farhi under Supporting Leadership (OpenAI org paper). Not a new 2026-authored paper.""}. See research/AUDIT-2.md and audit2-evidence/."
DR15,2026-05-19,METR statement,METR Frontier Risk Report (AEF-1 operating conditions),"'METR does have principles around maintaining institutional funding independence, including not accepting cash payments or donations from AI companies and AI lab executives.'",https://metr.org/blog/2026-05-19-frontier-risk-report/,verified 2026-09-14 (fr-verify/risk-report-20260519.html),FR15,
DR16,2026-06-17,other supporter,"NYT Hard Fork Live, Dylan Field",Dylan Field is Figma CEO (not a frontier-lab employee). Interview covers Anthropic product lead Mike Krieger resigning from Figma's board. No 2025-26 lab employment or lab board seat for Field recovered.,https://www.nytimes.com/2026/06/17/podcasts/hard-fork-live-dylan-field.html,BLOCKED by agent S1 2026-09-14 (research/agents-2026-09-14/S1-donor-rule/DR16-*.html); Direct fetch 403 (774-byte block page). Wayback: CDX shows only a 20260621045629 'warc/revisit' and a 20260623175004 capture whose stored status is 403; fetchin,FR16,
DR17,2026-07-03,rule wording,Wayback metr.org/donate,"Redesigned page: 'We keep our evaluations independent and trustworthy by relying on support from a wide range of independent donors.' No employee-phrase parenthesis and no compensation footnote. Agent S1 sweep: the footnote-less redesigned donate page first appears 2026-02-11 (last footnoted capture 2026-02-05), so 2026-07-03 is not the first.",https://web.archive.org/web/20260703210324/https://metr.org/donate,CONFIRMED by agent S1 2026-09-14 (research/agents-2026-09-14/S1-donor-rule/DR17-*.html) | audit S1: first redesigned capture is 20260211194137,FR17,
DR18,2026-07-14,rule wording,Wayback metr.org/about (last unique-digest before employee phrase),"Funding names Farhi et al. 'METR has not accepted funding from AI companies, though we make use of significant free compute credits.' No employee-phrase parenthesis.",https://web.archive.org/web/20260714200544/https://metr.org/about,"verified 2026-09-14 (fr-verify/about-20260714.html: Farhi named, no employee phrase)",FR18,
DR19,2026-07-19,rule wording,Wayback metr.org/about (this-run first employee phrase),'Please consider joining them here. (METR cannot accept donations made by or at the direction of frontier AI company employees.)' Prior unique-digest 20260714200544 lacked the parenthesis. Still 'free compute credits'.,https://web.archive.org/web/20260719171236/https://metr.org/about,verified 2026-09-14 (fr-verify/about-20260719.html),FR19,
