row_id,utc_or_date,outlet,author,title,url,names_metr,describes_metr_funding,metr_response,evaluator_access_named,tailwind_or_halcyon,security_critique,fetched
PR01,2026-09-13 18:14 UTC,Tech Insider (tech-insider.org),Nadia Dubois,"Sacks Tells Anthropic, OpenAI to Slow Down Solo",https://tech-insider.org/sacks-rejects-ai-slowdown-deal-2026/,yes,"no (only Sacks's framing: 'Sacks also took direct aim at METR, the third-party evaluator Anthropic uses to test frontier models for dangerous capabilities, questioning its independence and suggesting the organization is too intertwined with Anthropic's own investors and staff to serve as a neutral safety referee.')",no,none named (METR described as the evaluator Anthropic 'uses'),,,yes (docs/PR-techinsider-sacks.html)
PR02,2026-09-14 02:23 UTC,The Eastern Herald,staff (no byline),Three AI Giants Align on Slowing Down: Chip Stocks Enter Bear Market Territory,https://easternherald.com/2026/09/13/ai-pacing-consensus-chip-stocks-bear-market/,yes,"no (repeats Sacks: 'Sacks questioned whether METR is genuinely independent given its institutional ties to Anthropic's investors and staff, and described the broader framework as requiring antitrust law to be suspended ""so you can form a cartel.""')",no,"METR (asserts as fact: 'Anthropic committed immediately to granting METR (the AI safety nonprofit) permanent employee-level access' — overstates the essay, which names METR only as an example)",,,yes via r.jina.ai (raw HTML 403; text in docs/EXTRACTS.md)
PR03,2026-09-13 23:14 UTC (Sep 14 08:14 JST),ITmedia NEWS (Japan),ITmedia NEWS staff,トランプ政権のサックス氏、AI「ペース調整」論に苦言 「規制がなければできないふりをやめろ」,https://www.itmedia.co.jp/news/article/2609/14/2000001433/,yes,"no (paraphrases Sacks: 'Anthropicの投資家やスタッフと関係するメンバーもいるMETRを独立した存在であるかのように扱うこと' = 'treating METR, which has members connected to Anthropic's investors and staff, as if it were an independent entity')",no,none named,,,yes (docs/PR-itmedia-0914-sacks.html)
PR04,2026-09-14 02:49 UTC (11:49 KST),"Digital Today (Korea, English edition)",Seung-a Yoo,"David Sacks slams Anthropic, OpenAI slowdown argument, says two companies can just not build it",https://www.digitaltoday.co.kr/en/view/103108/david-sacks-slams-anthropic-openai-slowdown-argument-two-companies-can-just-not-build-it,yes,"no (cites ITmedia: 'treating METR, which he said is intertwined with Anthropic investors and employees, as if it were an independent organisation')",no,none named,,,yes (docs/PR-digitaltoday-sacks.html)
PR05,2026-09-13 (time not shown; listed on Techmeme by 23:00 UTC),ShellyPalmer.com,Shelly Palmer,Weapons-Grade AI and the Licensed Frontier,https://shellypalmer.com/2026/09/weapons-grade-ai-and-the-licensed-frontier/,yes,no (quotes Sacks verbatim: 'Stop pretending METR is independent when it is intertwined with Anthropic's investors and staff.'),no,none named,,,yes (docs/PR-shellypalmer.html)
PR06,2026-09-13 (time not shown),"ZeroHedge, syndicated at Bugle Call",'Tyler Durden','Regulatory Capture Or Psy-Op': Top White House AI Advisor Slams 'Pace The Frontier' Push,https://buglecall.org/?p=667791,yes,no (quotes Sacks's sentence; adds: 'Two of them walked through the door of the AI evaluator (METR) Amodei wants embedded in the labs.' re Benton/Engels),no,METR (as the evaluator 'Amodei wants embedded'),,,yes (docs/PR-buglecall-zerohedge.html)
PR07,2026-09-14 (Substack date),"AI: Reset to Zero (Michael Parekh, Substack) ARD #162",Michael Parekh,"'All Together Now' in AI. Anthropic, OpenAI & Elon's 'Blip 3.0'",https://michaelparekh.substack.com/p/all-together-now-in-ai-anthropic,yes,no (repeats Sacks's 'independent when it is intertwined with Anthropic's investors and staff' framing; no funder named),no,"METR ('Outside safety teams, he names METR as an example, with desks, badges and company laptops inside the frontier labs.')",,,yes (docs/PR-parekh-ard162.html)
PR08,2026-09-13 (time not shown; Neowin listed on Techmeme Sep 13),Neowin,not retrieved,David Sacks blasts OpenAI and Anthropic over slowdown,https://www.neowin.net/news/david-sacks-blasts-openai-and-anthropic-over-slowdown/,yes (per search snippet),unknown (search snippet only repeats Sacks: 'Stop pretending METR is independent when it is intertwined with Anthropic's investors and staff'),no,unknown,,,"blocked (direct 403, r.jina.ai CAPTCHA, curl 403 — 3 attempts)"
PR09,2026-09-13 (Forbes dateline),Forbes,Josipa Majic,VCs Invoke Thiel's Antichrist As AI Doom Warnings Hit Anthropic IPO,https://www.forbes.com/sites/josipamajic/2026/09/13/vcs-invoke-thiels-antichrist-as-ai-doom-warnings-hit-anthropic-ipo/,unknown,unknown (surfaced by a search on 'METR Sacks'; body never retrieved),no,unknown,,,"blocked (r.jina.ai CAPTCHA, web.archive.org unreachable, curl 403 — 3 attempts)"
PR10,2026-09-13 16:52 UTC (submission); METR comments through 2026-09-14 06:05 UTC,"Hacker News thread 49685991 (295 points, 215 comments)",submitter kolanos,David Sacks: OpenAI and Anthropic Don't Need Regulations to Pace Frontier Models,https://news.ycombinator.com/item?id=49685991,yes (8 comments),"no funder named. filearts 2026-09-14 02:09 UTC: 'The auditor signed off on the model, so who is to blame? Who put their skin in the game? METR did. The public did. But it seems like the lab has crafted a system in which they remain blameless.'",no,none,,,"yes (docs/PR-hn-49685991-story.json, PR-hn-49685991-metr-comments.json, PR-hn-49685991.html)"
PR11,2026-09-13 13:52 UTC (comment; thread opened Sep 12),Hacker News thread 49672510 (Amodei essay; 287 comments; 22 METR-matching comments),anon373839,comment on 'We must pace the frontier',https://news.ycombinator.com/item?id=49684023,yes,"yes (claim, no source): 'It's absolutely laughable that he refers to METR as if they were neutral observers. They are ex-Anthropic employees and others with direct financial interests in Anthropic.'",no,none,,,yes (docs/PR-hn-49672510-metr-comments.json)
PR12,2026-09-13 11:00 UTC (one hour before window; reply by Turn_Trout 2026-09-13 19:47 UTC in window),Hacker News thread 49678683 (Xe Iaso satire; 28 METR-matching comments),nullbio (reply: Turn_Trout),comment thread on 'Everyone should slow down AI development except for me',https://news.ycombinator.com/item?id=49682532,yes,"yes (claims, unsourced): 'METR's salaries are listing around 500k/yr. Gee, I wonder where this non-profit with ~35 people is getting all of its money?' ... 'Dario's sister, president of Anthropic, is married to the co-founder of Open Philanthropy.' ... 'Ajeya Cotra worked at Open Philanthropy/Coefficient Giving for roughly nine years ... subsequently left Coefficient and joined METR' ... 'Alignment Research Center donated ~$4.5mil to METR.' Also (49679478, 02:47 UTC): 'METR, who are funded by all the same NGOs who are funded by Anthropic and its investors. METR is full of ex-Anthropic employees with massive equity stakes.' Turn_Trout (19:47 UTC): 'This conspiracy theory is truly crazy.' and (06:37 UTC) 'Do you have a source on METR employees retaining massive equity stakes?'",no,none,,,yes (docs/PR-hn-49678683-metr-comments.json)
PR13,2026-09-14 04:05 UTC,X / @sama (Sam Altman),Sam Altman,post: 'The world deserves confidence that American companies developing increasingly capable AI will act responsibly...',https://x.com/sama/status/2099348812305473766,no,no,no,none named ('we are excited by ideas like independent auditors'; commits to 'explicit safety cases in advance of frontier reinforcement learning runs'; 'we do not believe we need to wait for an anti-trust exemption or legislation'),,,yes (docs/PR-fx-sama-2099348812305473766.json)
PR14,2026-09-14 (Bloomberg; FMT copy 05:33 UTC),"Bloomberg, syndicated at Free Malaysia Today",Bloomberg staff,OpenAI's Altman Voices Support for 'Pacing' AI Development,https://www.bloomberg.com/news/articles/2026-09-14/openai-s-altman-voices-support-for-pacing-ai-development,no,no,no,none named,,,yes via syndication (docs/PR-fmt-bloomberg-altman.html); bloomberg.com CAPTCHA
PR15,2026-09-14 02:02 UTC (upd 04:45 UTC),Bloomberg,"Sarah Frier, Michael Shepard",AI Bosses Risk Clash With Wall Street and Trump Over Safety Call,https://www.bloomberg.com/news/articles/2026-09-14/ai-bosses-risk-clash-with-wall-street-and-trump-over-safety-call,unknown (lede only),unknown,no,unknown,,,snippet-only (r.jina.ai returned headline + lede; curl 403)
PR16,2026-09-13 19:36 UTC,X / @satyanadella,Satya Nadella,post welcoming 'deliberate pacing' and 'embedded evaluators'; announces MAI Code of Conduct consultation,https://x.com/satyanadella/status/2099220712024408084,no,no,no,"none named; says governance 'cannot be controlled by a handful of entities, but must have broad representation across the ecosystem, countries, and fields, including academia'",,,yes (docs/PR-fx-nadella-2099220712024408084.json)
PR17,2026-09-13 23:01 UTC,Unite.AI,Mira Kellan,Nadella Announces Public Consultation on Microsoft's MAI Model Rules,https://www.unite.ai/nadella-announces-public-consultation-on-microsofts-mai-model-rules/,yes,no,no,METR ('naming METR as an example evaluator'),,,yes (docs/PR-unite-nadella.html)
PR18,2026-09-13 23:46 UTC (Sep 14 05:16 IST),"ANI, syndicated (Tribune, Deccan Chronicle, LatestLY, Livemint)",ANI,Microsoft CEO Satya Nadella backs need for evaluators for AI systems amid 'slowdown' debate,https://www.aninews.in/news/business/microsoft-ceo-satya-nadella-backs-need-for-evaluators-for-ai-systems-amid-slowdown-debate20260914051616/,no,no,no,none named,,,yes (docs/PR-ani-nadella.html)
PR19,2026-09-13 (Sep 13 dateline; after Nadella 19:36 UTC),MarkTechPost,Asif Razzaq,"Anthropic's 3-Step 'Pace the Frontier' Plan Wins OpenAI, xAI and Microsoft Support",https://www.marktechpost.com/2026/09/13/anthropics-3-step-pace-the-frontier-plan-wins-openai-xai-and-microsoft-support-is-it-too-late-to-slow-ai-down/,yes,no,no,METR as example ('Each frontier lab gives a team of third-party evaluators...ongoing employee-like access'; 'Two METR staff and a Redwood Research contractor spent 6 days on premises at OpenAI'),,,yes (docs/PR-marktechpost.html)
PR20,2026-09-14 ~02:00 UTC ('5h ago' at 07:00 UTC),LiveNewsChat.eu,Mark Masterson,"Anthropic CEO Dario Amodei Calls for an AI Slowdown, a Plan Whose Only Firm Commitment Is Letting Outside Evaluators In",https://livenewschat.eu/amodei-ai-slowdown-evaluators/,yes,"partial: 'METR, an independent evaluation nonprofit that says it took no payment from OpenAI' (no funder named)",no,"METR named as 'the example he names'; article stresses 'no named evaluator under contract, and no published scope of access' and 'When the first embedded evaluator walks into Anthropic's offices, who are they'",,,yes (docs/PR-livenewschat.html)
PR21,2026-09-13 (time not shown),Winzheng,'News Factory Verified',Amodei Calls for Pacing the AI Frontier and Pledges Permanent Third-Party On-Site Access,https://www.winzheng.com/en/article/amodei-pace-the-frontier-ai-slowdown-third-party-evaluation,yes,no,no,METR (asserts 'Amodei selected METR ... as one of the first on-site evaluators' and 'METR is the independent body investigating the incident' — overstates the essay),,,yes (docs/PR-winzheng.html)
PR22,2026-09-13 16:00 UTC,Karmactive,Karmactive Team,Pace the Frontier: Anthropic's Embedded Evaluators Launch AI Safety Framework,https://www.karmactive.com/anthropic-embedded-evaluators-ai-safety/,yes,no,no,"METR ('teams operating much like those from METR, an independent AI safety organization')",,,yes via r.jina.ai (direct ECONNREFUSED/curl 000)
PR23,2026-09-14,Karmactive,Rahul Somvanshi,Claude Security Audit: Anthropic Signs METR For Outside Review After Testing Breaches Boundary Defenses,https://www.karmactive.com/anthropic-claude-security-audit-metr-boundary-testing/,yes,no,no,METR ('intends to work with an independent team called METR for an independent investigation' — repackages Anthropic's Aug 31 post; headline 'Signs METR' is the outlet's wording),,,yes via r.jina.ai (direct ECONNREFUSED)
PR24,2026-09-13 ~19:00 UTC ('12 hours ago' at 07:00 UTC),Aivy (aivy.com.au),Monika Tantau,OpenAI and Anthropic agree to slow each other down,https://aivy.com.au/news/openai-anthropic-slow-down/,yes,no,no,"METR ('naming METR as the example'; 'The pool of groups credible enough to do this work is small, and every one of them will be doing it on terms the labs help set')",,,yes (docs/PR-aivy.html)
PR25,2026-09-14 02:23 UTC (11:23 JST),GIGAZINE (Japan),GIGAZINE staff,Anthropicのダリオ・アモデイCEOが...「AI開発を減速させるべき」と主張,https://gigazine.net/news/20260914-ai-pace-slow-down/,yes,no,no,METR ('Model Evaluation & Threat Research(METR)などの監査機関に対して従業員と同等のアクセス権を与える'),,,yes (docs/PR-gigazine-0914.html)
PR26,2026-09-14,"新聞紙学的 (Kazuhiro Taira, kaztaira.wordpress.com)",Kazuhiro Taira,相次ぐAI暴走、Anthropicアモデイ氏「開発減速を」、OpenAIアルトマン氏「IPO尚早」,https://kaztaira.wordpress.com/2026/09/14/amodei-pace-frontier-altman-ipo-delay-rogue-ai/,yes,no,no,METR (as example evaluator with employee-level access),,,yes (docs/PR-kaztaira-0914.html)
PR27,2026-09-13,The Information,Leo Schwartz,"Anthropic, OpenAI, Google Quietly Discussed an AI Safety Standards Body",https://www.theinformation.com/articles/inside-ai-industrys-behind-scenes-push-police,unknown (paywalled),unknown,no,"none visible; syndicated summaries (Cryptopolitan, Seoul Economic Daily, investinglive) say working groups met 'since July' on an industry-led standards body and that Altman told staff labs may need to build a testing/auditing body themselves",,,snippet-only (r.jina.ai shows headline/paywall; curl 403)
PR28,2026-09-14 (Substack date),BIG by Matt Stoller,Matt Stoller,"Monopoly Round-Up: Just Stop, The Anthropic...",https://www.thebignewsletter.com/p/monopoly-round-up-just-stop-the-anthropic,no,no,no,"none ('OpenAI, Anthropic, and Google have been having backchannel conversations about establishing an AI standards organization, which presumably would coordinate this cartel'; 'David Sacks, a generally malevolent crypto investor and technologist, is making cogent arguments')",,,yes (docs/PR-stoller-big-roundup.html)
PR29,2026-09-14 (Substack date),Sayer Ji's Substack,Sayer Ji,The Eight-Year Influence Operation,https://sayerji.substack.com/p/the-eight-year-influence-operation,yes,"no (names Open Philanthropy grants to Conjecture, not METR; says 'Joe Benton ... joined METR September 2, 2026' — date conflicts with NBC's Sep 10 report)",no,METR (quotes essay 'such as METR'),,,yes (docs/PR-sayerji-eight-year.html)
PR30,2026-09-13 (Substack date),COGNITIVE-LOON (hejon07.substack.com),Hans Jonsson,The Brake Nobody Wanted to Pump First,https://hejon07.substack.com/p/the-brake-nobody-wanted-to-pump-first,yes,no,no,METR ('Third parties like METR receive permanent employee-level access'),,,yes (docs/PR-hejon07-brake.html)
PR31,2026-09-13 (Substack date),The Prompt Factory,Duncan Anderson,Mathematicians revolted and Anthropic uttered the word 'misaligned',https://thepromptfactory.substack.com/p/mathematicians-revolted-and-anthropic,yes,no,no,METR ('Anthropic has paused external cyber evaluations of pre-release models and signed METR up for an independent investigation'),,,yes (docs/PR-promptfactory.html)
PR32,2026-09-14 (Substack date),The News Block,Natalie Brunell,"News Block: Dario's AI Warning, Trump's $5,000 Promise and Will Fed Hike Rates?",https://thenewsblock.substack.com/p/news-block-darios-ai-warning-trumps,no,no,no,none ('independent evaluators with deep access to frontier labs'),,,yes (docs/PR-newsblock.html)
PR33,2026-09-13 23:47 UTC,The Free Press,Tyler Cowen,The AI Slowdown Is Not What It Seems,https://www.thefp.com/p/tyler-cowen-ai-slowdown-computing-anthropic-openai,no (in visible 40%),no,no,none visible (Cowen discloses he sits on Anthropic's economic advisory committee),,,partial (paywalled after intro; docs/PR-thefp-cowen.html)
PR34,2026-09-14 (Substack date),Noahpinion,Noah Smith,Two missing pieces in the AI safety discussion,https://www.noahpinion.blog/p/two-missing-pieces-in-the-ai-safety,no,no,no,"none ('third-party evaluators with permanent, employee-level access' quoted from essay)",,,yes (docs/PR-noahpinion.html)
PR35,2026-09-13 23:50 UTC,Australian Financial Review (Chanticleer),AFR,The titans of AI just told us something's gone very wrong. But what?,https://www.afr.com/chanticleer/the-titans-of-ai-just-told-us-something-s-gone-very-wrong-but-what-20260914-p60x2p,no,no,no,none,,,yes (docs/PR-afr-chanticleer.html)
