node,x,y,width,height,subtitle_lines,required_height,margin,verdict
Coefficient Giving,400,140,300,150,4,146,4,PASS
Good Ventures Foundation,400,345,300,170,5,167,3,PASS
Jaan Tallinn / SFF,400,560,300,100,2,104,-4,FAIL
The Audacious Project,400,700,300,290,10,272,18,PASS
DAFs and regrantors,400,1020,300,195,7,209,-14,FAIL
Alignment Research Center,1130,60,340,110,3,125,-15,FAIL
RAND Corporation,1130,240,340,185,5,167,18,PASS
Longview Philanthropy,1130,460,340,100,2,104,-4,FAIL
FAR AI,1130,660,340,100,2,104,-4,FAIL
Redwood Research,1130,860,340,150,3,125,25,PASS
Constellation,1130,1060,340,100,2,104,-4,FAIL
METR,1760,380,290,180,3,125,55,PASS
Tarbell Center for AI Journalism,1430,1190,300,140,4,146,-6,FAIL
