row_id,date,author_or_body,affiliation,venue,title,proposed_supervisor,proposed_examiner,names_metr,names_other_evaluators,url,quote
F01,2026-04-29,Mark Thomas,Institute for Progress,SSRN working paper,AI Companies Can't Regulate Themselves. They Should Regulate Each Other.,"a new federal agency created for the purpose ('like the SEC was'), drawing on CAISI expertise; FTC and FCC rejected [from the Lawfare text of the same paper]","the SRO itself: SRO staff 'conduct examinations, and investigate suspected violations'; SRO 'could perform the audits directly, or keep third-party auditors but set process-based requirements'",no,,"https://papers.ssrn.com/sol3/papers.cfm?abstract_id=6682738 ; Lawfare PDF saved from Kevin's browser 2026-09-14 (research/thomas-2026-04-lawfare.pdf), zero METR mentions confirmed first-hand; SSRN copy (abstract 6682738) still unread","Rather than maintaining two layers of technical review, an SRO could perform the audits directly, or keep third-party auditors but set process-based requirements that are easier to verify. [Lawfare full text, Apr 29 2026, same title/author/date as SSRN 6682738; zero 'METR' in it. SSRN PDF still blocked: Delivery.cfm 403, r.jina.ai hits CAPTCHA wall, no Wayback capture, Semantic Scholar API 429. NATIVE-IP RETRY 2026-09-13: from the residential IP papers.cfm and Delivery.cfm (plain and mirid=1 forms) all return Cloudflare 'Just a moment' challenge HTML (HTTP 403) on 3 tries with a Chrome UA, WebFetch also 403, Semantic Scholar API still 429; SSRN text NOT read directly, so examiner/names_metr fields rest on the Lawfare full text only]"
F02,2026-05-28,OpenAI,OpenAI,openai.com,OpenAI's Frontier Governance Framework,not specified (company compliance document mapping to SB 53 / EU Code of Practice),not specified (internal; 'external expert input'),no,,https://openai.com/index/openai-frontier-governance-framework/,"The framework covers risk assessment and mitigation across areas including cyber offense, CBRN risks, harmful manipulation, and loss of control, as well as model reporting, security risk management, incident response, external expert..."
F03,2026-06-03,OpenAI,OpenAI,openai.com,A blueprint for democratic governance of frontier AI,"CAISI (Center for AI Standards and Innovation, Commerce)",government (CAISI) plus independent-assessment requirements; no named third parties,no,,https://openai.com/index/frontier-safety-blueprint/,...strengthening CAISI as the U.S. federal government's primary institution for frontier AI safety; and mobilizing a broader resilience plan across government...
F04,2026-06-10,Dario Amodei / Anthropic,Anthropic,anthropic.com essay,Policy on the AI Exponential,a government agency with authority to block or deter deployment,at least one qualified independent evaluator per developer (unnamed); ecosystem to be built by governments and industry,no,,https://www.anthropic.com/policy-on-the-ai-exponential,Frontier developers should engage at least one qualified independent evaluator to publish a review of their evaluations and risk reports.
F05,2026-06-10,Anthropic,Anthropic,policy PDF,Anthropic's Advanced AI Framework (June 2026),a government agency ('Agency') reviewing covered-developer criteria and holding enforcement authority,developers' own evaluations plus at least one qualified independent evaluator (licensing/rating options floated); government evaluation function to be built,no,,https://www-cdn.anthropic.com/files/4zrzovbb/website/0a58d567024a8b448ff15158ebc3625328dfcc1f.pdf,"Within six months of the enactment of the regulation, require Covered Developers to regularly engage at least one qualified independent evaluator to examine the relevant covered models..."
F06,2026-06-25,Google,Google (Public Policy),white paper PDF + blog.google,A Pragmatic Approach to AI Governance in America (FARO proposal),"federal oversight; agency open: Commerce, Treasury, or Energy named as options",FARO oversees; near-term annual procedural audits by 'well-established professional audit organizations' reporting to FARO,no,professional audit organizations (unnamed),https://publicpolicy.google/resources/a-pragmatic-approach-to-ai-governance-in-america.pdf,"In the near term, a FARO could oversee an independent procedural audit regime for frontier AI companies. Such audits could be performed by well-established professional audit organizations on an annual basis, with reports provided to the FARO."
F07,2026-07-14,Demis Hassabis,"Google DeepMind (CEO), writing personally",Substack essay,A Framework for Frontier AI and the Dawning of a New Age,federally overseen (agency not named),"the Standards Body itself, working with federal agencies and US National Labs; plus an ecosystem of third-party auditors",no,US National Labs; third-party auditors (unnamed),https://demishassabis.substack.com/p/a-framework-for-frontier-ai-and-the-dawning-of-a-new-age,The Standards Body would be responsible for developing assessment protocols and working with appropriate federal agencies and the US National Labs to conduct testing in areas relevant to national security.
F08,2026-07-15,Chat GPT Is Eating the World (blog),independent blog,blog post,Demis Hassabis calls for testing of AI models by Standards Body modeled on FINRA. Idea sounds similar to proposal by Mark Thomas at Lawfare.,as in Hassabis essay (federally overseen),the Standards Body,no,,https://chatgptiseatingtheworld.com/2026/07/15/demis-hassabis-calls-for-testing-of-ai-models-by-standards-body-modeled-on-finra-idea-sounds-similar-to-proposal-by-mark-thomas-at-lawfare/,[secondary summary post; no METR string in page; headline: calls for testing of AI models by Standards Body modeled on FINRA]
F09,2026-07-17,Maggie Eastland and Nancy Cook (Bloomberg),Bloomberg News,"Bloomberg (syndicated copy on Claims Journal, 2026-07-20)",US Considers Creating Finra-Like Watchdog to Vet Top AI Models,SEC (the new body 'would report to the Securities and Exchange Commission'),not specified for the administration proposal; Hassabis plan: 'a board of independent technical experts' in a federally overseen standards body,no,,"https://www.claimsjournal.com/news/national/2026/07/20/338917.htm ; full Bloomberg text read from Kevin's browser save 2026-09-13 (research/bloomberg-2026-07-17-finra-watchdog.html), zero METR mentions",plan devised by Hassabis suggests a board of independent technical experts review AI models as part of a standards body overseen by the federal government ... It remains unclear what kinds of model assessments the administration's proposal would call for
F10,2026-07-23,Rep. Jay Obernolte (R-CA) with Rep. Lori Trahan (D-MA),U.S. House,"H.R. 9925, 119th Congress",FRONTIER Act,Under Secretary of Commerce for AI Security (licenses and oversees IVOs),licensed independent verification organizations (IVOs) with conflict-of-interest and funding-transparency rules,no,,https://www.congress.gov/119/bills/hr9925/BILLS-119hr9925ih.htm,"The Under Secretary shall have the power and duty to oversee the licensing of independent verification organizations, in accordance with the regulations prescribed under subsection (c) of section 3."
